id	logFC	P.Value	adj.P.Val
FBN1	1.5793616890833047	4.951408066490185e-14	8.508499621456735e-10
DYRK2	0.8725213490174362	2.459840410771905e-13	2.113494880935221e-09
MAZ	0.6304469343216343	1.3970048822906556e-12	2.1728420162280903e-09
MS4A6A	2.0621578125122078	7.00345207936139e-13	2.1728420162280903e-09
MRAS	0.7741644980310909	4.450530241465587e-13	2.1728420162280903e-09
C1S	2.1109248023879967	1.5173477766955938e-12	2.1728420162280903e-09
SLC16A7	-1.099655041901924	1.2697088179335965e-12	2.1728420162280903e-09
ST3GAL6	-0.9999639185372153	1.0999118016506168e-12	2.1728420162280903e-09
TEX41	-1.7169738956412957	1.2197660867364516e-12	2.1728420162280903e-09
GPR161	1.1076601207817056	1.4757350421316931e-12	2.1728420162280903e-09
GLIPR2	1.7848348457996766	2.29627263653898e-12	3.0353191527912175e-09
PWAR5	-0.7990449122122101	2.6098890422522994e-12	3.171284052088574e-09
SLC25A36	-0.783014239711239	2.76822979407173e-12	3.171284052088574e-09
RNASE1	1.1397400371716717	3.2848009016954036e-12	3.5278761684208635e-09
GFRA2	1.6925503969611615	3.6807421268968624e-12	3.5602178775422e-09
SLC35A3	-0.6047662371416624	4.350824920180761e-12	3.5602178775422e-09
PCCA-AS1	-0.8560008768090537	4.2406013049926855e-12	3.5602178775422e-09
LINC01473	-1.041716301927723	4.340736694220833e-12	3.5602178775422e-09
CHIC1	-0.6568458002269697	3.8622574302697264e-12	3.5602178775422e-09
TRAF3	0.7606836534643744	4.8760213672132255e-12	3.808615962463276e-09
NR4A1	-4.7130567210505365	6.258796814853625e-12	4.366944413329165e-09
FSTL1	1.3791991734450573	6.353212891831304e-12	4.366944413329165e-09
NECAP2	0.6496431036722967	6.226044627153179e-12	4.366944413329165e-09
DUSP1	-3.0906752275303493	8.731928269256215e-12	5.376318764744625e-09
PEAK1	0.623145517199557	8.760295938829695e-12	5.376318764744625e-09
CUL4B	-0.5851366093203012	1.0048896627827234e-11	5.75600798841944e-09
AMOTL1	0.7405576900791022	9.934206374317719e-12	5.75600798841944e-09
CD180	2.2645068528020165	1.2470775746607598e-11	6.696806575928281e-09
TMTC3	-0.7800364720715756	1.2126859704325435e-11	6.696806575928281e-09
ABCA5	-1.2107957031779613	1.4037350825856693e-11	7.309631411864285e-09
ALDH1A3	1.5755643717164283	1.5121600636867655e-11	7.642634863056875e-09
PPM1M	0.9619025683891476	1.5733401042364555e-11	7.724650386056929e-09
ARL15	-0.7170444530360012	1.825726374060107e-11	7.843320502962219e-09
PTGER3	-1.642896349893162	1.7655218037987245e-11	7.843320502962219e-09
TWF2	0.9602853837691079	1.7935624208645985e-11	7.843320502962219e-09
TMEM106B	-0.6500891316791417	1.695245200530693e-11	7.843320502962219e-09
MAGI2	-1.050603976546121	2.0771956022434196e-11	8.05050999776347e-09
CCL21	3.3043708210247873	2.042683145206778e-11	8.05050999776347e-09
TMSB4X	1.7257267725188488	2.1507971020586467e-11	8.05050999776347e-09
ZCCHC24	1.1399843392798648	1.9936459329004212e-11	8.05050999776347e-09
CNNM2	-0.9161704079516273	2.2051334992045407e-11	8.062343414964007e-09
TMSB10	1.8428062494646955	2.2978364515134553e-11	8.22625449641817e-09
NCF4	1.752102029038265	2.6700306246845937e-11	9.176361250916012e-09
TNFAIP8L2	1.2439875188094751	2.6403853286186835e-11	9.176361250916012e-09
RGS19	1.619473042016212	2.8929604523005368e-11	9.74757498281028e-09
WASL	-0.6386160672407843	3.0542766293681564e-11	1.0093209538281231e-08
VIM	1.4535482860426523	3.19918741516169e-11	1.0180525285581201e-08
PTGES	1.140698911633768	3.353987565866512e-11	1.0295249081549234e-08
FOLR2	1.6090017342242877	3.4046474429505605e-11	1.0295249081549234e-08
TSHZ2	1.453765082489431	3.414974381100479e-11	1.0295249081549234e-08
TNFAIP8	1.345330508301263	3.584007077019895e-11	1.0467444123772328e-08
MIR6723	-2.7574854553766315	3.63611605451547e-11	1.0467444123772328e-08
C2CD2	0.8016015029460455	3.654833842099277e-11	1.0467444123772328e-08
PRICKLE1	0.9390782641753965	3.7531305616247995e-11	1.0572753372288616e-08
SH3PXD2B	1.0036720305009421	4.452610099791488e-11	1.2145024119812211e-08
CCND2	1.828455987555591	4.7146722089235024e-11	1.227529200577901e-08
PYCARD	1.7613668409184067	5.034332150113483e-11	1.2911934875753746e-08
FAM109B	0.978806773992801	5.7623260028334534e-11	1.4561736769513245e-08
GPX8	1.06012753002814	6.191721876379353e-11	1.5255713753157916e-08
