id	logFC	P.Value	adj.P.Val
MIR4521	2.1942078386385457	8.837214924704342e-26	2.979908872610304e-21
RP11-342M3.5	0.7959825442539943	2.218544266765437e-22	3.740465633766527e-18
VTRNA1-3	1.8025822128977298	8.258897853227713e-20	9.28300118702795e-16
VASH1	0.5085570912924053	1.4716751926107083e-18	1.240622187370827e-14
PFN1P2	0.8619568228155687	2.2599051472313165e-18	1.5240800312928e-14
NBPF16	0.42731141867701794	4.841885846526734e-18	2.7211398457480245e-14
MIR1285-2	0.7085890643319104	7.321324106448233e-18	3.5267864124204916e-14
MORN2	-0.7379354679871515	1.1448318601397956e-17	4.2893033693237677e-14
RNU6-199P	1.3095227296737812	1.141386467689074e-17	4.2893033693237677e-14
MTHFS	-0.5136070945973774	3.6365379072862027e-17	1.2262405823369077e-13
UNC5B	0.7030191463330207	6.765591938842247e-17	2.07396145616146e-13
SEP15	0.29218415614478843	1.0072780951298945e-16	2.8304514473150035e-13
NBPF9	0.41214081816271175	1.4461459730257374e-16	3.5500896950377033e-13
ZZEF1	0.32190409807769704	1.4739399682837439e-16	3.5500896950377033e-13
MIR30A	1.242685368315822	1.6206238082638439e-16	3.643162320977121e-13
MIR297	0.39779369605548753	1.8252254424149278e-16	3.8466626198894605e-13
HM13-IT1	0.32121294789555854	2.8046604032664464e-16	5.563126399890857e-13
HSD17B14	-1.0100729631105692	4.908273427030473e-16	9.19483221997042e-13
SNORD3C	-1.456980183616035	6.549411327927058e-16	1.1623481577773704e-12
ATOX1	-0.304069507107414	6.972738259200591e-16	1.1756036705012198e-12
FKSG52	0.45147116108945085	9.230887901184623e-16	1.4420705792589893e-12
MIR503	1.1789975071399192	9.412659523033533e-16	1.4420705792589893e-12
MARK3	0.23960694640393587	1.0263847539209888e-15	1.4420705792589893e-12
C9orf131	0.41876874833284994	9.905674921144854e-16	1.4420705792589893e-12
LIMA1	0.4237387968992854	1.1695239238630996e-15	1.5774538685065487e-12
LINC01420	-0.43212680972184714	1.4472320869572156e-15	1.8769486912383584e-12
RNU6-212P	1.3434411523148357	1.5752249544608071e-15	1.967280943126608e-12
NBPF11	0.3793682959064508	1.845090585690018e-15	2.22201623390955e-12
SNORD3B-1	-1.483768672737284	2.0449612672509453e-15	2.3777963424724784e-12
MIR1273A	0.3750571895852577	2.3792412439212447e-15	2.5880004756459474e-12
NDUFC1	-0.31094795087121785	2.3331866224675295e-15	2.5880004756459474e-12
CPPED1	-0.450867538987791	3.051694910634271e-15	3.210373450732672e-12
CTA-398F10.2	0.3084480515481154	3.2370313560175223e-15	3.210373450732672e-12
LOC101059961	0.3956754101147766	3.154468188239031e-15	3.210373450732672e-12
HERC2P2	0.43612139610581657	3.4747043303276027e-15	3.3476294291041935e-12
SNORD3D	-1.450176805384535	4.006971529752973e-15	3.6517589184667635e-12
CEMIP	0.311098438531495	3.970283801958898e-15	3.6517589184667635e-12
MIR1254-1	0.9375749716903172	4.578461674914092e-15	4.062782307318504e-12
CTC-498J12.1	0.44939552921067616	5.326746864702456e-15	4.605587289173508e-12
SON	0.25613614696785536	7.469333548219653e-15	5.85734714525504e-12
RP1-55C23.7	0.29665888625879955	7.066517985844153e-15	5.85734714525504e-12
GABARAP	-0.1997826290718585	7.357919951673985e-15	5.85734714525504e-12
H3F3A	0.13800736414331993	7.422582119030912e-15	5.85734714525504e-12
RP1-149A16.12	0.6263864858111683	8.087851687091467e-15	6.1982354292891886e-12
KB-1507C5.3	0.5414512169344059	9.123544959693443e-15	6.687955131323106e-12
Z83851.3	0.2780716129502543	9.028801537920328e-15	6.687955131323106e-12
RP11-431N15.2	0.2851544407523474	1.010426336092679e-14	7.116476924785632e-12
DDX17	0.3873070574931212	1.0130216263040045e-14	7.116476924785632e-12
FMNL3	0.4711783155262772	1.1645153782580995e-14	8.013767052012881e-12
RP11-1018N14.3	0.6418323757975442	1.2610262085561081e-14	8.504360750502393e-12
RP11-622O11.4	0.3934579551617192	1.4112232112018322e-14	9.151239746485727e-12
SNORD3A	-1.4216466641708543	1.3856857692809272e-14	9.151239746485727e-12
ARHGAP24	-0.4618656690780556	1.6609741477588917e-14	1.0567556275930156e-11
MAP4K4	0.44398702163606796	1.7009596697585592e-14	1.0621548160047892e-11
RP3-339A18.6	0.3569320038853352	1.883544590372144e-14	1.1547840652245218e-11
SPDYE3	0.7237112868771431	2.4495021853951377e-14	1.4749502444915007e-11
LOC101060449	0.5485098887999174	2.549016001341657e-14	1.5079442028989594e-11
RNU6-1091P	0.6253030950279062	2.7779996342024832e-14	1.5900179765646454e-11
LUC7L	0.3783705927951111	2.7820599234078906e-14	1.5900179765646454e-11
DNMT3A	0.21628338183875773	2.8339623710055727e-14	1.592686852505132e-11
TPM4	0.34915403815722	3.0811178198510296e-14	1.7032015227110937e-11
C11orf1	-0.5360906673862971	3.273154995853014e-14	1.7801739751639295e-11
MAK	0.3347445822890931	3.4295039356093775e-14	1.8356011541071143e-11
CD63	0.18135001047550148	4.126641432327452e-14	2.1742242046575263e-11
XIAP-AS1	0.45710740665802696	4.2306418399874426e-14	2.1947268129904087e-11
SLC7A5P2	0.5138458485025179	4.7872651021441465e-14	2.445857261277282e-11
DDX39B	0.28554572507971443	5.934406043142764e-14	2.9032470108401896e-11
SMG1P7	0.7014648212641017	6.075981541005838e-14	2.9032470108401896e-11
C6orf136	-0.3069133202327121	6.113005271935156e-14	2.9032470108401896e-11
TRIO	0.4182761279343259	6.104166716185326e-14	2.9032470108401896e-11
RP1-297M16.2	0.4276945405098447	5.855696586224016e-14	2.9032470108401896e-11
HBA1	-1.575687003780068	6.440772162479445e-14	2.975107360531601e-11
SPAG9	0.16621643696518795	6.369705815575344e-14	2.975107360531601e-11
TUG1	0.21248003727828735	6.618587591148254e-14	3.0159293726151236e-11
CA2	-0.8257918491392422	6.76386235585647e-14	3.041032515193069e-11
NPIPB6	0.5248239622757138	6.969013010333218e-14	3.092041035637317e-11
LOC339539	0.5115814649494386	8.894341370799333e-14	3.895028454848747e-11
NPIPA1	0.46057887620845417	9.063976933095226e-14	3.9184269510765516e-11
MIR566	0.4062161419089598	9.471278600770231e-14	4.0426773976958504e-11
ADAM15	0.49588580449399355	9.751402554687769e-14	4.110216176800895e-11
NBPF14	0.3627504379653246	1.0015145757397695e-13	4.169268085672226e-11
HMGCL	-0.6165654815108113	1.0411848802974299e-13	4.281555385808456e-11
DOCK9	0.5474745825768501	1.1739346329869806e-13	4.7692862438940946e-11
SPDYE8P	0.7110687736113883	1.2864037653243005e-13	5.1639922579446917e-11
WWTR1-IT1	0.26790158897854965	1.3531118807540661e-13	5.3678744257678956e-11
PBRM1	0.2547535666317646	1.5038714041184228e-13	5.896574854287584e-11
ST13P19	-0.38651508930683676	1.5266818719686588e-13	5.917208358940595e-11
LOC101928020	0.6788199224400175	1.602523767042567e-13	6.071584429738804e-11
SNRNP35	0.1597605426043005	1.6008563905193538e-13	6.071584429738804e-11
TXN2	-0.29094431746106064	1.6297547007391452e-13	6.106147612102665e-11
PNISR	0.3738356916903056	1.7108394536123544e-13	6.27059851910963e-11
SAP30L-AS1	0.24495702553163046	1.693380643032917e-13	6.27059851910963e-11
CTC-384G19.1	0.35235392983601166	1.7417333160490282e-13	6.315187894319702e-11
NDUFB5	-0.32605224916596054	1.8458913549588502e-13	6.621644307363024e-11
MIR4256	1.9209258700862772	1.9038409809862233e-13	6.725069854516173e-11
ARGLU1	0.4856650567537759	1.9146106347377006e-13	6.725069854516173e-11
NPIPB8	0.5995365032297402	1.967977673243185e-13	6.841258468222701e-11
RP11-434D9.2	0.5455932304274036	2.14252737550716e-13	7.30813555195413e-11
TRIM25	0.47041822545631184	2.1672999857515214e-13	7.30813555195413e-11
NEBL-AS1	-0.7235863025898066	2.1537984857802157e-13	7.30813555195413e-11
RNU6-1190P	0.8208972907483556	2.250793310555772e-13	7.508632472622412e-11
HERC2	0.2258676966608526	2.2712945201882738e-13	7.508632472622412e-11
RNU6-795P	1.1734379335516527	2.3009579825792986e-13	7.532844968211064e-11
VTI1B	-0.3472915835306356	2.360094596431726e-13	7.579275218255029e-11
KIRREL-IT1	0.7561399167310823	2.3431616664329216e-13	7.579275218255029e-11
RP1-86D1.4	0.3166165847997924	2.6587720010777337e-13	8.378859053863661e-11
DANCR	-0.6383584279154357	2.641402315853578e-13	8.378859053863661e-11
LOC100190986	1.3069680802823953	2.9266239440455276e-13	9.137570314186591e-11
HERC2P9	0.3828679469956713	3.171082410646878e-13	9.809990723579149e-11
FLI1	0.30394686094631407	3.391461664097208e-13	1.0396371573941623e-10
TPD52	-0.3398322560787914	3.6553060646201775e-13	1.1062966325160876e-10
HBA2	-1.2807088585799722	3.6745321127461987e-13	1.1062966325160876e-10
ACTR3	0.220674379378206	3.716422809672187e-13	1.1090068773641252e-10
UQCR10	-0.35317755092325775	3.8092149291624734e-13	1.1267256790470053e-10
MIR143HG	0.4759708475908182	4.1717043119346483e-13	1.2110247005282157e-10
SPDYE1	0.6703979150806703	4.201954032081888e-13	1.2110247005282157e-10
ANKS1B	-0.5913820608044551	4.152439777776302e-13	1.2110247005282157e-10
PDK2	-0.37508597346006933	4.736308108203061e-13	1.3288294828109854e-10
NDST1	0.278254586470168	4.653102234531034e-13	1.3288294828109854e-10
AC004878.7	0.26478887382612903	4.768338298343098e-13	1.3288294828109854e-10
LPP	0.3551913078205411	4.744935785680983e-13	1.3288294828109854e-10
RP11-328D5.1	0.8639071215723382	4.864417627134767e-13	1.3444931343195438e-10
SMG1P2	0.739884482396862	4.925869504119935e-13	1.3504091030806845e-10
RBM25	0.5497675273113236	5.003194547407063e-13	1.3605461301497272e-10
NPIPB9	0.4461332611698907	5.232684881729587e-13	1.4115690736953731e-10
