id	logFC	P.Value	adj.P.Val
NR4A1	-4.97928065462912	1.8116747558082922e-10	3.1131819003809693e-06
FOS	-6.026181259412789	5.782476107163082e-10	4.2595355672364116e-06
DUSP1	-3.4387616161830206	7.436340026599881e-10	4.2595355672364116e-06
RGS1	-5.1397365187613975	1.6142287943510727e-09	5.975860150243947e-06
EGR1	-5.334209492755816	1.73878612379072e-09	5.975860150243947e-06
NR4A2	-4.782237459326512	3.2989772838330284e-09	9.448270940897793e-06
ATF3	-4.423022595290573	5.188902030325217e-08	0.00011998970837683475
CYR61	-2.8858712948389993	5.5861130529252677e-08	0.00011998970837683475
HEATR9	1.4720367567458794	7.255927968501807e-08	0.00013853985134526116
BEST1	1.1278790538066445	1.447032460646234e-07	0.0002276592330404919
MIR27B	1.7116436202457752	1.4573158539603182e-07	0.0002276592330404919
JUNB	-3.0127012569304323	2.784869674972393e-07	0.0003987933374560467
BTG2	-2.2934450847021246	4.4542470510028017e-07	0.0005467270094602296
GDF15	-2.678378720091354	8.206991129632467e-07	0.0007973526853430048
JUN	-2.7835579564612143	1.1367755772553718e-06	0.0007973526853430048
FLJ31356	-2.0792745817070175	1.1381656104553318e-06	0.0007973526853430048
GPR161	0.7124755441894113	9.134194366075291e-07	0.0007973526853430048
GPR179	1.5177470356431284	1.0985338716527976e-06	0.0007973526853430048
FOSB	-6.783620449552062	1.330646967165892e-06	0.000879455287837642
ZFP36	-2.9563506079689326	1.5151400710717425e-06	0.0009643024807887713
RGS2	-1.5947367991914332	2.245059376591566e-06	0.0012134768175779311
GDF11	0.7317755406222819	2.259733366066911e-06	0.0012134768175779311
CD55	-0.8670266831185067	2.3630025359725624e-06	0.0012181351166040287
OSM	-2.9371575372425767	2.6898710092641244e-06	0.001256648572172638
RGS16	-1.892659957577549	2.8518092962214066e-06	0.001256648572172638
BRD7P3	-0.6887473967179343	2.8520306281851073e-06	0.001256648572172638
KIAA1107	-0.8184615269490623	2.969391977395345e-06	0.0012756507934890402
IER2	-1.3263873193907152	3.516732606888155e-06	0.001438846026589668
CD69	-1.9186756905844495	4.0736893510469016e-06	0.0016279599490323245
NR4A3	-3.6509315420899595	4.416283082788517e-06	0.0016764532709706572
ZFP36L1	-1.288299218569044	4.4578387270855845e-06	0.0016764532709706572
DUSP2	-3.090967849723042	4.8918333992586636e-06	0.0017155360231196097
SLC2A3	-2.943046374652937	4.866115657218059e-06	0.0017155360231196097
RAB26	0.9728070027317335	5.008610389211299e-06	0.0017213592185641394
TMOD4	1.1605038713322857	6.564624298023225e-06	0.0019790614725830017
DGCR9	0.8905660149970824	6.902071489208379e-06	0.002044917180526841
CLEC2B	-0.8362897264444227	7.325388211189361e-06	0.0021335503562894573
KMT5C	-0.5946444194793123	7.665385870813585e-06	0.002195366513401011
LRRC70	-0.6225748148718875	1.0425817123108335e-05	0.0026346653153454945
LOC101926962	-0.8940521432119235	1.1725770838931506e-05	0.0027126138250322673
LOC101928143	1.0433626647802123	1.1109713754788014e-05	0.0027126138250322673
PTGS2	-1.5642770988864356	1.207205571039657e-05	0.0027225066858208957
CSF3R	-0.9623296665747256	1.2327737411625647e-05	0.0027225066858208957
RPARP-AS1	0.6015234833657548	1.331926217754981e-05	0.0028269931910002823
MIR3189	-3.262513521349984	1.4602187334750399e-05	0.0029520469077688335
REM2	0.869760580112156	1.550116484818528e-05	0.0029929440084406275
ULK1	-0.6700168974989964	1.6616536129070055e-05	0.003137786338922416
MSMO1	-0.6890103560798533	1.7073528653799946e-05	0.00318903822159672
CXCR4	-1.331662709444915	1.930379997353443e-05	0.0034917526183706913
ARRB1	0.5857402547540929	2.170841259895085e-05	0.0037077141296738042
PPP1R3C	0.6261536836644304	2.219036069943175e-05	0.003709610762112283
LOC101927472	-1.7947204193152224	2.2235213483331303e-05	0.003709610762112283
NUSAP1	-0.6610477961952661	2.523578634629358e-05	0.004015294005321378
TMED7	-0.8519949752539908	2.6809700481756096e-05	0.004173669485378207
GADD45B	-1.9402750958555437	2.806898447123346e-05	0.0042684728243688125
RAP1B	-0.6153637600697834	2.93356269905156e-05	0.004272062832245933
CNNM1	1.442150924126934	2.9237421672038373e-05	0.004272062832245933
RASD1	-2.381968431228646	2.8794440735395678e-05	0.004272062832245933
GOLGA6L5P	-1.0551677127406895	3.371365077606424e-05	0.004583030032906969
TEX41	-0.9281988328142647	3.433952635419683e-05	0.004583030032906969
CCL3	-3.5079873632240743	3.6807420979547854e-05	0.004720139717257838
DNAJB9	-0.6202653610115405	3.8030571558194376e-05	0.004840869197451942
ABCA5	-0.6095992126149739	4.148382390295287e-05	0.004985021188449945
PRPH2	1.154489237525448	4.375212601666376e-05	0.005155231275122832
FSD2	1.0003690377306356	4.680356405731427e-05	0.005194643869253219
MNDA	-1.1296017488822123	4.610161811684437e-05	0.005194643869253219
CYTIP	-0.9763680599529252	4.5978713589195525e-05	0.005194643869253219
MIR3619	0.6789999014474324	5.172271558774314e-05	0.00544636798311299
GEM	-1.418772972329144	5.1284425717739685e-05	0.00544636798311299
SNORD97	-1.277934295369377	5.060947496838423e-05	0.00544636798311299
MGC16275	0.6347084722019583	5.24127842908148e-05	0.00544636798311299
CCDC153	0.6471922594826589	5.4312495460676045e-05	0.005522520248498563
PTGES3	-0.6123679537452151	5.737520717869037e-05	0.005765705030167341
NFKBID	-1.3480392142597832	6.143410839881718e-05	0.006102218027313725
DIAPH2	-0.6625450550544301	6.47910382818099e-05	0.00629913644690216
NANOS1	1.0450022584611727	6.981461701979978e-05	0.00629913644690216
NEAT1	-0.8506207471882767	6.638962960318147e-05	0.00629913644690216
BOLA3-AS1	0.6023635578162763	7.328160153255707e-05	0.00629913644690216
GOLGA6L3	-1.0629795486681077	6.451322457258714e-05	0.00629913644690216
LINC00092	0.8948188555664416	6.99531454181198e-05	0.00629913644690216
NKPD1	1.1749331494075204	6.76170908984856e-05	0.00629913644690216
MAP6D1	0.6834829108184595	6.933726405759769e-05	0.00629913644690216
TMEM216	0.6412909115886372	7.297193310025047e-05	0.00629913644690216
HNRNPA1	-0.710552185783822	7.215404841044938e-05	0.00629913644690216
GPAT3	-0.9476311802838069	6.68017031299895e-05	0.00629913644690216
MFSD2B	0.9327099200438074	7.661310040750416e-05	0.00629913644690216
LOC101929340	0.5984282487770471	7.832027566881573e-05	0.006348375552325139
MYO1H	1.0967646919277874	7.921842482724946e-05	0.006361299829059775
EVI2B	-0.8562666167330262	8.029949231182017e-05	0.006361299829059775
C9orf163	0.6124665199271568	8.3915406060547e-05	0.006437510436359106
MIR23B	1.448781140246326	8.573439208547813e-05	0.006495358807058152
CIR1	-0.6788393932439725	8.898726781265051e-05	0.00649973848769807
EGR3	-3.3426765050753673	8.96437396173442e-05	0.00649973848769807
CA8	-1.1430087296566542	9.254844915872417e-05	0.006682153572871916
TRIM46	-0.9806760789189557	9.633460655461779e-05	0.0068975578293106335
LOC105375787	-0.890153544475246	0.0001010585841031302	0.007112206737537404
PPP1R15A	-1.2405663787974657	0.00010140192334128631	0.007112206737537404
LOC400684	0.7715757480764074	0.00010645229062616367	0.00728795283713146
RSRC2	-0.6149215112545381	0.00010778919802366614	0.007321144580390035
PKD1L3	0.8105118255797965	0.00011556533959836189	0.007628707773757989
FCGR2A	-0.5872519740954694	0.00011829451781441319	0.007670841487256136
C11orf96	-1.637334594719274	0.0001232424805852556	0.00781475566928794
CFAP100	0.7154002280605649	0.00013030764989562283	0.008113067593501387
ELOVL4	-0.8050105680141479	0.00013392920241588822	0.008219426479695082
UQCC2	0.6136730885794783	0.00013602093515503337	0.00827583071605843
SCML1	-0.5875492100746911	0.0001424289707792979	0.008309407927565397
ELF3	-1.3041654551146902	0.00014276769672210159	0.008309407927565397
WNT4	0.832149641909937	0.0001476703797087931	0.00832081866835071
CA14	0.6813590432275927	0.00014865522178675908	0.00832081866835071
ADAMTS4	-3.353256190871294	0.0001485594254201357	0.00832081866835071
GOLT1B	-0.67362666940131	0.00014828117024910659	0.00832081866835071
CHRNB2	1.114564642824182	0.0001457178425283259	0.00832081866835071
EGR2	-3.0962091487006944	0.00014817161950160318	0.00832081866835071
GBP2	-0.5931931678748867	0.0001535152355475393	0.008376807814456436
IL18	-0.6709830078515182	0.00016053760089926458	0.008620869168290508
CTSL3P	1.397150925994186	0.0001719463043748495	0.00900327484663026
IRS2	-0.807994917742981	0.00017137262160174435	0.00900327484663026
RHOB	-1.012169819132417	0.0001778645917504225	0.009206099833250783
ACTR6	-0.6975466390348917	0.00018498538484980372	0.009460681110889962
LOC644656	0.9147577832437861	0.0001897137489639969	0.00957066026826728
KLF4	-1.2601524618481044	0.00019668353550790363	0.009773482718088214
LIN9	-0.606068073071528	0.00019806110380953535	0.009808305498164424
ABHD1	0.6583669855240304	0.00019944640475677425	0.009848525917644853
CXCL2	-2.9313501822003936	0.00020439132032441847	0.009955397553991774
SLC10A1	1.3018280210202358	0.00020956641662048427	0.009955397553991774
ZC3H12A	-1.2870084905299066	0.00020909123935714764	0.009955397553991774
GRK6P1	1.0582031196928243	0.00022174781442749054	0.010292470453800993
SOCS3	-2.513209445512352	0.00022342875340551426	0.010320966931506336
ZNF267	-0.723670918978339	0.00022514374336240865	0.01036713102303471
ENDOU	0.7252870965579845	0.000233891864023242	0.010580207222949117
NT5C3A	-0.605184719488852	0.00023312832101187906	0.010580207222949117
DUSP6	-0.7322416349917393	0.0002384473333074376	0.010670518165507832
NFKBIZ	-1.3960180859211757	0.00025077619649142965	0.010936330345739162
CLEC1A	-1.0037469325696575	0.0002532972228587166	0.010936330345739162
DEK	-0.6783266533252181	0.0002523082157786361	0.010936330345739162
WEE1	-0.7024084565665234	0.00026052939942008784	0.0110855773086812
CDC20	0.7378241739965263	0.0002807703631255497	0.01165400463755905
MIR126	1.289248591185605	0.000282196433322211	0.0116831068264371
SNORA63	-0.7510273959878431	0.0002841908314294665	0.011711115700920748
C9orf131	0.61543090905848	0.0002912708826804447	0.011926733993677479
TMEM125	0.7109925867457285	0.0002944313240685209	0.012017833427062856
PIM3	-1.0035860456649583	0.0003011912049795928	0.012123713205626805
FAM212A	0.9130272688855365	0.0003012584694368393	0.012123713205626805
STAR	0.7623373682403232	0.00030098900015775303	0.012123713205626805
TMEM119	1.2301714928835334	0.0003051463893248323	0.012166207782268951
DGCR5	0.8256460050349848	0.0003074515549024993	0.012229739628343861
DUSP5	-1.595581237619287	0.0003195712574885179	0.012261272005635338
FAAP24	0.7101871085407119	0.00031340393931127467	0.012261272005635338
PDE4B	-1.1493104688445381	0.000318344875490113	0.012261272005635338
SYT10	-0.654234308518217	0.0003272450269238481	0.012331640431605622
XIRP2	3.088848854126319	0.00033812712649589435	0.01249543342302247
RNF139-AS1	0.7210629921354554	0.00034935810411548227	0.01271047506989342
HPGD	-0.6924865010973118	0.000349486326177455	0.01271047506989342
OSCAR	-0.8465817354725047	0.0003539813433556264	0.012779023958451857
KLF10	-1.1912411645219834	0.000355568334183737	0.012782607227224553
FMN2	-0.8769814491245906	0.0003928177634029469	0.013241837998857132
EVI2A	-0.5896462323876959	0.00038348977306799914	0.013241837998857132
GTSE1-AS1	0.6501282200362128	0.00039186151804749164	0.013241837998857132
BHLHE40	-1.1899738978381453	0.00039600120456517534	0.013290790428218697
ZNF331	-0.7612647934668217	0.0004049251478252343	0.013385173422310118
PLAUR	-1.3945867271026993	0.00041232410079591013	0.013573519823902145
OTUB2	0.7545018301450366	0.0004167138036015555	0.013613470369553763
VCAM1	-0.6134345649149981	0.0004253860911572213	0.013818212836381268
HIST1H1A	1.399205362519278	0.00043469353625692043	0.013962193882315739
CASC10	0.6518273754930171	0.00043781199114546906	0.014012986297022155
JUND	-1.1043072927114412	0.00043790582178194234	0.014012986297022155
C10orf62	0.8722279345654318	0.00044091819249072415	0.014023483390537324
RBM24	-1.237369758833034	0.0004561471394913539	0.014303708841276325
LOC221946	-1.9334092098488922	0.0004709494232437068	0.014477271715599031
FUT7	0.9351881587015796	0.0004755375824291541	0.014501074036949722
MAFF	-2.3062066551080056	0.0004898143634595568	0.014666482142651498
MSANTD1	0.5954839116603772	0.0004903382381208164	0.014666482142651498
RAD9B	0.9049738404678491	0.0005049611637774773	0.01486633097358455
ADPRHL1	0.591337021569303	0.000516571443169227	0.015045362168508469
PLN	-0.8358238533958273	0.000521096138582019	0.015092877414638188
MYBL1	-0.8853754680675925	0.0005249030653159978	0.015092877414638188
CLMP	0.9901737203713914	0.0005326807809937093	0.015092877414638188
TAS2R3	0.5893990873869335	0.0005286637937135223	0.015092877414638188
RAC3	0.8912628409858048	0.0005304012112756907	0.015092877414638188
HIST1H4D	0.9824938812767403	0.0005378877801955649	0.015176911194758173
TEF	0.9536448710476684	0.0005538068648933782	0.01549937649239057
NHLRC1	0.7069769017018208	0.0006017883968752008	0.016132810939006943
LOC100505658	-0.8610066677857535	0.0006054264405361171	0.016149627224468766
COX14	0.5999296524866491	0.0006073370296340156	0.016149627224468766
MIR133A1HG	-0.6261966458017163	0.0006074263132816705	0.016149627224468766
CGREF1	0.9493138667647205	0.0006151767887246794	0.016213493769087255
MIR324	-0.9480760320378518	0.0006293906493441911	0.016486964814528323
CD300LB	-1.2851678089054435	0.000636833107465926	0.016560896038373688
LOC105370526	-1.2237465597164618	0.0006460104033743733	0.016637475163269976
CISH	-0.9175300990975419	0.0006482283929577673	0.016637475163269976
LILRB3	-0.7038524131850892	0.0006449415639089342	0.016637475163269976
KIF20A	0.7602847512950319	0.0006474437206449586	0.016637475163269976
LOC105369971	0.6183651314179848	0.0006445161602210664	0.016637475163269976
UGCG	-0.7209925757526872	0.0006523017950200328	0.016699464752634317
EID3	-0.7777047963382762	0.0006594823306068842	0.01677875533808571
C5AR1	-0.9934651529316607	0.000661034530021184	0.01677875533808571
C10orf82	0.8475995404888028	0.0006648132169132237	0.01684852166974
WASF1	-0.6724531578045578	0.0006788863075950312	0.017030631109070098
NAMPT	-0.7648174340666465	0.0006824372452701039	0.017069871357673166
VMP1	-1.1723762723467832	0.0006895515687291728	0.017147979966775837
KAZALD1	0.8200364042745676	0.0006950970323042629	0.017251492806055174
AGXT	1.552526818445438	0.0007093114249549461	0.01729686428701349
GJA1	-0.9223710237484664	0.0007080182051041927	0.01729686428701349
ADCYAP1R1	2.1808429111169714	0.0007030941914474976	0.01729686428701349
NECAB1	-0.799469620446998	0.0007145015816251375	0.017341801099783
MAFK	-0.6335953016878406	0.0007214762427271455	0.017408837904099705
LOC284454	-1.5367681372324231	0.0007246871794009389	0.017441210771464613
SLC20A1	-0.8476195480764162	0.0007491426947741847	0.01778075699861822
ZSWIM4	-0.6635556596347385	0.0007513150253745364	0.017787650041663286
MXD1	-0.5964038300734043	0.0007801361686499113	0.018028455918614725
GPR183	-0.7095023109959788	0.0007762510217510524	0.018028455918614725
KLF6	-1.5840004985544187	0.0007756684670486274	0.018028455918614725
SVEP1	0.7559251399243951	0.0007968745330552612	0.018189487769800432
FILIP1L	-0.6300154688863682	0.000803606139351758	0.01823327818356445
ABHD11-AS1	-1.0773458258655815	0.0008085287462683957	0.01823327818356445
HSPE1	-0.7712944623301023	0.0008033942929870272	0.01823327818356445
LOC101927765	0.6108958921304799	0.0008124954887915696	0.018274767643186297
TIMP4	0.9061381961218276	0.0008244931542333915	0.018352448655889378
GPR34	-0.7372198574635966	0.0008362389084806942	0.018525603144186074
LDHAL6B	-0.743331250665098	0.0008418176399007123	0.018525603144186074
PTP4A1	-0.6827960493596592	0.0008511449498913532	0.01866036174318457
EPX	0.7738756866679566	0.0008696782507535284	0.01885495523771518
EPHB2	0.594246984020387	0.0008705095589867088	0.01885495523771518
C9orf47	-1.1047917964790592	0.0008759177856718325	0.01886719443148835
CXCR1	-1.3547487039118353	0.0008872747159447366	0.018987457931250753
PWAR1	0.6371397511609764	0.0008905145400391643	0.019033086885613185
IRX6	1.3262322386541276	0.0009157104702768661	0.019386694762572897
CAMK1G	0.595529939746287	0.0009179117666433427	0.01940147084624748
CXCL8	-2.0958265262862255	0.0009223185089547066	0.019415611090939512
LINC00473	-1.927483274173576	0.0009437976200692333	0.019510462110523694
C11orf42	0.834445913966368	0.0009436195616992485	0.019510462110523694
FOLR3	0.8496425104908001	0.0009465873004037004	0.019510462110523694
GINS2	0.85171825471632	0.0009409928628600046	0.019510462110523694
MDFI	0.864417431612833	0.0009433488383203224	0.019510462110523694
CXCL1	-1.5256801432899563	0.0009463897853097291	0.019510462110523694
RPGR	-0.6552822896974124	0.0009500060803785596	0.019527397709599485
OLFML3	0.8184437823152333	0.0009513406789939524	0.019531467416764727
RNF112	0.7601274231624675	0.0009592927188504742	0.019601053603717656
LOC100506142	-0.9635074338465035	0.0009571866331174471	0.019601053603717656
IL1B	-2.005013422498089	0.000964956772852663	0.01964670282547412
TP73	0.607182831255419	0.0009689448122831934	0.019704553437011118
HES1	-1.1630615302185134	0.0009896344635934654	0.019953905366249775
ABHD14A	0.8345918153085936	0.0010241327701437087	0.020263687621613916
CXorf21	-0.5973570683680638	0.001047022378141451	0.020588593546285634
DCXR	0.8327109359114822	0.0010550236122444823	0.020621387988518994
SCN3B	0.6076649643349779	0.0010581441663487386	0.020621387988518994
LINC00649	0.9730280995608505	0.0010579478860140604	0.020621387988518994
CCNL1	-0.630831217459729	0.0010665619374031921	0.02063941478866718
CCL8	-1.6418218822936383	0.0010739343025392833	0.020712106683316547
DKK3	0.6681129955142939	0.00107525048793862	0.020714242583786152
HOXC5	0.5914024045649722	0.0010808660633035564	0.02079625378954505
S100A9	-1.208956129356202	0.0011431715755974815	0.021563403243761933
UFSP1	0.9482960852367794	0.0011493108531300843	0.021631717086733154
IHH	-0.6239667313000457	0.0011572443138978593	0.021652748926514115
TREML1	1.0574182845341076	0.001165024773182727	0.021652748926514115
NDNF	-0.6997695876146413	0.001167632007041482	0.021652748926514115
ZNF93	-0.7125186169671602	0.0011550229331390128	0.021652748926514115
NR0B2	-1.0669603698286894	0.0011604317959689181	0.021652748926514115
IL1RN	-1.6030760709317424	0.0011845771684726686	0.021797637273638436
DUSP8	-1.22661258282929	0.0011975951866559727	0.02189305924201727
PTGFR	-0.746437538555452	0.0012119254322816842	0.021949146832179925
ZFP36L2	-0.6089505871948493	0.001243253093230204	0.022134786195560703
MROH5	-1.4416567464377792	0.0012400628162036634	0.022134786195560703
CATSPER2P1	0.5959208121310677	0.0012623778743389433	0.022216280831786256
ALX4	0.6463843922938324	0.001258850625861643	0.022216280831786256
LOC105274304	0.8531794706677189	0.001261002323764111	0.022216280831786256
ALK	0.6161332253340186	0.001286741470319521	0.022506416849123145
SLC18A2	-0.6780342179689978	0.0013104895240514897	0.02263816249137561
ARID4A	-0.7416791420520319	0.001314875769009804	0.022662486681850096
MCL1	-0.7200680115086584	0.0013168102607577425	0.022662486681850096
CEBPA	0.7368345357022026	0.001318813238003381	0.022662486681850096
KLRD1	-0.9693893478327507	0.0013400460938694215	0.02286728110928713
PTHLH	-0.7918201169721435	0.0013462860720200524	0.022928225829130407
ZNF92	-0.665722155578071	0.0013585094982944022	0.023045041676891417
APOBR	-0.9679441287136719	0.0013685777701896444	0.02319293925339137
ARHGAP26-AS1	-1.1628208980820558	0.0013906645327246947	0.023352222337547843
HSPA1B	-2.070970811254648	0.0014048744557682846	0.02350668222777235
LACC1	-0.5956622059936008	0.0014176531687601923	0.023626527289343294
COPS2	-0.6846483184209387	0.0014393349902599936	0.023771596218972447
ZFAND5	-0.6858508855592707	0.0014472411871243329	0.023844096413753152
MALAT1	-0.6223163606145157	0.0014666743532758177	0.023980335001609565
MOV10L1	1.1305481580618926	0.001499997492598282	0.024255963021653667
LINC00539	0.6684033914892602	0.0014933577903229447	0.024255963021653667
THEMIS2	-0.8478841902531027	0.001499935572447906	0.024255963021653667
TNFSF9	-1.9807859006492952	0.0015004707106621186	0.024255963021653667
SLC26A7	-0.6337079649813457	0.001519967630481757	0.02445610839157164
LOC101928069	0.6288046791407078	0.0015308443952645927	0.024539207171853324
MFAP2	0.710624411648582	0.0015368721108059088	0.02458995377289454
HIST1H3A	1.1216458600075478	0.0015573331342581273	0.02465029826431682
MNS1	-0.941161513759261	0.001559292028242108	0.02465029826431682
PROK2	-2.1507739889786115	0.0015524027658481568	0.02465029826431682
PER3	0.7505596782552146	0.0015558599323220147	0.02465029826431682
TMEM92	1.1973975453662633	0.001543084071656534	0.02465029826431682
DYNLT3	-0.5886379466128187	0.0016005633028613768	0.025117881092575248
IFRD1	-0.7036246848060426	0.0016091382599406942	0.02522940863031103
ERFE	1.0005583437110026	0.0016123142417847727	0.025256160374502765
ACY3	0.6032832547984555	0.0016996947077828053	0.025756220333809282
RPPH1	0.6186546288404635	0.0017833676824019567	0.026596094723754734
LOC102724708	0.6494497111035544	0.0017914515994805614	0.026616199357778723
FAM222A-AS1	0.8293244110155991	0.001799585258736779	0.026681685147655575
DUSP10	-0.6840594110229672	0.0017985580002165917	0.026681685147655575
COL17A1	0.8775481294156604	0.0018227231563990773	0.026840246150571172
LINC01473	-0.59259198620303	0.001824805376686151	0.026840246150571172
FMO2	0.8260344488960971	0.0018258989612440469	0.026840246150571172
LINC00864	0.6556301448201589	0.001820368565963764	0.026840246150571172
SAMD5	-0.7035576220078266	0.0018164798245572974	0.026840246150571172
ABRA	1.5641820302429466	0.0018554888062563076	0.027125120892030494
GRASP	-0.856181046182181	0.0018677689772425973	0.02715375812600405
SELL	-0.7506618269638947	0.0018729446932513152	0.027165684919895194
S100A8	-1.9571547646312641	0.0019339897171157506	0.027631693941391193
ZNF835	0.7403628096172383	0.0019282528816809085	0.027631693941391193
CELF2-AS1	-0.7064887006225096	0.001946589456551756	0.027701427845722295
HAT1	-0.6152042040608254	0.001944316754544867	0.027701427845722295
HCAR1	0.728907764951332	0.001955588058057476	0.027795554333878963
PRDM1	-0.8637656815594648	0.001972148748837282	0.02790178372136896
REL	-0.714306970958198	0.0019743042826740422	0.02790178372136896
NYNRIN	0.6140398828828406	0.001987578994480331	0.028018504873789995
CSRNP1	-1.2515973752065435	0.0020229262803813986	0.028377114450672616
NAT8B	0.5974347085875138	0.002034018713926982	0.02848620829675734
SDF2L1	0.6054694291202622	0.002056103383617247	0.028584238168843545
SEBOX	0.92883139574253	0.0020763051319790545	0.028584238168843545
PIM1	-0.7287728493334047	0.00207682260163916	0.028584238168843545
SCARA5	2.547716182668659	0.0020808247431197986	0.028605513908616497
RELN	0.9223483782933588	0.002087399701965173	0.028650061085119433
LOC101927377	0.8569498137396447	0.00209140194500979	0.02865921134214373
KCNK3	0.8832006526264227	0.0021273066155870816	0.02886919789471412
GCC2	-0.6149366160917449	0.002130084535064255	0.02886919789471412
SLC38A2	-0.6111839898649105	0.0021276710043061546	0.02886919789471412
HMGN5	-1.536538324959551	0.0021246628880030975	0.02886919789471412
PPIG	-0.7164432826260754	0.0021304826588229675	0.02886919789471412
PDK4	-1.8738606844200731	0.002170369402237335	0.02911058802025411
CXCL3	-1.724068276188445	0.0021992842461872534	0.029277296215951126
MIR3064	-0.7463577924444307	0.002219918201336954	0.029411776693734938
CCDC112	-0.6041693266919248	0.002274597093100053	0.029822769348979546
ACTRT3	0.6767988382585202	0.0023110212159155063	0.030085294374463684
BHLHE40-AS1	-0.6331144074740145	0.002368031446932068	0.030549739027087578
FOXF1	-1.143222642433094	0.002389898862594487	0.030808718720797948
LOC100147773	0.6123053998406469	0.0024213370478896523	0.031143904065071695
STARD4	-0.5946890368046489	0.0024530477104915314	0.03148108428460528
DEPDC7	-0.6983341719060281	0.002510752826319097	0.03181768183441546
LINC01719	0.8056790954317066	0.002549294220505384	0.03217167619989932
MOGAT2	1.0531478136410755	0.0025831964513329405	0.03240120278810602
GLMN	-0.6564899890339317	0.0025891987690367575	0.032452802076679534
LINC01159	0.777011867903493	0.002651846198907426	0.03276011867866658
ETV4	0.7530757062428153	0.002656035803032002	0.03278155846856096
TLR2	-0.6398055526221782	0.0026859971379421784	0.03290299511800482
GRIK4	0.7037553355287391	0.002686985230542532	0.03290299511800482
LOC100272217	0.6086847022688007	0.002694137667771379	0.03290299511800482
CHRM3-AS2	-0.8816790905071574	0.0026950443730372666	0.03290299511800482
CH25H	-2.251776665216668	0.0027362637130914184	0.03315934812818261
LSMEM1	-0.9144010204516606	0.002740673518969624	0.03318938248764906
DLL4	-0.683410421332562	0.0027481856368308287	0.033233513007249096
SLC22A7	0.7847493037927311	0.002764796807002276	0.033334947750946815
CFI	-0.7767081948015928	0.0027879895369746074	0.03349304400717228
LOC440028	0.8663649353733058	0.0028130658076470027	0.03361594077789019
FOSL2	-1.043770709787756	0.0028527960118943643	0.03376201561184074
CALB1	-0.992169174659514	0.0028870360306477347	0.03382011917011581
SCN7A	-0.6890231822547097	0.0028900301816449205	0.03382011917011581
CCDC82	-0.7456600121763302	0.0028828382008414225	0.03382011917011581
