id	logFC	P.Value	adj.P.Val
MIR4521	2.1942078386385457	8.837214924704342e-26	2.979908872610304e-21
RP11-342M3.5	0.7959825442539943	2.218544266765437e-22	3.740465633766527e-18
VTRNA1-3	1.8025822128977298	8.258897853227713e-20	9.28300118702795e-16
PFN1P2	0.8619568228155687	2.2599051472313165e-18	1.5240800312928e-14
MIR1285-2	0.7085890643319104	7.321324106448233e-18	3.5267864124204916e-14
MORN2	-0.7379354679871515	1.1448318601397956e-17	4.2893033693237677e-14
RNU6-199P	1.3095227296737812	1.141386467689074e-17	4.2893033693237677e-14
UNC5B	0.7030191463330207	6.765591938842247e-17	2.07396145616146e-13
MIR30A	1.242685368315822	1.6206238082638439e-16	3.643162320977121e-13
HSD17B14	-1.0100729631105692	4.908273427030473e-16	9.19483221997042e-13
SNORD3C	-1.456980183616035	6.549411327927058e-16	1.1623481577773704e-12
MIR503	1.1789975071399192	9.412659523033533e-16	1.4420705792589893e-12
RNU6-212P	1.3434411523148357	1.5752249544608071e-15	1.967280943126608e-12
SNORD3B-1	-1.483768672737284	2.0449612672509453e-15	2.3777963424724784e-12
SNORD3D	-1.450176805384535	4.006971529752973e-15	3.6517589184667635e-12
MIR1254-1	0.9375749716903172	4.578461674914092e-15	4.062782307318504e-12
RP1-149A16.12	0.6263864858111683	8.087851687091467e-15	6.1982354292891886e-12
RP11-1018N14.3	0.6418323757975442	1.2610262085561081e-14	8.504360750502393e-12
SNORD3A	-1.4216466641708543	1.3856857692809272e-14	9.151239746485727e-12
SPDYE3	0.7237112868771431	2.4495021853951377e-14	1.4749502444915007e-11
RNU6-1091P	0.6253030950279062	2.7779996342024832e-14	1.5900179765646454e-11
SMG1P7	0.7014648212641017	6.075981541005838e-14	2.9032470108401896e-11
HBA1	-1.575687003780068	6.440772162479445e-14	2.975107360531601e-11
CA2	-0.8257918491392422	6.76386235585647e-14	3.041032515193069e-11
HMGCL	-0.6165654815108113	1.0411848802974299e-13	4.281555385808456e-11
SPDYE8P	0.7110687736113883	1.2864037653243005e-13	5.1639922579446917e-11
LOC101928020	0.6788199224400175	1.602523767042567e-13	6.071584429738804e-11
MIR4256	1.9209258700862772	1.9038409809862233e-13	6.725069854516173e-11
NPIPB8	0.5995365032297402	1.967977673243185e-13	6.841258468222701e-11
NEBL-AS1	-0.7235863025898066	2.1537984857802157e-13	7.30813555195413e-11
RNU6-1190P	0.8208972907483556	2.250793310555772e-13	7.508632472622412e-11
RNU6-795P	1.1734379335516527	2.3009579825792986e-13	7.532844968211064e-11
KIRREL-IT1	0.7561399167310823	2.3431616664329216e-13	7.579275218255029e-11
DANCR	-0.6383584279154357	2.641402315853578e-13	8.378859053863661e-11
LOC100190986	1.3069680802823953	2.9266239440455276e-13	9.137570314186591e-11
HBA2	-1.2807088585799722	3.6745321127461987e-13	1.1062966325160876e-10
SPDYE1	0.6703979150806703	4.201954032081888e-13	1.2110247005282157e-10
ANKS1B	-0.5913820608044551	4.152439777776302e-13	1.2110247005282157e-10
RP11-328D5.1	0.8639071215723382	4.864417627134767e-13	1.3444931343195438e-10
SMG1P2	0.739884482396862	4.925869504119935e-13	1.3504091030806845e-10
SPDYE2	0.8970419914978862	6.171444646657657e-13	1.638591444766112e-10
G6PC	-2.613403494907671	6.267709839555507e-13	1.6477347967592522e-10
SPDYE6	0.9151986526140332	6.717650324591164e-13	1.7250254292894053e-10
HIST1H1E	-0.6309413798239998	7.159559986061579e-13	1.7853456721776094e-10
SMG1P1	0.830464924395506	7.200682426339112e-13	1.7853456721776094e-10
RNU6-1060P	0.6134121009176372	8.69934889587534e-13	2.0370975331174754e-10
FN1	2.104234020712073	8.899743770596074e-13	2.0554750681130112e-10
SLC6A6	0.7770351321498179	9.732825041307838e-13	2.2175058134655422e-10
MIR548D2	0.7092446880934746	1.1143091442045596e-12	2.488377771031639e-10
SMG1P5	0.797440114753587	1.1605887213813703e-12	2.5412371224012864e-10
GUCY1A3	0.7026112159169493	1.2291631767094295e-12	2.6740246657188366e-10
MIR548AA2	0.7251215186815845	1.4946254330106e-12	3.1110351605628047e-10
RNA5SP315	1.8846798486453258	1.5810490741445382e-12	3.228677901327491e-10
RNA5SP312	1.8846798486453258	1.5810490741445382e-12	3.228677901327491e-10
RNA5SP313	1.8846798486453258	1.5810490741445382e-12	3.228677901327491e-10
PM20D2	-0.6310181223599853	1.7274671352822263e-12	3.4467569113441816e-10
ATP13A3	0.6616578681764853	1.931440432691065e-12	3.7646341844128737e-10
LOC100272216	0.7117467706351057	2.0139558831630073e-12	3.9029076080607244e-10
MIR548AI	0.6608873347740118	2.421852689358808e-12	4.5369373713988337e-10
SMCO3	-1.0707833172130519	2.5612471267469115e-12	4.719412738464801e-10
SLIT3	0.7998673979272128	2.5384425241727464e-12	4.719412738464801e-10
PDK4	-1.5846893207662136	2.779455313779044e-12	5.011937603242212e-10
SAT2	-0.8449496643659158	3.191086565244091e-12	5.600601823516752e-10
MIR548AD	0.6757467766680829	3.238707770778697e-12	5.629341547972044e-10
RNU6-1248P	0.8388727447467241	3.3438700007951605e-12	5.782322893682708e-10
PRINS	0.7382733929454952	3.7807751273512815e-12	6.330112132542529e-10
C10orf32-ASMT	-0.7352694050940407	4.021575889539057e-12	6.526827484646576e-10
GUSBP3	0.6670649943104232	4.363011942265054e-12	6.854026487584624e-10
SPDYE5	0.6265949276024285	4.651294906268585e-12	7.064939830602552e-10
HBB	-0.9998869943863564	5.779443307805327e-12	8.473166449530245e-10
RNU6-677P	0.7040002683804794	6.055400125609681e-12	8.839311352188677e-10
NPIPB11	0.878148079854828	7.132884277642746e-12	1.0105918396727455e-09
GSTA3	-0.8316434933417582	8.457575886285015e-12	1.1593067434371168e-09
LOC613037	0.8083182620138594	9.068165284686641e-12	1.2379697708487188e-09
RNU6-1127P	1.0283837003701364	9.162444361758687e-12	1.2407936701947907e-09
PRO0471	0.8212698589885488	1.3869227330888525e-11	1.7647937569719284e-09
RNA5SP320	1.1774552041325466	1.7430389570628568e-11	2.1529404260864297e-09
A1CF	-1.4178709142289696	1.9749928821012553e-11	2.367684718348549e-09
RNU6-97P	0.7175039050582042	2.101069980595869e-11	2.477205585513731e-09
DCXR	-0.8112283879407851	2.3014299196893724e-11	2.6760074790319188e-09
ERVMER34-1	-0.6576019357960856	2.3681905023337968e-11	2.7347734157087545e-09
RNU6-38P	0.6829941792170624	2.472265074990011e-11	2.816377646238621e-09
RP3-467L1.4	0.6317680096963043	2.516403489275749e-11	2.857007597925194e-09
LOC100506123	0.7468151767608511	3.5060093122795765e-11	3.7176928933983434e-09
RNA5SP20	1.05006852810219	3.5621166837834973e-11	3.765347165428825e-09
BCL6B	0.671681057162357	3.8538157809476575e-11	4.010823090541822e-09
RPL36AP33	0.9022336931358232	4.416900736305865e-11	4.435818985940676e-09
RNU6-188P	0.723997345330714	4.4331880138256464e-11	4.435818985940676e-09
MED11	-0.6080674602981597	5.672185645825688e-11	5.480404010809232e-09
TMEM150C	-0.8270074142555224	5.770664156974215e-11	5.5453832084584296e-09
MIR548O2	0.798018299681428	6.315554053894147e-11	5.915568963814183e-09
GSTA5	-0.6200239169715758	7.096138315007638e-11	6.502222390816781e-09
RNA5SP311	1.775930839775385	7.687069533077889e-11	6.893829379132617e-09
RNA5SP314	1.775930839775385	7.687069533077889e-11	6.893829379132617e-09
RNA5SP317	1.775930839775385	7.687069533077889e-11	6.893829379132617e-09
MAOA	-0.7160860657549426	7.658523352346893e-11	6.893829379132617e-09
RNU5B-1	-0.9796319845926966	8.370357153781798e-11	7.369411050274731e-09
LINC00342	0.6350250449570254	9.956086448808411e-11	8.564266200352541e-09
NPIPB3	0.6331900248155282	1.0106563522541981e-10	8.671585801020753e-09
RNU6-171P	1.1935434874151039	1.0375491926126888e-10	8.8572553860506e-09
C1orf132	0.6030054468454198	1.0624110980574328e-10	8.978571986590634e-09
NPIPB5	0.7105794737223032	1.5776805490533475e-10	1.248811927560537e-08
HIST1H2BD	-0.8082495484004748	1.5856324375072858e-10	1.2521668803921705e-08
RNA5SP187	0.8641306959601929	1.6364666935328024e-10	1.286285708762846e-08
COL15A1	0.7419874048486212	1.6969125649420248e-10	1.3306951555777924e-08
PTPRD-AS1	-0.6177337184192107	1.7732711282284423e-10	1.383199977890785e-08
NAP1L2	-0.6831028046678274	1.7951626827855887e-10	1.391560589966208e-08
SMA5	0.7057606605862414	1.8706004492582616e-10	1.4434015365901278e-08
FBN1	0.7548530531693878	1.927798358422246e-10	1.4807599235990462e-08
CACNA1C-AS4	0.6970551017432962	1.9393928112528433e-10	1.4829098774477524e-08
RNA5SP229	1.0040817308935521	2.1177203441787454e-10	1.6083227478762906e-08
RPL23AP32	0.7674965607614306	2.458722075109989e-10	1.814181802466276e-08
RP11-243J16.7	0.6457225479047697	2.5378332128834355e-10	1.868465850184049e-08
IGHJ1	0.7039867932887498	2.631957406805047e-10	1.9251540945220432e-08
MIR99A	0.9364072510060173	2.735700182499304e-10	1.983823874276915e-08
RNA5SP166	0.6582277990147292	2.7430766062404535e-10	1.9849043597087572e-08
LOC145837	-0.7934952514343792	2.8433416703250714e-10	2.0356153104747647e-08
RNU7-47P	0.660442693087373	2.860140293237495e-10	2.0433036162705153e-08
GUSBP2	0.6078382902304069	2.9512001751235837e-10	2.099461390404372e-08
LOX	-0.8516596442609563	3.1987927093334717e-10	2.2483590615299036e-08
HIST2H2AA4	-1.0615193228788486	3.6440222329355094e-10	2.5179596248890445e-08
CLYBL	-0.6796359305002948	4.254138315678441e-10	2.8575606375433673e-08
AKR7A3	-0.8545487731299515	4.452272753498065e-10	2.9437379852540146e-08
RNU6-388P	0.8538830134555271	4.4815399043324385e-10	2.9572901286514643e-08
