gene,pathway,rho,rank
FN1,KEGG_ECM_RECEPTOR_INTERACTION,0.919,top5
FN1,KEGG_FOCAL_ADHESION,0.86,top5
FN1,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.82,top5
FN1,KEGG_SMALL_CELL_LUNG_CANCER,0.813,top5
FN1,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.783,top5
FN1,KEGG_ECM_RECEPTOR_INTERACTION,0.919,R대조
FN1,KEGG_CITRATE_CYCLE_TCA_CYCLE,-0.549,R대조
FN1,KEGG_TRYPTOPHAN_METABOLISM,-0.581,R대조
ALDH2,KEGG_TRYPTOPHAN_METABOLISM,0.936,top5
ALDH2,KEGG_ARGININE_AND_PROLINE_METABOLISM,0.933,top5
ALDH2,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.93,top5
ALDH2,KEGG_HISTIDINE_METABOLISM,0.93,top5
ALDH2,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.929,top5
ALDH2,KEGG_ECM_RECEPTOR_INTERACTION,-0.544,R대조
ALDH2,KEGG_CITRATE_CYCLE_TCA_CYCLE,0.921,R대조
ALDH2,KEGG_TRYPTOPHAN_METABOLISM,0.936,R대조
