Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.8208135213623147	-3.4034583411092547	0.0	0.0	0.0	103/186	8.34%	FOSB;FOS;EGR1;NR4A1;NR4A2;ATF3;NR4A3;DUSP1;EGR3;EGR2;DUSP2;JUNB;ZFP36;SLC2A3;CXCL2;IL6;JUN;SOCS3;MAFF;BTG2;CCL20;IL1B;TNFSF9;GADD45B;CD69;SERPINE1;CXCL3;DUSP5;KLF6;PTGS2;CXCL1;CCL4;GEM;PLAUR;IER2;ZC3H12A;KLF4;BCL2A1;PHLDA2;PPP1R15A;BIRC3;KLF10;BHLHE40;HES1;PDE4B;MYC;BCL3;HBEGF;CXCL6;LIF;CCL2;FOSL2;PER1;RHOB;FOSL1;IL7R;LDLR;CDKN1A;KDM6B;TRIB1;IRS2;ICAM1;OLR1;CEBPD;TNFAIP3;NAMPT;MCL1;REL;GPR183;NFIL3;CEBPB;TRAF1;RCAN1;IL18;NFKB2;TLR2;CCNL1;GADD45A;KLF9;KLF2;MXD1;CD83;F3;PLEK;RELB;PLK2;KYNU;BTG3;CLCF1;ETS2;ZBTB10;GCH1;PNRC1;CXCL10;DNAJB4;VEGFA;PLPP3;NFKBIA;SAT1;MAP3K8;EDN1;CCL5;SERPINB8
prerank	HALLMARK_INFLAMMATORY_RESPONSE	-0.6727627152008587	-2.799718935890926	0.0	0.0	0.0	84/183	13.50%	RGS1;OSM;IL6;BTG2;PROK2;CCL20;CXCL8;IL1B;TNFSF9;CD69;RGS16;SERPINE1;SELE;KLF6;LAMP3;PLAUR;FFAR2;SLC28A2;PDE4B;MYC;FPR1;HBEGF;CXCL6;LIF;CCL2;C5AR1;CD70;CSF3R;IL7R;LDLR;CDKN1A;CD55;MEFV;ICAM1;OLR1;NAMPT;SELL;ICAM4;GPR183;IL18R1;TNFSF10;IL18;CCR7;TLR2;IL18RAP;ROS1;MXD1;ADM;CCL22;CXCL9;F3;MSR1;CLEC5A;GCH1;CXCL10;AQP9;IRAK2;HIF1A;C3AR1;TLR1;GNA15;NFKBIA;EDN1;CX3CL1;CCL5;NLRP3;CALCRL;SLAMF1;KCNA3;NOD2;SLC7A1;PTPRE;IL2RB;P2RX7;IL15;NMI;MMP14;TNFRSF1B;ITGB8;OSMR;PTAFR;INHBA;TNFRSF9;ATP2B1
prerank	HALLMARK_APOPTOSIS	-0.6155981427188905	-2.449643006327156	0.0	0.0	0.0	45/151	12.02%	ATF3;EGR3;IL6;JUN;GSTM1;BTG2;IL1B;GADD45B;CD69;BIRC3;RHOB;NEFH;CDKN1A;SLC20A1;TOP2A;MCL1;WEE1;TNFSF10;IL18;GADD45A;TGFB2;AVPR1A;PDCD4;DDIT3;PRF1;BTG3;FAS;GCH1;CLU;IFNGR1;GNA15;ISG20;SAT1;PPP3R1;ROCK1;APP;SC5D;CD38;PLAT;LMNA;HMGB2;DNM1L;BMP2;ANXA1;CASP3
prerank	HALLMARK_HYPOXIA	-0.5839711967700741	-2.43683436431067	0.0	0.0	0.0	43/184	7.75%	FOS;ATF3;DUSP1;ZFP36;SLC2A3;IL6;JUN;MAFF;SERPINE1;KLF6;EDN2;PLAUR;CXCR4;ERRFI1;PPP1R15A;BHLHE40;IGFBP1;FOSL2;CDKN1A;STC1;IRS2;PCK1;TNFAIP3;PIM1;NFIL3;MT2A;ADM;ERO1A;NOCT;DDIT3;F3;LOX;TGM2;NDRG1;PLAC8;PNRC1;PFKP;WSB1;TGFB3;VEGFA;DTNA;CCNG2;ISG20
prerank	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.5438113358011506	-2.2655369934375744	0.0	0.0	0.0	85/184	22.38%	IL6;SOCS3;CD69;PTGS2;PDE4B;FPR1;CCL2;CDKN1A;ICAM1;CFB;CD86;TNFAIP3;NAMPT;HLA-DMA;PIM1;MT2A;TNFSF10;VCAM1;CXCL9;STAT4;XAF1;ST8SIA4;SLAMF7;FAS;IRF8;GCH1;CXCL10;PFKP;HIF1A;IFIT3;IFI44L;BANK1;ISG20;NFKBIA;SELP;CCL5;ZBP1;UPP1;GBP4;CD38;SERPING1;FGL2;CD274;IFI44;OASL;IL2RB;IL15;NMI;CASP3;ARID5B;MX2;GPR18;HLA-DQA1;BTG1;PNPT1;DDX60;CASP1;LCP2;HERC6;OAS2;SPPL2A;FCGR1A;MTHFD2;IFIH1;PLSCR1;CSF2RB;TXNIP;CD74;LAP3;RSAD2;JAK2;EPSTI1;LGALS3BP;EIF2AK2;HLA-B;EIF4E3;RIPK2;PSMA3;HLA-DRB1;PELI1;IL4R;SOD2;CFH;IL7;IFIT2
prerank	HALLMARK_COMPLEMENT	-0.5420881657726973	-2.229894666675406	0.0	0.0	0.0	80/185	22.61%	IL6;MAFF;CR2;SERPINE1;DUSP5;CXCL1;HSPA1A;PLAUR;S100A9;FCN1;CD55;OLR1;CFB;TNFAIP3;DUSP6;PIM1;CEBPB;PLA2G7;DPP4;F3;PLEK;GMFB;CTSV;PIK3CA;KYNU;FCER1G;USP16;LGMN;ME1;F5;CLU;WAS;DOCK10;CR1;GATA3;CCL5;LAMP2;TFPI2;CTSS;PLAT;SERPING1;MMP12;ZEB1;MMP14;CASP3;USP14;CBLB;USP15;CD46;GNAI3;SPOCK2;GZMB;LIPA;CA2;USP8;C3;CASP1;LCP2;CTSL;PLSCR1;CTSO;PIK3CG;PDP1;CP;LAP3;JAK2;F8;MMP13;PIK3R5;LYN;CPM;GPD2;CDA;ADAM9;LGALS3;CFH;SERPINA1;CALM1;CTSB;GCA
prerank	HALLMARK_IL2_STAT5_SIGNALING	-0.5383568236707567	-2.2121280851439367	0.0	0.0	0.0	68/187	17.89%	SLC2A3;MAFF;CTLA4;ICOS;GADD45B;RGS16;KLF6;NFKBIZ;BHLHE40;MYC;LIF;RHOB;CISH;MUC1;CD86;SELL;PIM1;NFIL3;TRAF1;IL18R1;IL1RL1;TNFSF10;MXD1;SNX14;CD83;TGM2;SPP1;PHTF2;TLR7;IRF8;NDRG1;GABARAPL1;CXCL10;IFNGR1;SMPDL3A;SCN9A;MAP3K8;SELP;APLP1;ITGAV;GBP4;TNFRSF18;COL6A1;FGL2;RORA;CST7;ADAM19;IL2RB;BMP2;CASP3;ITGA6;TNFRSF1B;TNFRSF9;ABCB1;TIAM1;CA2;PLIN2;P4HA1;ENPP1;SOCS2;RHOH;ITIH5;PLSCR1;ALCAM;SH3BGRL2;SWAP70;RABGAP1L;MYO1E
prerank	HALLMARK_UV_RESPONSE_UP	-0.5545187695706139	-2.2074021322107984	0.0	0.0	0.0	28/139	12.02%	FOSB;FOS;NR4A1;ATF3;JUNB;CXCL2;IL6;BTG2;HLA-F;RHOB;RRAD;ICAM1;EIF5;CTSV;TFRC;BTG3;GCH1;EPCAM;GLS;NFKBIA;CREG1;RAB27A;ASNS;HNRNPU;AQP3;BMP2;MMP14;CASP3
prerank	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.5924045067556021	-2.171239185319142	0.0	0.0	0.0	18/76	8.01%	IL6;JUN;SOCS3;IL1B;CXCL3;CXCL1;CXCL13;CSF3R;PIM1;IL18R1;TLR2;CXCL9;IL2RG;FAS;ITGA4;CXCL10;IFNGR1;MAP3K8
prerank	HALLMARK_KRAS_SIGNALING_UP	-0.5154576869421194	-2.1562390405829976	0.0	0.0	0.0	73/183	15.35%	CCL20;IL1B;RGS16;PTGS2;ADAMDEC1;PLAUR;CXCR4;SOX9;KLF4;PPP1R15A;BIRC3;HBEGF;MMP9;NR0B2;LIF;RETN;IL7R;IGF2;PRDM1;TRIB1;ADGRL4;SNAP25;CFB;TNFAIP3;SPARCL1;TFPI;DUSP6;TRAF1;PPBP;ERO1A;IL2RG;LCP1;PLVAP;GPNMB;SPP1;HKDC1;NAP1L2;NR1H4;IRF8;FCER1G;TLR8;CDADC1;LY96;PTBP2;GADD45G;CXCL10;C3AR1;ITGB2;ZNF277;CD37;CLEC4A;LAPTM5;MAP4K1;CTSS;PLAT;NGF;TSPAN13;JUP;BMP2;EPB41L3;TNFRSF1B;TSPAN7;FLT4;INHBA;TNNT2;CBR4;PCP4;ABCB1;WNT7A;BTC;FUCA1;CA2;ETS1
prerank	HALLMARK_MYOGENESIS	0.4789389155119195	2.089702734179161	0.0	0.0	0.0	30/187	5.67%	MYH7;MYL2;TNNT1;MB;ACTA1;MYH2;DES;TNNT3;CKM;CFD;MYH1;SLN;ACTN3;MYH4;CSRP3;SCD;TNNI2;CASQ1;EPHB3;MYH8;PPP1R3C;ANKRD2;MYL1;CHRNG;HSPB2;MYL6B;COL6A3;FXYD1;PTGIS;COX7A1
