Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	HALLMARK_ALLOGRAFT_REJECTION	0.6294608149490054	3.791085984190689	0.0	0.0	0.0	78/98	28.56%	CCL19;IRF4;CD79A;CCR2;CD3D;TRAT1;CD2;LCK;SIT1;MMP9;TIMP1;CD7;CCL22;CD3E;IL2RG;IL2RB;FCGR2B;CD3G;CCR5;PRKCB;CD1D;CCL13;CD247;ITGAL;ITK;CXCR3;INHBA;GZMA;CRTAM;CD96;CCND2;CD28;CD8A;MAP4K1;NCF4;CTSS;PTPRC;IRF8;CCL5;CD40LG;ZAP70;IL16;GZMB;CFP;FASLG;IL12RB1;IL2RA;TLR6;CD80;PF4;GPR65;LCP2;CCL11;CD4;ITGB2;HCLS1;IL27RA;LY86;CD86;RPS19;NLRP3;ST8SIA4;STAB1;IFNAR2;FGR;SPI1;IL7;WAS;FLNA;STAT4;PRF1;RPS3A;HDAC9;CD74;B2M;PTPN6;LYN;RPS9
prerank	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.4360499869858202	2.718823892445609	0.0	0.0	0.0	59/111	26.00%	GREM1;CXCL6;VCAN;FAP;NNMT;PRRX1;COL1A1;NTM;COL6A3;COL3A1;TIMP1;TNC;THBS2;CRLF1;LAMC2;INHBA;COL5A1;COL1A2;MMP1;LUM;MGP;COMP;COL8A2;FMOD;COL16A1;FBN1;TGFBI;ADAM12;VIM;LOXL1;CDH11;FN1;SFRP4;FSTL1;GLIPR1;LGALS1;CXCL1;TNFRSF12A;RGS4;COL7A1;EMP3;CD44;MMP2;BASP1;SLIT3;FBLN1;ITGB3;TFPI2;PCOLCE;TGM2;CDH6;LRP1;FLNA;COL4A1;CTHRC1;LAMA2;TPM1;WNT5A;DCN
prerank	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4591810051445062	2.542283610262625	0.0	0.0	0.0	65/69	49.49%	IRF4;SLAMF7;C1S;IL2RB;ZBP1;GZMA;C1R;IL10RA;CSF2RB;IRF8;CCL5;SAMHD1;LCP2;FCGR1A;ISG20;CASP1;CD86;IFITM2;ST8SIA4;NLRC5;SECTM1;IFNAR2;TNFAIP2;IL7;IFITM3;STAT4;RTP4;CD38;HLA-B;CFH;CD74;CIITA;B2M;PTPN6;CASP4;SERPING1;FPR1;RNF213;SSPN;BST2;IDO1;UBE2L6;PSME2;APOL6;SP110;CMKLR1;STAT2;MYD88;STAT1;BANK1;ST3GAL5;PARP14;PLA2G4A;PSMB10;TRIM25;CASP8;OAS3;IRF1;IL15RA;IRF9;IFI30;VCAM1;PARP12;PLSCR1;CD40
prerank	HALLMARK_INFLAMMATORY_RESPONSE	0.40606431824928446	2.3792191439911	0.0	0.0	0.0	41/82	22.53%	CXCL6;CD48;HAS2;LCK;IL7R;KCNA3;TIMP1;CCL22;IL2RB;CCR7;SLAMF1;SELL;INHBA;PIK3R5;IL10RA;CCL5;NOD2;CYBB;CD70;PTAFR;SPHK1;ADGRE1;CCL17;LCP2;LPAR1;BEST1;LAMP3;EMP3;IFITM1;RNF144B;GNA15;NLRP3;EBI3;STAB1;HRH1;PTPRE;ITGB3;PTGIR;TNFRSF9;OSMR;C3AR1
prerank	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.37153262342417426	-2.362919075634594	0.0	0.0022821576763485474	0.002	29/74	19.29%	FOSB;NR4A1;FOS;NR4A2;EGR1;ATF3;NR4A3;DUSP1;ZFP36;EGR3;JUN;GADD45B;JUNB;SLC2A3;DUSP2;F3;PER1;OLR1;MAFF;GCH1;HES1;BTG2;VEGFA;BHLHE40;PTGS2;KLF9;CXCL3;CD83;IER2
prerank	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.514749262536873	2.22026755891721	0.0	0.00018229166666666665	0.001	28/28	48.88%	C1S;SELL;LAMP3;IFITM1;ISG20;CASP1;IFITM2;IL7;IFITM3;RTP4;CD74;B2M;GBP2;BST2;UBE2L6;PSME2;PROCR;SP110;STAT2;PARP14;TRIM25;CASP8;IRF1;IRF9;IFI30;CSF1;PARP12;PLSCR1
prerank	HALLMARK_KRAS_SIGNALING_UP	0.3796149871761855	2.1997036015926255	0.0	0.00030381944444444445	0.002	40/83	26.51%	SERPINA3;SLPI;PRRX1;ADAMDEC1;IL7R;MMP9;WNT7A;ITGBL1;IKZF1;IL2RG;DOCK2;LCP1;INHBA;CCND2;IL10RA;MAP4K1;CTSS;IRF8;KCNN4;LAPTM5;ALDH1A3;LAT2;TLR8;SPON1;EPHB2;ETV4;CIDEA;ITGB2;GYPC;FCER1G;PIGR;RELN;F13A1;C3AR1;MMP11;IL33;CPE;TNFRSF1B;CFH;HDAC9
prerank	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4530401995186857	2.1464586159961154	0.0	0.00078125	0.006	35/37	48.56%	REG1A;PLA2G2A;IL2RG;PIK3R5;CSF2RB;IL12RB1;IL2RA;PF4;CXCL1;TNFRSF12A;ITGA4;CD44;EBI3;ITGB3;OSMR;IL7;CD36;A2M;CD38;TNFRSF1B;CD14;CSF3R;IL1R1;IFNGR2;IL10RB;STAT2;MYD88;STAT1;IL17RA;TGFB1;IRF1;IL15RA;IRF9;CSF1;CBL
prerank	HALLMARK_UV_RESPONSE_UP	-0.4262176449884843	-2.118029968467751	0.0	0.00741701244813278	0.012	6/33	5.22%	FOSB;NR4A1;FOS;ATF3;CTSV;JUNB
prerank	HALLMARK_KRAS_SIGNALING_DN	-0.36858344789365843	-2.003438011077202	0.0	0.014453665283540803	0.036	18/43	16.89%	NR4A2;EGF;SLC12A3;NPHS1;KLK7;GPR3;ARPP21;CLDN8;HSD11B2;ZBTB16;PTGFR;YBX2;BTG2;PRODH;PKP1;ATP6V1B1;SLC38A3;SLC16A7
prerank	HALLMARK_IL2_STAT5_SIGNALING	0.35069742180011493	1.9949328073890065	0.0014641288433382138	0.004443359375000001	0.039	35/76	26.64%	IRF4;CD48;BATF;RHOH;TNFRSF18;HOPX;EOMES;CD79B;IL2RB;CCR4;SELL;CCND2;IL10RA;GLIPR2;IRF8;ADAM19;IL2RA;TNFRSF4;ETV4;TLR7;GPR65;CTLA4;BATF3;CD44;CD86;ICOS;XBP1;TNFRSF9;HK2;TGM2;IFITM3;CST7;CDC6;TNFRSF1B;AHNAK
prerank	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.5626896473128479	1.9303915242894165	0.0034662045060658577	0.007392939814814814	0.07	7/15	11.35%	LCK;IL2RG;DAPP1;PRKCB;FASLG;SFN;CAMK4
prerank	HALLMARK_ANGIOGENESIS	0.478856140954975	1.9068922875437142	0.008403361344537815	0.008385416666666668	0.089	10/20	15.53%	CXCL6;VCAN;COL3A1;TIMP1;CCND2;LUM;S100A4;PF4;FSTL1;KCNJ8
prerank	HALLMARK_COMPLEMENT	0.3229127334149632	1.874453464105588	0.001519756838905775	0.010606060606060607	0.119	41/79	29.79%	LTF;C3;LCK;GZMK;TIMP1;C1S;CP;C1QA;GZMA;C1R;PIK3R5;C1QC;PLA2G7;CTSS;PLEK;CCL5;CD40LG;GZMB;PIK3CG;APOBEC3G;FCN1;APOC1;FN1;ITGAM;LCP2;CXCL1;FCER1G;CASP1;TFPI2;WAS;LRP1;CD36;S100A9;CFH;S100A13;CLU;GNG2;LYN;COL4A2;PRSS36;CASP4
