Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	KEGG_RIBOSOME	0.5839523489130887	3.199387945484815	0.0	0.0	0.0	67/71	38.53%	RPS8;RPS2;RPS19;RPLP0;RPSA;RPS3;RPL32;RPS12;RPL31;RPS15A;RPS4X;RPL13;RPL10;RPL35;RPL34;RPS27;RPL35A;RPL13A;RPL10A;RPL37A;RPS16;RPL18A;RPL23;RPL37;RPL7A;RPL18;RPS6;RPL3;RPS3A;RPL30;RPLP2;RPS11;RPL27A;RPL28;RPL19;RPS9;RPL36;RPL12;RPL41;RPL23A;RPL8;RPS5;RPS21;RPS29;RPS25;RPL26;RPL39;RPS20;RPL9;FAU;RPS7;RPL11;RPL38;RPS13;RPL6;RPL27;RPL4;RPL15;RPL29;RPS23;RPS24;UBA52;RPL5;RPLP1;RPS27A;RPL24;RPS15
prerank	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.5260191819133773	3.103441957909061	0.0	0.0	0.0	56/86	26.17%	CCL19;CCL21;CXCL6;CCR2;TNFRSF13B;IL7R;GDF5;TNFRSF18;CCL18;TNFSF14;XCL2;CCL22;IL2RG;IL2RB;CCR7;CCR5;IL24;CCR4;CCL13;CXCR3;INHBA;IL10RA;CSF2RB;CXCR5;CCL5;CD40LG;CD27;TNFRSF13C;FASLG;CD70;IL12RB1;IL2RA;CSF1R;CCL17;TNFRSF4;PDGFRA;TNFSF8;PF4;XCR1;TNFRSF11A;CCL11;CXCL1;TNFRSF12A;IL21R;CCR6;TNFRSF9;IFNAR2;RELT;OSMR;FLT3;IL7;CCL28;CX3CR1;TNFSF13B;TNFRSF1B;HGF
prerank	KEGG_PRIMARY_IMMUNODEFICIENCY	0.7510789449352548	3.050840284319251	0.0	0.0	0.0	15/21	10.01%	CD79A;CD3D;TNFRSF13B;LCK;IL7R;CD3E;IL2RG;CD19;BTK;JAK3;CD8A;PTPRC;CD40LG;ZAP70;TNFRSF13C
prerank	KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.5563935484366606	3.0077096262286993	0.0	0.0	0.0	31/60	15.33%	CCL19;CCL21;CXCL6;CCR2;CCL18;XCL2;CCL22;CCR7;RAC2;CCR5;PRKCB;CCR4;DOCK2;CCL13;ITK;CXCR3;PLCB2;PIK3R5;JAK3;VAV1;CXCR5;CCL5;PIK3CG;ADCY7;HCK;NCF1;CCL17;PF4;XCR1;CCL11;CXCL1
prerank	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.6931822714585703	2.796423898789044	0.0	0.0	0.0	19/22	25.20%	CTSG;C3;C1S;FCGR2B;C1QA;C1R;C1QC;CD28;C1QB;CD40LG;GRIN2A;FCGR2C;CD80;FCGR1A;C7;CD86;FCGR3A;C6;ACTN1
prerank	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.5921420099108559	2.7247317209669717	0.0	0.0	0.0	26/33	27.71%	CD48;LCK;RAC2;CD244;PRKCB;CD247;ITGAL;SH2D1A;TYROBP;PIK3R5;VAV1;HCST;ZAP70;GZMB;FASLG;PIK3CG;LCP2;ITGB2;FCER1G;FCGR3A;IFNAR2;NFATC2;NFATC4;PRF1;HLA-B;PTPN6
prerank	KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.5365216098706961	2.6424886304894164	0.0	0.0	0.0	27/42	23.66%	FCER2;CD1C;CD3D;CD1E;MS4A1;CD2;IL7R;CD7;CD3E;CD19;CD3G;CD1D;CD8A;CD33;IL2RA;CSF1R;ITGAM;CD22;CD4;CD5;FCGR1A;ITGA4;CD44;ITGB3;FLT3;IL7;CD36
prerank	KEGG_OLFACTORY_TRANSDUCTION	-0.7240216349146481	-2.4769552582963934	0.0	0.0037932374659930043	0.004	8/11	13.35%	OR2T3;OR2T34;CALML3;OR2T2;OR2G6;CAMK2A;CAMK2B;OR51B5
prerank	KEGG_CELL_ADHESION_MOLECULES_CAMS	0.5078493226065023	2.4607758696502517	0.0	0.00025948103792415166	0.002	22/42	19.78%	VCAN;CADM3;CD2;CD6;SELL;ITGAL;SPN;CD28;CD8A;PTPRC;SELPLG;CD40LG;SIGLEC1;CD80;ITGAM;CD22;CTLA4;CD4;ITGB2;ITGA4;CD86;ICOS
prerank	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.6230487975627604	2.4327305010075673	0.0	0.00023064981148813483	0.002	13/20	18.43%	PLA2G2A;FCER1A;MS4A2;RAC2;BTK;PRKCB;PIK3R5;VAV1;PLA2G2D;PIK3CG;LCP2;FCER1G;INPP5D
