Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.6422141989391845	3.245509672457164	0.0	0.0	0.0	36/60	15.38%	CXCL6;CCL19;CCL21;CCL18;CXCL1;CCR7;CCL22;CXCL13;RAC2;CCR2;ITK;PRKCB;DOCK2;CCR5;VAV1;CCL5;PIK3R5;CCL13;CCL3;JAK3;CCR4;XCR1;PLCB2;CCL2;PIK3CG;HCK;CXCL2;NCF1;CXCL8;CCL20;CCL4;CXCR4;ADCY7;CCR6;FGR;WAS
prerank	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.5820160994844757	3.220598715833876	0.0	0.0	0.0	61/101	21.01%	CXCL6;TNFRSF13B;CCL19;IL7R;CCL21;CCL18;CXCL1;CCR7;CCL22;TNFRSF18;CXCL13;IL2RG;CD70;TNFRSF13C;IL24;IL2RB;CCR2;TNFSF14;INHBA;CCR5;CCL5;IL6;CCL13;CCL3;CSF2RB;CCR4;XCR1;FASLG;TNFSF9;CCL2;CSF3R;IL10RA;CD40LG;CXCL2;GDF5;CXCL8;CCL20;LIF;IL1B;CCL4;CXCR4;TNFRSF4;FLT3;IL12RB1;RELT;CCR6;IL2RA;IL21R;CSF1R;TNFSF8;TNFRSF11A;TNFRSF12A;TNFRSF9;OSMR;OSM;CXCR3;IL11;TNFRSF1B;IFNAR2;IL7;CX3CR1
prerank	KEGG_PRIMARY_IMMUNODEFICIENCY	0.804704703554964	2.974261100507278	0.0	0.0	0.0	16/21	10.29%	TNFRSF13B;ICOS;IL7R;CD79A;CD3E;IL2RG;CD3D;LCK;TNFRSF13C;CD19;PTPRC;BTK;JAK3;ZAP70;CD8A;CD40LG
prerank	KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.6270836893710345	2.8838919971259225	0.0	0.0	0.0	31/43	22.92%	IL7R;CD1E;MS4A1;CD3E;CD3D;CD2;FCER2;CD3G;CD19;CD7;CD1C;IL6;CD1D;CD8A;CSF3R;ITGA4;CD33;IL1B;FCGR1A;FLT3;IL2RA;ITGAM;CSF1R;CD38;CD5;IL11;ITGB3;IL7;CD44;CD4;CD22
prerank	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.6564004782131271	2.833224634810114	0.0	0.0	0.0	20/33	12.60%	CTLA4;ICOS;CD3E;CD3D;CD3G;CARD11;LCK;ITK;GRAP2;PTPRC;CD247;VAV1;CD28;PIK3R5;ZAP70;CD8A;PIK3CG;CD40LG;FOS;LCP2
prerank	KEGG_JAK_STAT_SIGNALING_PATHWAY	0.627231576925974	2.828172558598543	0.0	0.0	0.0	24/36	20.55%	IL7R;IL2RG;IL24;IL2RB;IL6;SOCS3;PIK3R5;CSF2RB;JAK3;CSF3R;IL10RA;PIK3CG;LIF;STAT4;MYC;IL12RB1;IL2RA;IL21R;CCND2;OSMR;OSM;IL11;IFNAR2;IL7
prerank	KEGG_CELL_ADHESION_MOLECULES_CAMS	0.6132350033258458	2.793982926194507	0.0	0.0	0.0	28/41	23.03%	HLA-DPB1;CTLA4;ICOS;VCAN;SELL;CD2;CD6;CADM3;PTPRC;ITGAL;CD28;SPN;CD86;SELPLG;CD8A;CD40LG;ITGA4;ITGB2;SIGLEC1;ITGAM;SELE;NLGN4X;CLDN1;VCAM1;CD4;HLA-B;CD22;ICAM1
prerank	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.6796070812140604	2.673137341309656	0.0	0.0	0.0	17/23	18.67%	HLA-DPB1;C3;FCGR2B;CTSG;CD28;CD86;C1S;CD40LG;C1QC;FCGR3A;GRIN2A;C1QA;C1QB;FCGR1A;C1R;FCGR2C;FCGR2A
prerank	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.594294959955777	2.6321777056856224	0.0	0.0	0.0	27/37	24.36%	CD48;LCK;RAC2;PRKCB;CD247;VAV1;ITGAL;PIK3R5;CD244;ZAP70;SH2D1A;GZMB;FASLG;PIK3CG;TYROBP;ITGB2;FCGR3A;FCER1G;HCST;LCP2;PRF1;KLRD1;NFATC2;IFNAR2;HLA-B;ICAM1;TNFSF10
prerank	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.6882130633087487	2.5928738637481197	0.0	0.0	0.0	17/21	21.59%	CXCL1;CCL5;IL6;CCL13;BIRC3;NOD2;CCL2;PSTPIP1;CXCL2;CXCL8;MEFV;IL1B;NLRP3;CASP1;CARD9;TNFAIP3;PYCARD
