id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NR4A1	-4.97783396732829	12.5202929372079	-17.2353915779326	2.35953336722457e-11	1.95252803366391e-07	14.9815651494303
FOS	-6.02146665461117	11.499518856654	-17.1563793734295	2.52128092009439e-11	1.95252803366391e-07	14.9335673959884
RGS1	-4.95917212361624	6.00151032451168	-16.8011266367914	3.40874307553058e-11	1.95252803366391e-07	14.7135892484715
NR4A2	-4.76515391491468	8.63033144851737	-15.9246196054837	7.35793024856061e-11	3.16096683478164e-07	14.1402388405234
DUSP1	-3.43803449655451	12.2911088842903	-15.4971405802715	1.08580085621013e-10	3.73168038262298e-07	13.8438392175283
EGR1	-5.33192372208955	11.5927731280999	-14.3561901389875	3.22019608898384e-10	9.22264159884971e-07	12.9938761202492
ATF3	-4.41596808674316	9.85616219721779	-13.0095856524451	1.28549886402755e-09	3.15571606849278e-06	11.8678728733987
CYR61	-2.88516507983349	12.061514986265	-10.9609816996151	1.35644344840276e-08	2.91364052716912e-05	9.85200836423983
OSM	-2.79377770686247	4.94529444126823	-10.6401968042729	2.0247978442868e-08	3.85491340927979e-05	9.49831271717301
HEATR9	1.45850105705606	6.34059271322431	10.5593237207961	2.24331553147101e-08	3.85491340927979e-05	9.40736274489767
BTG2	-2.29305527316726	12.309062382221	-10.0742807880809	4.20239906104612e-08	6.56491140591059e-05	8.84633972603613
MIR27B	1.69908912995826	6.75253084570067	9.95729611583049	4.90612792510773e-08	6.85466619808474e-05	8.7069405841298
NUSAP1	-0.658779547925618	7.52926506414335	-9.86829831479803	5.52450461541332e-08	6.85466619808474e-05	8.59979923583534
JUN	-2.78305185298924	12.4487723148334	-9.8602201418892	5.58457441650293e-08	6.85466619808474e-05	8.59002715640083
FOSB	-6.75208752533036	8.90292301833125	-9.59344069849232	8.01186229116658e-08	9.17838944076044e-05	8.26284996001407
BEST1	1.1247130986126	7.98163464795133	9.52235923680613	8.83159986649197e-08	9.48513825661237e-05	8.17419821027009
RAB26	0.967502489791321	7.32061118580325	9.46547265148663	9.5513318807926e-08	9.65471100232588e-05	8.10279592026979
