id	logFC	AveExpr	t	P.Value	adj.P.Val	B
FAS	1.05606638525237	9.571830371501	8.27090835312003	6.88300248992123e-09	5.21930946821667e-05	10.3914076937252
C3AR1	1.51164874453072	8.92117248366278	8.20094276896607	8.1309110600288e-09	5.21930946821667e-05	10.2350847185683
ANXA1	1.54720143440044	10.948377891428	7.83352265314034	1.97111171522323e-08	5.21930946821667e-05	9.40229788294243
MSR1	1.32566858364699	9.34579791459326	7.73094469200511	2.53184726980289e-08	5.21930946821667e-05	9.16627694842969
GPX8	1.04325887435515	9.05287289519582	7.68513775576787	2.83256388124311e-08	5.21930946821667e-05	9.06039043317227
DAPP1	2.72950362813678	7.36043947960823	7.6688410645239	2.94814482907608e-08	5.21930946821667e-05	9.02264674723492
TOP2A	2.19192735255535	7.39658351284403	7.66515567664154	2.97494378933064e-08	5.21930946821667e-05	9.01410599796307
ARHGAP22	1.78193371240496	8.15960689907417	7.54578033594821	3.99192008735068e-08	5.21930946821667e-05	8.73641248681043
FAP	3.00180078182996	6.18787849245848	7.4856273353156	4.63263381708809e-08	5.21930946821667e-05	8.59571978786299
CD84	2.22227909722774	9.92631635915743	7.47834451510103	4.71702524690434e-08	5.21930946821667e-05	8.57865142776113
ACKR1	3.29774351372977	9.09530830295734	7.47479942058798	4.7586709258448e-08	5.21930946821667e-05	8.57034029122035
GPR141	1.72665520113083	6.89246598832004	7.42689751031271	5.35963257577049e-08	5.21930946821667e-05	8.45786679598457
CD86	1.97107063018405	8.16987751616612	7.41483408045922	5.52283175389496e-08	5.21930946821667e-05	8.42949155422429
C1S	1.95915525625326	13.0221692781923	7.40129994340877	5.71197288199627e-08	5.21930946821667e-05	8.39763292115996
MMP7	3.24842941828428	11.899898472612	7.39638978098778	5.78221538189604e-08	5.21930946821667e-05	8.38606838705551
CD3G	2.55611616101572	6.67230782531263	7.39444472855212	5.81028348653168e-08	5.21930946821667e-05	8.38148642919727
QPCT	1.83053701399687	7.99998312336073	7.39064101761612	5.8655753177113e-08	5.21930946821667e-05	8.37252451866129
PDLIM1	1.15028775426401	11.3966381382162	7.38433323043321	5.95845291676495e-08	5.21930946821667e-05	8.3576583520683
LILRB4	1.81719143152851	8.26405588954758	7.37632099381785	6.07859404245079e-08	5.21930946821667e-05	8.33876721897649
LUM	1.67220956881524	12.6429682520821	7.34837676252199	6.51729221549467e-08	5.21930946821667e-05	8.27281144167747
ARL4C	2.40839901922991	10.2767675727736	7.31555885205402	7.07396711382928e-08	5.21930946821667e-05	8.1952154531982
NNMT	3.1133895387216	10.3046927765158	7.30966714017473	7.17892748620294e-08	5.21930946821667e-05	8.181269230846
VCAN	3.28746327532225	12.8562472634541	7.274824525724	7.83295180504308e-08	5.21930946821667e-05	8.09869671507262
FCER1G	1.74187819942436	9.06489315220951	7.25672049952659	8.19645124407616e-08	5.21930946821667e-05	8.0557272911355
ALOX5	2.14580984302742	9.80991104340401	7.25582918455202	8.21478532656509e-08	5.21930946821667e-05	8.05361063028
CP	2.20202200054551	9.47375156408493	7.23065363159235	8.7502765550193e-08	5.21930946821667e-05	7.99378027612059
TTC9	1.0344267580132	8.84299901980053	7.22340593962298	8.91093819622712e-08	5.21930946821667e-05	7.97654007494281
IL4I1	1.71831640085191	7.70936937098277	7.21850156953819	9.02135757174485e-08	5.21930946821667e-05	7.9648699537693
PTAFR	1.83309160477884	9.69515928557425	7.2065032389335	9.29741110982951e-08	5.21930946821667e-05	7.93630585209669
CARD11	2.56683977802417	9.3792258497926	7.20005972245133	9.44919951673553e-08	5.21930946821667e-05	7.92095795793948
FCGR2B	2.55982905828932	7.93916935038315	7.18884695513317	9.71938448457481e-08	5.21930946821667e-05	7.89423683796952
C3	2.78992305412189	12.805501845868	7.1718039017874	1.0145220937092e-07	5.28289322978755e-05	7.85358932377921
SPHK1	1.66908919203116	7.79827671172908	7.12479416617713	1.14210818911804e-07	5.77234915347191e-05	7.7412708015462
THBS2	2.3403000694753	11.6063765314986	7.06438826578231	1.33039869730201e-07	6.53187748983937e-05	7.59651604343607
RAC2	2.47529447044284	9.75479884790889	7.02902647522463	1.45501143897982e-07	6.77060093306602e-05	7.51155418435935
PARK2	-0.718934779253363	10.3400086154543	-7.0282647915049	1.45782259382823e-07	6.77060093306602e-05	7.50972233613087
TPM4	1.22209140020571	12.9218660414524	6.99285734300269	1.59479524462022e-07	7.17183710408269e-05	7.42448448184824
RNR2	-1.65228974256935	9.9031207023724	-6.98481632955084	1.62768649359419e-07	7.17183710408269e-05	7.40510443920652
SIGLEC10	2.07425235094424	7.29680905671322	6.97424597844901	1.67197724692268e-07	7.18281425277985e-05	7.37961565612606
EMB	1.51250458878419	8.82041232035667	6.96136008784433	1.72763409609026e-07	7.24089373346707e-05	7.34852389963645
LAIR1	1.86172325402503	9.94935141092039	6.94515561066161	1.80031126510615e-07	7.36584494752002e-05	7.30939470886082
FLJ16779	2.82874413580914	8.51390109051429	6.90555684521508	1.99129242733405e-07	7.72283765571009e-05	7.21363427981545
VSIG4	1.61666634305335	9.91302983973785	6.88795409046065	2.08269155277234e-07	7.72283765571009e-05	7.17100235299059
MYO1G	2.39169763602228	9.33653723997453	6.88178906311461	2.11570236454563e-07	7.72283765571009e-05	7.15606210806516
CTSS	2.1157994576137	11.0749387124762	6.88107435040048	2.11956359792788e-07	7.72283765571009e-05	7.15432977370834
ARHGAP15	1.9666209256005	8.88768809838254	6.87922315328316	2.12959805927335e-07	7.72283765571009e-05	7.14984250830376
SP140	2.48277184286344	8.0754222357834	6.87417333591952	2.15721722226539e-07	7.72283765571009e-05	7.13759966247509
TLR6	1.82548262789864	8.14104811390386	6.86395624704412	2.21421802507547e-07	7.7651270495708e-05	7.11281943438238
CENPF	2.00232738058058	7.51705163514787	6.84954695263921	2.29722257247476e-07	7.77329885670369e-05	7.07784936227657
CASP1	1.49076657464668	9.08541648661401	6.84788129060441	2.30701956291834e-07	7.77329885670369e-05	7.07380527831937
CD247	2.16096212420412	7.58196996031166	6.83422301336884	2.38897455075807e-07	7.85637585444077e-05	7.04063113026243
CD3E	2.67679073489291	8.5268127098065	6.82867356087608	2.42311406125094e-07	7.85637585444077e-05	7.02714562175247
IL7R	3.35035242751874	9.71232703989133	6.81423812326264	2.5142625335609e-07	8.00094210679823e-05	6.9920487544072
DIRAS1	-1.3671828013452	7.4213465162184	-6.80678643115462	2.56267143227133e-07	8.00671743493645e-05	6.97392138192022
VCAM1	1.22090316548175	13.0392411954937	6.76936672201437	2.82049013673075e-07	8.20416851256641e-05	6.88278903343763
GFI1	2.13607859150136	7.01280532005636	6.76768825980402	2.8326542471504e-07	8.20416851256641e-05	6.87869727169129
