ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	103	0.652778451668828	3.67714715023858	1e-10	2.5e-09	9.26557843175287e-10	869	tags=79%, list=26%, signal=60%	CCL19/MMP9/IRF4/CD79A/CD3E/CCL22/CXCL13/IL2RG/CD2/CD3D/LCK/FCGR2B/CD3G/TRAT1/SIT1/CD7/CD96/IL2RB/CCR2/ITK/PTPRC/IRF8/PRKCB/CD247/INHBA/CCR5/MAP4K1/CTSS/CCL5/ITGAL/CD28/TIMP1/GZMA/CD86/ZAP70/CD1D/CRTAM/CCL13/GZMB/CD8A/IL6/CCL2/TLR6/FASLG/CD40LG/ITGB2/NCF4/IL16/ST8SIA4/LCP2/LIF/IL1B/CCL4/HCLS1/STAT4/NLRP3/GPR65/IL12RB1/FGR/IL2RA/WAS/PRF1/CCND2/SPI1/CFP/KLRD1/GBP2/LY86/IL27RA/CXCR3/IFNAR2/IL7/STAB1/CD4/CD74/SRGN/ICAM1/LYN/HDAC9/B2M/TLR2	NA
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	106	0.523410610787973	2.96739502179161	1e-10	2.5e-09	9.26557843175287e-10	1184	tags=75%, list=36%, signal=50%	CXCL6/IL7R/CD48/CCR7/LAMP3/SELL/CCL22/KCNA3/LCK/SLAMF1/CD70/IL2RB/RGS1/INHBA/CCL5/PIK3R5/TIMP1/NOD2/HAS2/FPR1/CYBB/IL6/PTAFR/CCL2/CSF3R/IL10RA/TNFSF9/MEFV/CXCL8/SPHK1/LCP2/LIF/IL1B/GNA15/NLRP3/MYC/CCL20/C3AR1/PTPRE/SELE/OSMR/TNFRSF9/ROS1/PLAUR/MSR1/TNFRSF1B/TPBG/CD69/ITGB3/STAB1/P2RX7/OSM/SERPINE1/ICAM1/ADGRE1/LYN/HRH1/RNF144B/TNFSF10/TLR2/BTG2/IFITM1/MMP14/EDN1/PDE4B/CDKN1A/LPAR1/AXL/CXCL10/TLR1/PTGER2/KLF6/EBI3/CD14/PTGIR/EMP3/C5AR1/IL1R1/AHR/RTP4	NA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	83	0.507622010476474	2.72412821917128	8.53533256475239e-10	1.42255542745873e-08	5.27231955465384e-09	1115	tags=71%, list=34%, signal=48%	CXCL6/IL7R/CXCL1/PLEK/INHBA/CCL5/SOCS3/BIRC3/TNC/EGR2/MSC/IL6/CCL2/FOS/TNFSF9/CXCL2/EGR1/SPHK1/LIF/BCL2A1/IL1B/CCL4/MYC/CCL20/PTPRE/DUSP2/TNFRSF9/PLAUR/JUNB/SERPINB8/CD69/CD44/TNFAIP3/SLC2A3/TNFAIP8/TNFAIP2/EGR3/PLK2/SERPINE1/RELB/ICAM1/GEM/TLR2/NFKB2/BTG2/ATF3/MARCKS/EDN1/PDE4B/NFKBIE/CDKN1A/CXCL10/JUN/KLF6/MAFF/FOSL2/TRAF1/CEBPB/CD80	0.801215574617779
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	82	0.484406573608089	2.60297593263028	9.80043129329943e-09	9.80043129329943e-08	3.63226659252284e-08	1417	tags=82%, list=43%, signal=48%	IRF4/SLAMF7/IL2RB/ZBP1/IRF8/CCL5/SOCS3/CSF2RB/GZMA/CD86/C1S/FPR1/IL6/CCL2/IL10RA/ST8SIA4/LCP2/ISG20/C1R/STAT4/SAMHD1/FCGR1A/CASP1/CD38/IFNAR2/CD69/IL7/TNFAIP3/TNFAIP2/VCAM1/HLA-B/CD74/CFH/SERPING1/ICAM1/SECTM1/TNFSF10/B2M/IFITM3/BANK1/NLRC5/IFITM2/FAS/PDE4B/PTPN6/CASP4/CDKN1A/CXCL10/CIITA/RTP4/PLSCR1/STAT1/OASL/MX2/PLA2G4A/SELP/NMI/SOD2/OAS2/SP110/PARP14/IRF1/ST3GAL5/RNF213/IL15RA/ARL4A/SSPN	0.747739663149885
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	111	0.451363076304906	2.56124778860932	5.60755102066692e-09	7.00943877583365e-08	2.59786018960226e-08	1274	tags=71%, list=38%, signal=45%	CXCL6/VCAN/NNMT/FAP/CXCL1/THBS2/LAMC2/COL1A1/INHBA/NTM/PRRX1/TIMP1/COL3A1/TNC/COL6A3/IL6/COMP/CXCL8/LUM/TGM2/RGS4/COL7A1/COL16A1/GLIPR1/TFPI2/COL5A1/COL1A2/CRLF1/FN1/TNFRSF12A/VIM/MGP/TGFBI/CDH11/PLAUR/ADAM12/COL4A1/COL8A2/ITGB3/CD44/TNFAIP3/TPM4/VCAM1/OXTR/IL32/SERPINE1/FSTL1/BASP1/GEM/LOXL1/TPM1/FBN1/CDH6/SPP1/FLNA/MMP14/FAS/SLIT3/COL11A1/LAMA2/JUN/ENO2/FMOD/COL5A2/COL4A2/LAMA3/CTHRC1/EMP3/FSTL3/LOXL2/TGFB1/SFRP1/WNT5A/FBLN1/TAGLN/WIPF1/LRP1/SPARC/LGALS1	0.761460801445585
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	79	0.478815813381997	2.54635309336567	3.55741439941903e-08	2.96451199951586e-07	1.09871673773547e-07	1063	tags=65%, list=32%, signal=45%	ADAMDEC1/MMP9/IL7R/SERPINA3/IL2RG/SLPI/LCP1/IKZF1/WNT7A/IRF8/INHBA/DOCK2/MAP4K1/CTSS/PRRX1/LAPTM5/ITGBL1/BIRC3/TLR8/KCNN4/IL10RA/ITGB2/FCER1G/LIF/IL1B/CXCR4/LAT2/CCL20/C3AR1/CCND2/PRDM1/SOX9/PLAUR/TNFRSF1B/TNFAIP3/ALDH1A3/CFH/F13A1/LY96/MMP11/HDAC9/SPP1/PIGR/CLEC4A/SPON1/IL33/CXCL10/CD37/TSPAN13/AKAP12/TRAF1	0.719512826338911
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	74	0.45449341985621	2.38315367108557	6.4008882154388e-07	4.57206301102772e-06	1.69451233694374e-06	1071	tags=59%, list=32%, signal=41%	CTLA4/IRF4/ICOS/CD48/RHOH/SELL/TNFRSF18/BATF/EOMES/IL2RB/HOPX/IRF8/CD86/CD79B/CCR4/ADAM19/TLR7/IL10RA/NFKBIZ/LIF/TGM2/GLIPR2/MYC/TNFRSF4/GPR65/IL2RA/CCND2/TNFRSF9/CST7/TNFRSF1B/CD44/SLC2A3/CDC6/TNFSF10/IFITM3/SPP1/BATF3/CXCL10/HK2/PTGER2/KLF6/MAFF/TRAF1/SYT11	0.659444398037935
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	73	0.452106524802468	2.36355103150906	8.56974960156154e-07	5.35609350097597e-06	1.98509217684378e-06	825	tags=55%, list=25%, signal=42%	LTF/CXCL1/C3/FCN1/LCK/GZMK/PLA2G7/PLEK/CP/S100A9/CTSS/CCL5/PIK3R5/TIMP1/GZMA/C1S/GZMB/IL6/PIK3CG/CD40LG/C1QC/FCER1G/C1QA/LCP2/APOC1/C1R/TFPI2/ITGAM/WAS/CASP1/FN1/APOBEC3G/CLU/PLAUR/DOCK10/TNFAIP3/SERPINE1/CFH/SERPING1/LYN	0.659444398037935
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	41	0.499879163058869	2.28326932872555	3.09189207896165e-05	0.000171771782164536	6.3662596800299e-05	1066	tags=66%, list=32%, signal=45%	REG1A/CXCL1/CXCL13/IL2RG/SOCS3/PIK3R5/CSF2RB/IL6/CSF3R/ITGA4/IL1B/IL12RB1/IL2RA/TNFRSF12A/OSMR/CD38/TNFRSF1B/ITGB3/IL7/CD44/TLR2/FAS/CXCL10/JUN/A2M/EBI3/CD14	0.557332238758646
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	57	0.423842708684201	2.09484522898344	0.000120616094214718	0.000603080471073592	0.000223515576215633	1423	tags=77%, list=43%, signal=45%	CD2/TOP2A/TIMP1/BIRC3/PLCB2/IL6/FASLG/LUM/ISG20/IL1B/GNA15/ANXA1/PRF1/CASP1/CCND2/TNFRSF12A/CLU/CD38/CD69/CD44/EGR3/TNFSF10/IFITM3/BTG2/FAS/ATF3/CASP4/CDKN1A/JUN/ENO2/CD14/HGF/TGFB2/CDC25B/SOD2/DCN/TIMP2/IRF1/LEF1/MCL1/MMP2/EMP1/BMF/BGN	0.538434096309916
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	29	0.491019786910198	2.03743857472765	0.000880587137711429	0.00400266880777922	0.00148348167099237	1701	tags=100%, list=51%, signal=49%	LAMP3/SELL/C1S/ISG20/CASP1/GBP2/IL7/CD74/B2M/IFITM3/IFITM2/IFITM1/CXCL10/RTP4/PLSCR1/OASL/SAMD9/NMI/SP110/PARP14/IRF1/IL4R/IFI30/MX1/CSF1/IRF9/SAMD9L/TXNIP/UBE2L6	0.477270815362862
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	15	0.543261002374979	1.9035346806118	0.00492330873018054	0.0164110291006018	0.00608230709109619	815	tags=60%, list=25%, signal=45%	DAPP1/IL2RG/LCK/PRKCB/FASLG/SFN/CXCR4/CAMK4/SLA	0.407017918923954
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	34	0.42251843885925	1.86440390526768	0.00427865544843771	0.0164110291006018	0.00608230709109619	1521	tags=82%, list=46%, signal=45%	TUBB/MELK/MYBL2/MKI67/TOP2A/PTTG1/KIF18B/MYC/E2F8/AURKB/BIRC5/LMNB1/BRCA2/TACC3/CDKN1A/ASF1B/HMGA1/KIF4A/CDCA8/CDC25B/DIAPH3/ATAD2/STMN1/NAP1L1/DCK/CKS2/MTHFD2/BUB1B	0.407017918923954
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	36	0.41829674551882	1.84847808970686	0.0046877240359741	0.0164110291006018	0.00608230709109619	1295	tags=72%, list=39%, signal=44%	MYBL2/MKI67/TOP2A/UBE2C/E2F2/CENPF/PTTG1/TPX2/BUB1/MYC/CDC7/AURKB/CDC6/BIRC5/TROAP/LMNB1/BRCA2/MARCKS/TACC3/HMGA1/KIF4A/BCL3/TGFB1/POLQ/CDC25B/E2F1	0.407017918923954
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	27	0.452029719010299	1.84390574879067	0.00573695585299824	0.0179279870406195	0.00664452680193236	1629	tags=93%, list=49%, signal=47%	TOP2A/DOCK2/CENPF/ANLN/TPX2/BUB1/BIRC5/FLNA/LMNB1/BRCA2/MARCKS/KIF3C/ARHGAP4/PIF1/KIF4A/MYO9B/PREX1/CNTRL/MID1/TIAM1/NIN/ARHGEF2/FSCN1/CCDC88A/ECT2	0.407017918923954
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	17	-0.451676178787947	-1.83607728198152	0.00460932949890761	0.0164110291006018	0.00608230709109619	1550	tags=94%, list=47%, signal=50%	GLUD1/ACO2/SLC25A20/ACADM/ECI1/ECHS1/ETFB/MRPL34/MAOB/IDH1/SUCLG1/ACADSB/PHYH/NQO2/ACAA1/ALDH6A1	0.407017918923954
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	7	-0.592620117102542	-1.7014895245296	0.026849668952106	0.067124172380265	0.0248777713542338	1040	tags=86%, list=31%, signal=59%	DPP4/SYT13/HNF1A/VDR/PKLR/ABCC8	0.352487857583619
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	56	0.33808667987248	1.65175020841183	0.0126702133895446	0.0372653334986606	0.0138113948126907	1750	tags=82%, list=53%, signal=39%	MMP9/VCAN/RAC2/CADM3/PTPRC/LAMC2/CD86/VWF/CD209/COL16A1/MDK/TGFBI/CDH11/VCAM1/ICAM1/FBN1/ZYX/CDH6/CLDN4/ACTN1/CDH3/TRAF1/LAMA3/LAYN/SDC3/EVL/YWHAH/BMP1/ITGB4/MMP2/CNN2/ACTG1/PECAM1/SYK/TNFRSF11B/ITGB1/NLGN3/MPZL2/FSCN1/VASP/ITGA3/ARPC2/ARHGEF6/GNAI2/ACTB/CERCAM	0.380730400722792
HALLMARK_COAGULATION	HALLMARK_COAGULATION	53	0.330976214738677	1.63348440557526	0.0214438320064948	0.056431136859197	0.0209146849824748	857	tags=43%, list=26%, signal=33%	MMP9/MMP7/FGA/C3/PLEK/TIMP1/C1S/VWF/COMP/C1QA/APOC1/C1R/ANXA1/TFPI2/FN1/CLU/ITGB3/SERPINE1/CTSK/CFH/SERPING1/MMP11/FBN1	0.352487857583619
