ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	17	-0.765137314011254	-2.48187972713884	9.35223434670179e-07	0.000115967705899102	6.08669602374571e-05	82	tags=71%, list=12%, signal=64%	CXCR1/CXCR2/CXCR4/CXCL1/CCL8/CXCL3/TNFSF9/IL1B/CXCL8/OSM/CXCL2/CCL3	0.659444398037935
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	11	-0.825169353441419	-2.38126150967244	3.03156912160433e-06	0.000187957285539468	9.86515041974264e-05	82	tags=82%, list=12%, signal=73%	CXCR1/CXCR2/CXCR4/CXCL1/CCL8/CXCL3/CXCL8/CXCL2/CCL3	0.627256739718528
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	20	-0.681778555332524	-2.35078638160588	1.94529718818021e-05	0.000482433702668692	0.000253210777689203	59	tags=45%, list=9%, signal=42%	DUSP5/GADD45B/IL1B/HSPA1B/JUN/DUSP2/DUSP1/NR4A1/FOS	0.575610261071129
KEGG_RIBOSOME	KEGG_RIBOSOME	14	0.595129375951294	2.26937800803813	0.000314053669861453	0.00389426550628202	0.00204394923472228	280	tags=100%, list=42%, signal=60%	RPL35/RPL9/RPSA/RPL32/RPL37A/RPS16/RPS29/RPS9/RPL8/RPS2/RPL30/RPL13/RPL35A/RPL36	0.49849310876659
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	7	-0.870537583630725	-2.16294496602712	1.44939263467806e-05	0.000449311716750197	0.00023582632928388	39	tags=71%, list=6%, signal=68%	IL1B/CXCL8/JUN/CCL3/FOS	0.593325476396405
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	8	-0.802770277975968	-2.08927812751373	0.00017765845697845	0.00244773874059198	0.00128472332396505	62	tags=62%, list=9%, signal=57%	PTGS2/FCGR3B/IL1B/JUN/FOS	0.518848077743792
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	4	-0.955022488755622	-1.99528225479885	8.37128974793899e-06	0.000346013309581478	0.000181608993578356	35	tags=100%, list=5%, signal=95%	ICOS/CTLA4/JUN/FOS	0.593325476396405
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	4	0.894124422653033	1.97876227971819	0.000379209088620625	0.00427472063535977	0.00224363540626611	16	tags=75%, list=2%, signal=74%	MYH7/MYL2/DES	0.49849310876659
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	5	-0.885885885885886	-1.96716051452695	0.000146939185543034	0.00227755737591702	0.00119540171260335	82	tags=100%, list=12%, signal=88%	CXCR1/CXCR2/CXCL1/CXCL8/JUN	0.518848077743792
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	8	-0.747901879557199	-1.94647844016472	0.00139653595692266	0.0144308715548675	0.00757420592493391	97	tags=75%, list=14%, signal=65%	BIRC3/CXCL1/CCL8/IL1B/CXCL8/CXCL2	0.45505986738723
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	3	0.980538922155689	1.92728523656454	3.40039836731695e-05	0.000702748995912169	0.000368845747697334	16	tags=100%, list=2%, signal=98%	MYH7/MYL2/DES	0.557332238758646
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	6	0.726508770291387	1.91648112996814	0.00488205649449468	0.0420503116055054	0.0220705809830528	17	tags=50%, list=3%, signal=49%	ADIPOQ/PLIN1/FABP4	0.407017918923954
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	3	0.918785579142041	1.8059067745683	0.00161827777029619	0.0154358802705175	0.00810169610040558	5	tags=67%, list=1%, signal=66%	MYH7/MYL2	0.45505986738723
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION	2	0.995515695067265	1.72039008984333	6.47998638617863e-05	0.0011478833026945	0.000602479516177857	5	tags=100%, list=1%, signal=100%	MYH7/MYL2	0.538434096309916
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	4	-0.81721581366322	-1.70736943950696	0.00685914640960681	0.0500314208700732	0.026259556323135	23	tags=50%, list=3%, signal=49%	JUN/FOS	0.407017918923954
