ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	22	0.683201439922002	2.63479331053717	2.21619319058063e-07	2.42556718384129e-05	1.53926727001914e-05	277	tags=82%, list=24%, signal=64%	C3/C1S/C1QB/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/HLA-DMA/HLA-DRB3/C1QA/HLA-DRB5/C7/FCGR2A/C1R/HLA-DQB1/ACTN1/FCGR2B	0.690132458796796
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	23	0.665454719356969	2.57783743471881	2.83692068285531e-07	2.42556718384129e-05	1.53926727001914e-05	241	tags=74%, list=20%, signal=60%	C3/HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/ITGB2/HLA-DMA/HLA-DRB3/MARCKSL1/JAK1/HLA-DRB5/FCGR2A/IFNGR1/PRKCB/NCF2/HLA-DQB1	0.674962860011025
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	28	0.608256324447933	2.45740260881596	2.66488290441138e-06	0.000151898325551449	9.63948236312203e-05	250	tags=68%, list=21%, signal=55%	VCAN/HLA-DPA1/HLA-DRA/HLA-DRB1/PTPRC/SELL/HLA-DPB1/HLA-DQA1/ITGB2/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/VCAM1/CD2/NLGN4X/HLA-DQB1/HLA-C/HLA-E	0.627256739718528
KEGG_ASTHMA	KEGG_ASTHMA	12	0.740911947837636	2.32212165838989	1.02666737288478e-05	0.000438900301908245	0.000278526554131136	118	tags=75%, list=10%, signal=68%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/HLA-DMA/FCER1A/HLA-DRB3/HLA-DRB5	0.593325476396405
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	25	0.580252905667688	2.30266793125874	1.74137227781652e-05	0.00059554931901325	0.000377936171195852	405	tags=84%, list=34%, signal=56%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/CTSS/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/B2M/HLA-DQB1/HLA-C/HLA-E/HSP90AB1/HSPA5/PDIA3/HLA-DMB/CD74/HLA-F/TAP1	0.575610261071129
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	13	0.71309621022624	2.29996836696408	3.08077556602589e-05	0.000878021036317379	0.000557192994939552	292	tags=92%, list=25%, signal=70%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/TNFRSF17/HLA-DQA1/HLA-DMA/HLA-DRB3/HLA-DRB5/HLA-DQB1/CXCR4/CXCL12	0.557332238758646
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	23	0.567740217714453	2.19931115348307	0.00011673879544567	0.00285176200302994	0.00180973091258454	265	tags=65%, list=22%, signal=52%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/ITGB2/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/HLA-DQB1/HLA-C/HLA-E/CXADR/CASP3	0.538434096309916
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	18	0.594025749498296	2.15675346199525	0.000482184712261349	0.00704553861243925	0.00447110558636804	250	tags=67%, list=21%, signal=53%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/HLA-DQB1/HLA-C/HLA-E	0.49849310876659
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	28	0.532290283712182	2.15049392709384	0.000201312542085261	0.00344244446965797	0.00218457857457129	293	tags=61%, list=25%, signal=47%	CXCL6/CX3CR1/CCL19/CCL2/CCL5/CXCL9/CXCL1/PRKX/LYN/CCR2/PRKCB/RHOA/ADCY7/CXCR4/DOCK2/CXCL12/CCL20	0.518848077743792
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	5	-0.81074168797954	-2.1455257282004	0.000494423762276439	0.00704553861243925	0.00447110558636804	228	tags=100%, list=19%, signal=81%	NDUFA2/UQCRQ/NDUFA3/LHPP/COX7A1	0.477270815362862
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	17	0.616436760113307	2.14279458784966	0.000176692466627985	0.00335715686593171	0.00213045497913812	250	tags=71%, list=21%, signal=56%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/HLA-DQB1/HLA-C/HLA-E	0.518848077743792
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	17	0.616436760113307	2.14279458784966	0.000176692466627985	0.00335715686593171	0.00213045497913812	250	tags=71%, list=21%, signal=56%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/HLA-DQB1/HLA-C/HLA-E	0.518848077743792
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	19	0.558043378525507	2.0455424198554	0.000781632269963554	0.0102814706279821	0.00652463115874324	250	tags=63%, list=21%, signal=51%	HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQA1/HLA-DMA/HLA-DRB3/HLA-B/HLA-DRB5/HLA-DQB1/HLA-C/HLA-E	0.477270815362862
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	19	0.516532048816279	1.89338008070321	0.00330956897382159	0.0404240210373923	0.0256531226675329	185	tags=53%, list=16%, signal=45%	C3/C1S/C1QB/CFH/C1QA/C7/A2M/SERPING1/C1R/VWF	0.431707695803346
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	34	0.442758625714707	1.87333119399285	0.00530631525109026	0.0533752887021432	0.0338720095960892	294	tags=53%, list=25%, signal=41%	CXCL6/CX3CR1/CSF2RB/CCL19/CCL2/TNFRSF17/CCL5/IL10RA/CXCL9/CXCL1/LTB/CCR2/IFNGR1/CXCR4/IL7R/CXCL12/CCL20/TNFRSF11B	0.407017918923954
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	5	-0.706992477776153	-1.87096651523262	0.00590449075174809	0.0552756153111174	0.0350779586916356	149	tags=80%, list=13%, signal=70%	CYP11B2/HSD17B1/HSD11B2/CYP3A7	0.407017918923954
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	14	0.548851551672583	1.85658603885086	0.0093477610738389	0.0799233571813226	0.0507194394114579	438	tags=86%, list=37%, signal=54%	LY96/HCLS1/ARPC1B/ARPC3/TUBA1A/RHOA/TUBB/CD14/TUBA1B/ARPC5/TUBA1C/NCK1	0.380730400722792
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	7	0.706665073992778	1.83916052406691	0.00385043773923902	0.0438949902273249	0.0278558030570519	152	tags=71%, list=13%, signal=63%	C1QB/CCL5/C1QA/C7/PRKX	0.431707695803346
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	11	0.592856279397005	1.82053844879745	0.0061417350345686	0.0552756153111174	0.0350779586916356	135	tags=55%, list=11%, signal=49%	PYCARD/CCL2/CCL5/CASP1/CXCL1/BIRC3	0.407017918923954
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	3	-0.855718291899635	-1.8074228537798	0.00480055870505433	0.0513059711602681	0.0325588186918321	20	tags=67%, list=2%, signal=66%	CEL/CYP27B1	0.407017918923954
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	18	0.489232485029897	1.77627629223133	0.0151750173051507	0.117951270871853	0.0748519900498804	275	tags=56%, list=23%, signal=43%	HLA-DRA/HLA-DRB1/HLA-DRB3/HLA-DRB5/CD2/CD9/CD1C/CD3D/CD14/IL7R	0.380730400722792
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	22	0.45794416861231	1.76607975562372	0.0250352455160583	0.160662073760781	0.101956306681939	301	tags=50%, list=26%, signal=38%	COL3A1/COL1A2/COL6A3/THBS2/COL4A1/TNC/FN1/VWF/COMP/ITGAV/COL4A2	0.352487857583619
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	20	0.466633047858299	1.72958381901991	0.0162889104639638	0.121104508232079	0.0768530375143794	336	tags=60%, list=29%, signal=44%	PTPRC/MARCKSL1/ARPC1B/ARPC3/FCGR2A/LYN/MARCKS/PLA2G4A/PRKCB/FCGR2B/DOCK2/ARPC5	0.352487857583619
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	11	-0.43213988455458	-1.7021080962088	0.0237352606776545	0.160662073760781	0.101956306681939	228	tags=64%, list=19%, signal=52%	NDUFA2/GRIN2A/UQCRQ/NDUFA3/CALML3/COX7A1/LPL	0.352487857583619
KEGG_PROTEASOME	KEGG_PROTEASOME	4	0.761362495146002	1.63669218457162	0.0117890171306749	0.0959962823497812	0.0609193331971639	156	tags=75%, list=13%, signal=65%	PSMB9/PSMB8/PSMB10	0.380730400722792
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	5	0.701984023112204	1.62733616884089	0.0262040153377163	0.160662073760781	0.101956306681939	82	tags=60%, list=7%, signal=56%	PYCARD/CCL5/CASP1	0.352487857583619
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	3	-0.76936170212766	-1.62502302032309	0.021889324818056	0.155961439328649	0.0989732795458915	275	tags=100%, list=23%, signal=77%	GCAT/AMT/AGXT	0.352487857583619
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	22	0.415426968294659	1.60211049497271	0.0338164251207729	0.192753623188406	0.122321634844037	419	tags=64%, list=36%, signal=42%	CD48/ITGB2/TYROBP/HLA-B/IFNGR1/PRKCB/LCP2/HLA-C/HLA-E/CASP3/FCER1G/FAS/TNFSF10/FCGR3B	0.271288554688953
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	3	-0.755396962799757	-1.59552711115853	0.0263072401479642	0.160662073760781	0.101956306681939	95	tags=67%, list=8%, signal=61%	TREH/G6PC1	0.352487857583619
