ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	99	0.573418617451867	3.207408385063	1e-10	5.96666666666667e-09	2.12316088260424e-09	743	tags=62%, list=22%, signal=49%	CXCL6/CCL19/TNFRSF13B/IL7R/CCL21/CXCL1/CCL18/CCR7/CCL22/CXCL13/IL2RG/TNFRSF18/TNFRSF13C/CD70/IL2RB/CCR2/IL24/TNFSF14/INHBA/CCR5/CCL5/CSF2RB/CCL3/CCR4/CCL13/XCR1/IL6/CCL2/CSF3R/IL10RA/FASLG/CD40LG/XCL2/TNFSF9/CXCL2/CXCL8/LIF/IL1B/CCL4/GDF5/CXCR4/TNFRSF4/RELT/IL12RB1/FLT3/CCR6/CCL20/IL2RA/CSF1R/IL21R/TNFSF8/TNFRSF11A/TNFRSF12A/OSMR/TNFRSF9/CXCR3/TNFRSF1B/IFNAR2/IL7/CX3CR1/OSM	NA
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	61	0.635460800854991	3.19552678432316	1e-10	5.96666666666667e-09	2.12316088260424e-09	538	tags=61%, list=16%, signal=52%	CXCL6/CCL19/CCL21/CXCL1/CCL18/CCR7/CCL22/CXCL13/RAC2/CCR2/ITK/PRKCB/DOCK2/CCR5/VAV1/CCL5/PIK3R5/JAK3/CCL3/CCR4/CCL13/XCR1/PLCB2/CCL2/PIK3CG/HCK/XCL2/NCF1/CXCL2/CXCL8/CCL4/CXCR4/ADCY7/CCR6/CCL20/FGR/WAS	NA
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	21	0.793856402387815	3.07655547440152	1e-10	5.96666666666667e-09	2.12316088260424e-09	374	tags=76%, list=11%, signal=68%	TNFRSF13B/IL7R/ICOS/CD79A/CD3E/IL2RG/CD3D/LCK/CD19/TNFRSF13C/PTPRC/BTK/JAK3/ZAP70/CD8A/CD40LG	NA
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	42	0.6104416890416	2.79945744854487	8.96534155514303e-10	4.01199034592651e-08	1.42761468667995e-08	800	tags=71%, list=24%, signal=55%	IL7R/CD1E/MS4A1/CD3E/CD2/CD3D/CD3G/FCER2/CD19/CD7/CD1C/CD1D/CD8A/IL6/CSF3R/ITGA4/CD33/IL1B/FCGR1A/FLT3/IL2RA/ITGAM/CSF1R/CD38/CD5/ITGB3/IL7/CD44/CD4/CD22	0.801215574617779
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	34	0.637042229597567	2.78491637727119	4.27196527376447e-09	1.52936356800768e-07	5.44204173666027e-08	434	tags=59%, list=13%, signal=52%	CTLA4/ICOS/CD3E/CD3D/CARD11/LCK/CD3G/ITK/GRAP2/PTPRC/CD247/VAV1/CD28/PIK3R5/ZAP70/CD8A/PIK3CG/FOS/CD40LG/LCP2	0.761460801445585
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	22	0.692557949509137	2.71788735184397	6.2261246234161e-08	1.59210901084497e-06	5.6653132502812e-07	649	tags=77%, list=20%, signal=63%	HLA-DPB1/C3/FCGR2B/CTSG/CD28/CD86/C1S/CD40LG/C1QC/FCGR3A/GRIN2A/C1QA/C1QB/C1R/FCGR1A/FCGR2C/FCGR2A	0.704975715167238
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	42	0.588445148813421	2.69858232895618	8.46309667328328e-09	2.52482384086285e-07	8.98425790120658e-08	802	tags=67%, list=24%, signal=51%	HLA-DPB1/CTLA4/VCAN/ICOS/SELL/CD2/CD6/CADM3/PTPRC/ITGAL/CD28/SPN/CD86/SELPLG/CD8A/ITGA4/CD40LG/ITGB2/SIGLEC1/ITGAM/SELE/NLGN4X/CLDN1/VCAM1/CD4/HLA-B/CD22/ICAM1	0.747739663149885
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	36	0.592455836667998	2.68046566453184	2.46814847336489e-07	4.90887307480349e-06	1.74675876370257e-06	851	tags=75%, list=26%, signal=56%	CD48/LCK/RAC2/PRKCB/CD247/VAV1/ITGAL/PIK3R5/CD244/ZAP70/SH2D1A/GZMB/PIK3CG/FASLG/TYROBP/ITGB2/FCGR3A/FCER1G/HCST/LCP2/PRF1/KLRD1/NFATC2/IFNAR2/HLA-B/ICAM1/TNFSF10	0.674962860011025
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	35	0.601726566319426	2.67241797955963	1.71284002269059e-07	3.83247955077019e-06	1.36373810037586e-06	743	tags=66%, list=22%, signal=52%	IL7R/IL2RG/IL2RB/IL24/SOCS3/PIK3R5/JAK3/CSF2RB/IL6/CSF3R/IL10RA/PIK3CG/LIF/STAT4/MYC/IL12RB1/IL2RA/IL21R/CCND2/OSMR/IFNAR2/IL7/OSM	0.690132458796796
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	21	0.67583028154406	2.61915044861596	1.14602045316687e-06	2.0513766111687e-05	7.29955739048488e-06	755	tags=81%, list=23%, signal=63%	CXCL1/CCL5/BIRC3/NOD2/CCL13/IL6/CCL2/PSTPIP1/CXCL2/MEFV/CXCL8/IL1B/NLRP3/CASP1/CARD9/TNFAIP3/PYCARD	0.643551836150722
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	35	0.547580098750363	2.43193999244614	1.04314516871055e-05	0.000169748168362898	6.04026822841046e-05	924	tags=66%, list=28%, signal=48%	MMP9/RHOH/RAC2/ITK/PRKCB/VAV1/ITGAL/PIK3R5/CYBB/PIK3CG/ITGA4/ITGB2/NCF1/NCF4/CXCR4/NCF2/ITGAM/RASSF5/CLDN1/VCAM1/ICAM1/CLDN4/ACTN1	0.593325476396405
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	18	0.662969030821648	2.38188408477276	1.14201433964043e-05	0.000170350472329698	6.06170043324421e-05	561	tags=67%, list=17%, signal=56%	PLA2G2D/RAC2/FCER1A/PRKCB/BTK/VAV1/MS4A2/PIK3R5/PIK3CG/FCER1G/LCP2/INPP5D	0.593325476396405
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	31	0.563011357559778	2.37766850894896	1.27282076766034e-05	0.000175257628777846	6.23631522568322e-05	1130	tags=84%, list=34%, signal=56%	CCL5/PIK3R5/CD86/CCL3/TLR8/TLR7/IL6/TLR6/PIK3CG/FOS/CXCL8/IL1B/CCL4/IFNAR2/CTSK/LY96/TLR2/IKBKE/SPP1/CXCL10/JUN/TLR9/TLR1/CD14/CD80/PIK3CD	0.593325476396405
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	21	-0.535985423625873	-2.37450347455892	0.000174453934462623	0.00173484745937831	0.000617322949112411	1550	tags=100%, list=47%, signal=54%	GLUD1/ALDH1B1/ASL/SAT2/ALDH2/MAOB/ALDH3A2/ALDH4A1/GAMT/NOS1/P4HA2/AGMAT/GLUD2/GATM/ASS1/AOC1/PRODH/DAO/ACY1/PRODH2/NAGS	0.518848077743792
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	29	0.567468102688499	2.33890155968577	1.71408162835872e-05	0.000204547074317474	7.27854212584363e-05	1009	tags=79%, list=30%, signal=56%	CD79A/DAPP1/CARD11/FCGR2B/CD19/RAC2/PRKCB/BTK/VAV1/PIK3R5/CD79B/PIK3CG/FOS/LILRB3/INPP5D/NFATC2/CD72/CD22/LYN/IFITM1/PTPN6/NFKBIE/JUN	0.575610261071129
