Inflammatory response ,Epithelial-mesenchymal transition,Apoptosis,Cellular senescence,Autophagy,Oxidative stress
ABCA1,ABI3BP,AIFM1,ACVR1B,AMBRA1,A2M
ABI1,ACTA2,AKT1,ANG,APOL1,AARS2
ACVR1B,ADAM12,AKT2,ANGPT1,ARNT,ABCA1
ACVR2A,ANPEP,AKT3,ANGPTL4,ARSA,ABCB1
ADGRE1,APLP1,APAF1,AREG,ARSB,ABCC1
ADM,AREG,ATM,AXL,ATF4,ABCC2
ADORA2B,BASP1,BAD,BEX3,ATF6,ABCC3
ADRM1,BDNF,BAX,BMP2,ATG10,ABCC8
AHR,BGN,BCL2,BMP6,ATG12,ABCD1
APLNR,BMP1,BCL2L1,C3,ATG16L1,ABCG2
AQP9,CADM1,BID,CCL1,ATG16L2,ABL1
ATP2A2,CALD1,BIRC2,CCL13,ATG2A,ACACA
ATP2B1,CALU,BIRC3,CCL16,ATG2B,ACAD8
ATP2C1,CAP2,CAPN1,CCL2,ATG3,ACAD9
AXL,CAPG,CAPN2,CCL20,ATG4A,ACADL
BDKRB1,CCN1,CASP10,CCL24,ATG4B,ACADM
BEST1,CCN2,CASP3,CCL26,ATG4C,ACADS
BST2,CD44,CASP6,CCL3,ATG4D,ACADVL
BTG2,CD59,CASP7,CCL3L1,ATG5,ACE
C3AR1,CDH11,CASP8,CCL4,ATG7,ACE2
C5AR1,CDH2,CASP9,CCL5,ATG9A,ACHE
CALCRL,CDH6,CFLAR,CCL7,ATG9B,ACO1
CCL17,COL11A1,CHP1,CCL8,ATIC,ACO2
CCL2,COL12A1,CHP2,CD55,BAG1,ACOX1
CCL20,COL16A1,CHUK,CD9,BAG3,ACOX2
CCL22,COL1A1,CSF2RB,CSF1,BAK1,ACP1
CCL24,COL1A2,CYCS,CSF2,BAX,ACSL4
CCL5,COL3A1,DFFA,CSF2RB,BCL2,ACTA1
CCL7,COL4A1,DFFB,CST4,BCL2L1,ACTB
CCR7,COL4A2,ENDOD1,CTNNB1,BECN1,ACTG1
CCRL2,COL5A1,ENDOG,CTSB,BID,ACTN2
CD14,COL5A2,EXOG,CXCL1,BIRC5,ACTN4
CD40,COL5A3,FADD,CXCL10,BIRC6,ADA
CD48,COL6A2,FAS,CXCL12,BNIP1,ADAM10
CD55,COL6A3,FASLG,CXCL16,BNIP3,ADAM17
CD69,COL7A1,IKBKB,CXCL2,BNIP3L,ADAMTS13
CD70,COL8A2,IKBKG,CXCL3,C12orf44,ADCY10
CD82,COLGALT1,IL1A,CXCL8,C17orf88,ADCYAP1
CDKN1A,COMP,IL1B,CXCR2,CALCOCO2,ADH1A
CHST2,COPA,IL1R1,DKK1,CAMKK2,ADH1C
CLEC5A,CRLF1,IL1RAP,EDN1,CANX,ADH5
CMKLR1,CTHRC1,IL3,EGF,CAPN1,ADIPOQ
