ID	NES_A	padj_A	size_A	NES_B	padj_B	size_B	dNES
HALLMARK_HEME_METABOLISM	0.681	0.985	33	-0.764	0.959	33	1.445
HALLMARK_MTORC1_SIGNALING	0.33	1	40	-0.385	1	40	0.715
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.791	8.35e-09	111	2.72	1.44e-08	111	0.071
HALLMARK_KRAS_SIGNALING_UP	2.197	0.000213	81	2.128	0.000289	81	0.069
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.735	0.0428	20	-1.796	0.0451	20	0.061
HALLMARK_XENOBIOTIC_METABOLISM	-1.626	0.0391	66	-1.687	0.0322	66	0.061
HALLMARK_COMPLEMENT	1.842	0.00923	80	1.785	0.013	80	0.057
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.518	1.7e-05	67	2.462	1.8e-05	67	0.056
HALLMARK_APICAL_JUNCTION	1.748	0.0236	64	1.693	0.0451	64	0.055
HALLMARK_FATTY_ACID_METABOLISM	-1.356	0.168	52	-1.411	0.103	52	0.055
HALLMARK_MYC_TARGETS_V1	1.612	0.0867	25	1.56	0.109	25	0.052
HALLMARK_INFLAMMATORY_RESPONSE	2.35	5.23e-05	82	2.308	9.7e-05	82	0.042
HALLMARK_ANGIOGENESIS	1.842	0.0352	18	1.801	0.0487	18	0.041
HALLMARK_ADIPOGENESIS	-0.686	0.986	44	-0.724	0.959	44	0.038
HALLMARK_ESTROGEN_RESPONSE_LATE	1.045	0.613	74	1.007	0.647	74	0.038
HALLMARK_APOPTOSIS	1.219	0.346	50	1.183	0.372	50	0.036
HALLMARK_MYOGENESIS	1.189	0.36	55	1.155	0.418	55	0.034
HALLMARK_IL2_STAT5_SIGNALING	2.013	0.00316	76	1.981	0.00431	76	0.032
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.315	0.000736	29	2.283	0.001	29	0.032
HALLMARK_PANCREAS_BETA_CELLS	-1.805	0.0431	9	-1.777	0.0483	9	0.028
HALLMARK_COAGULATION	1.592	0.0593	52	1.566	0.0613	52	0.026
HALLMARK_E2F_TARGETS	1.664	0.0391	36	1.638	0.066	36	0.026
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.102	0.00248	36	2.076	0.00431	36	0.026
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.859	0.78	20	-0.884	0.778	20	0.025
HALLMARK_PI3K_AKT_MTOR_SIGNALING	2.011	0.0115	15	1.986	0.0111	15	0.025
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.371	0.229	14	-1.349	0.225	14	0.022
HALLMARK_BILE_ACID_METABOLISM	-1.497	0.15	21	-1.517	0.157	21	0.02
HALLMARK_NOTCH_SIGNALING	-0.779	0.896	8	-0.799	0.854	8	0.02
HALLMARK_TGF_BETA_SIGNALING	-1.248	0.346	8	-1.268	0.333	8	0.02
HALLMARK_UV_RESPONSE_DN	0.99	0.65	39	0.97	0.677	39	0.02
HALLMARK_DNA_REPAIR	1.155	0.471	10	1.137	0.479	10	0.018
HALLMARK_MITOTIC_SPINDLE	1.756	0.0243	32	1.738	0.0249	32	0.018
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.941	0.683	7	0.923	0.702	7	0.018
HALLMARK_PROTEIN_SECRETION	-0.95	0.65	8	-0.967	0.647	8	0.017
HALLMARK_SPERMATOGENESIS	-1.313	0.24	26	-1.33	0.269	26	0.017
HALLMARK_ANDROGEN_RESPONSE	-0.497	1	23	-0.512	1	23	0.015
HALLMARK_G2M_CHECKPOINT	1.653	0.0304	37	1.638	0.0473	37	0.015
HALLMARK_PEROXISOME	-1.612	0.0596	21	-1.627	0.0915	21	0.015
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.652	0.986	61	-0.639	0.998	61	0.013
HALLMARK_UV_RESPONSE_UP	-2.194	0.00189	34	-2.181	0.00279	34	0.013
HALLMARK_HYPOXIA	-1.68	0.0278	69	-1.692	0.0393	69	0.012
HALLMARK_KRAS_SIGNALING_DN	-2.228	0.000736	42	-2.24	0.000837	42	0.012
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-2.398	4.9e-05	77	-2.409	6.12e-05	77	0.011
HALLMARK_GLYCOLYSIS	-0.598	0.986	43	-0.608	0.998	43	0.01
HALLMARK_MYC_TARGETS_V2	-0.955	0.65	8	-0.965	0.647	8	0.01
HALLMARK_APICAL_SURFACE	-0.935	0.683	12	-0.944	0.677	12	0.009
HALLMARK_HEDGEHOG_SIGNALING	-0.617	0.986	9	-0.61	0.998	9	0.007
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.557	0.986	10	0.55	0.998	10	0.007
HALLMARK_ALLOGRAFT_REJECTION	3.802	5e-09	96	3.796	5e-09	96	0.006
HALLMARK_P53_PATHWAY	-0.752	0.961	55	-0.749	0.959	55	0.003
