"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"mi3Swi","VClRpB","FinnGen_R12_DKD","CA2","Inverse variance weighted",13,-0.0890218648972401,0.0389673580737335,0.0223407535086068,-0.165397886721758,-0.0126458430727226,0.914825570788675,0.847556405549352,0.987433779615384
"mi3Swi","VClRpB","FinnGen_R12_DKD","CA2","MR Egger",13,-0.107578664318883,0.0683030949283109,0.143555196803974,-0.241452730378372,0.0262954017406063,0.898005878651469,0.785485932534272,1.02664417616087
"mi3Swi","VClRpB","FinnGen_R12_DKD","CA2","Weighted median",13,-0.0806586918460838,0.0479125342554206,0.0922866541639901,-0.174567258986708,0.0132498752945407,0.92250849739085,0.839820366862698,1.0133380438694
"Fkeifk","VClRpB","FinnGen_R12_DKD","XAF1","Inverse variance weighted",5,0.198174362129582,0.0934595288200194,0.0339698229179192,0.0149936856423442,0.38135503861682,1.21917495323113,1.015106654849,1.46426738460031
"Fkeifk","VClRpB","FinnGen_R12_DKD","XAF1","MR Egger",5,0.0363396347851256,0.294611406190563,0.909631654107535,-0.541098721348377,0.613777990918628,1.03700799067342,0.582108326043113,1.8473976828857
"Fkeifk","VClRpB","FinnGen_R12_DKD","XAF1","Weighted median",5,0.167293590666017,0.107827854904285,0.120784852590746,-0.0440490049463825,0.378636186278416,1.1821012682661,0.956907063144707,1.46029166494408
"SXWrRL","VClRpB","FinnGen_R12_DKD","IFI44L","Inverse variance weighted",7,0.160743320178252,0.0669154977948754,0.0162975205053403,0.029588944500296,0.291897695856208,1.17438348957894,1.03003104699443,1.338966028859
"SXWrRL","VClRpB","FinnGen_R12_DKD","IFI44L","MR Egger",7,0.0457512480284799,0.218577138878063,0.842464023485213,-0.382659944172523,0.474162440229483,1.04681398152539,0.682044793161839,1.60666795334222
"SXWrRL","VClRpB","FinnGen_R12_DKD","IFI44L","Weighted median",7,0.103011756734946,0.0861429237423214,0.231765333792442,-0.0658283738000043,0.271851887269896,1.1085044413923,0.936291542662471,1.31239260486349
"bheArY","VClRpB","FinnGen_R12_DKD","CREB5","Inverse variance weighted",7,0.064555412555416,0.0319941021879373,0.0436195425362623,0.00184697226705882,0.127263852843773,1.06668468433121,1.00184867897092,1.13571664031689
"bheArY","VClRpB","FinnGen_R12_DKD","CREB5","MR Egger",7,0.0053546619634972,0.0541923433414046,0.925129432374349,-0.100862330985656,0.11157165491265,1.00536902378867,0.90405748502194,1.1180338537535
"bheArY","VClRpB","FinnGen_R12_DKD","CREB5","Weighted median",7,0.0493951638158579,0.0363654616956045,0.174368883638492,-0.021881141107527,0.120671468739243,1.05063544183041,0.978356514512408,1.12825418470311
"BAm7Zx","VClRpB","FinnGen_R12_DKD","CDKN1B","Inverse variance weighted",3,-0.237985092329647,0.104477586624061,0.0227350474342619,-0.442761162112807,-0.0332090225464864,0.788214441447246,0.642260584931978,0.967336343350096
"BAm7Zx","VClRpB","FinnGen_R12_DKD","CDKN1B","MR Egger",3,-0.372818403516062,0.544453315967659,0.617759120331814,-1.43994690281267,0.69431009578055,0.688790303384692,0.2369403392137,2.0023271833374
"BAm7Zx","VClRpB","FinnGen_R12_DKD","CDKN1B","Weighted median",3,-0.2373558576987,0.113143534604401,0.0359201993587109,-0.459117185523326,-0.0155945298740733,0.788710569344475,0.631841197919527,0.98452643519284
"obc8mT","VClRpB","FinnGen_R12_DKD","TSPYL5","Inverse variance weighted",4,-0.108840155723414,0.0465525628354477,0.0193869541680845,-0.200083178880892,-0.0175971325659369,0.896873766179541,0.818662654802398,0.982556792767381
"obc8mT","VClRpB","FinnGen_R12_DKD","TSPYL5","MR Egger",4,-0.0764748449068699,0.0657948037047862,0.365049216268368,-0.205432660168251,0.052482970354511,0.926376217075743,0.814294927204315,1.05388461464434
"obc8mT","VClRpB","FinnGen_R12_DKD","TSPYL5","Weighted median",4,-0.102719980329228,0.0487226427808238,0.0350085387719952,-0.198216360179643,-0.0072236004788131,0.902379622151273,0.820192376969113,0.99280242701468
"n3Lf59","VClRpB","FinnGen_R12_DKD","SYTL2","Inverse variance weighted",6,0.0866332924745274,0.0397017181808303,0.0291018312585623,0.00881792484009997,0.164448660108955,1.09049671303619,1.00885691726583,1.17874305145829
"n3Lf59","VClRpB","FinnGen_R12_DKD","SYTL2","MR Egger",6,0.0669109542809635,0.0601966240901113,0.328640669454125,-0.0510744289356546,0.184896337497582,1.06920026622905,0.950207944934452,1.20309371795785
"n3Lf59","VClRpB","FinnGen_R12_DKD","SYTL2","Weighted median",6,0.0852951429850736,0.0395543682812062,0.0310522410861972,0.00776858115390941,0.162821704816238,1.08903844132677,1.00779883487256,1.17682684842298
