"exposure","paper_nsnp","paper_b","paper_se","paper_pval","ours_nsnp","ours_b","ours_se","or","ours_pval"
"ALDH2",14,-0.395434133,0.184554519,0.032141913,14,-0.395434132746449,0.184554518995663,0.673387636158671,0.0321419129464823
"CA2",13,-0.089021865,0.038967358,0.022340754,10,0.294908429729408,0.238926792771363,1.34300337387313,0.217089437527542
"CDKN1B",3,-0.237985092,0.104477587,0.022735047,3,0.281529261684118,0.479313772913171,1.32515477201454,0.556962619066832
"CREB5",7,0.064555413,0.031994102,0.043619543,7,-0.121501875922783,0.225124936043459,0.885589392049992,0.589397971817327
"FN1",3,1.021210864,0.407528664,0.012215306,3,1.02121086399659,0.407528664089864,2.7765547594978,0.0122153055552828
"IFI44L",7,0.16074332,0.066915498,0.016297521,6,0.0782141407995737,0.337154059019915,1.08135419593055,0.816550916545097
"SYTL2",6,0.086633292,0.039701718,0.029101831,6,-0.354492833430653,0.232035554231657,0.701529145130719,0.126574068973552
"TSPYL5",4,-0.108840156,0.046552563,0.019386954,4,-0.278356162998701,0.365784815731924,0.757027148434116,0.446666998245364
"VNN2",7,-0.262079311,0.12971784,0.043344001,7,-0.262079311311059,0.129717839918518,0.769449995199569,0.0433440008072055
"XAF1",5,0.198174362,0.093459529,0.033969823,5,0.420891013118179,0.461511379523275,1.5233182476555,0.361777118406497
