"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"mi3Swi","ZfugKZ","GWAScatalog_GCST90435706","CA2","Inverse variance weighted",10,0.294908429729408,0.238926792771363,0.217089437527542,-0.173388084102464,0.76320494356128,1.34300337387313,0.840811246041686,2.14514026867
"mi3Swi","ZfugKZ","GWAScatalog_GCST90435706","CA2","MR Egger",10,0.243447129842724,0.411413452344651,0.570368481366739,-0.562923236752793,1.04981749643824,1.27563887282993,0.569541722723601,2.85712963414364
"mi3Swi","ZfugKZ","GWAScatalog_GCST90435706","CA2","Weighted median",10,0.38844939881004,0.242242454171689,0.108811903217818,-0.0863458113664708,0.86324460898655,1.47469236038847,0.917276971564346,2.37084067866579
"Fkeifk","ZfugKZ","GWAScatalog_GCST90435706","XAF1","Inverse variance weighted",5,0.420891013118179,0.461511379523275,0.361777118406497,-0.483671290747441,1.3254533169838,1.5233182476555,0.616515823064132,3.76389120413351
"Fkeifk","ZfugKZ","GWAScatalog_GCST90435706","XAF1","MR Egger",5,1.54303786048422,1.47998657403733,0.373758680619573,-1.35773582462896,4.44381154559739,4.67878219106975,0.257242560344718,85.0986818127468
"Fkeifk","ZfugKZ","GWAScatalog_GCST90435706","XAF1","Weighted median",5,0.697631676745199,0.56535110222169,0.217210539101011,-0.410456483609314,1.80571983709971,2.00898913317241,0.663347373809114,6.08434961312778
"ULIkpM","ZfugKZ","GWAScatalog_GCST90435706","ALDH2","Inverse variance weighted",14,-0.395434132746449,0.184554518995663,0.0321419129464823,-0.75716098997795,-0.0337072755149492,0.673387636158671,0.46899602315852,0.966854485199115
"ULIkpM","ZfugKZ","GWAScatalog_GCST90435706","ALDH2","MR Egger",14,-0.301987192873432,0.300705336204306,0.335073358667052,-0.891369651833873,0.287395266087008,0.739347533746339,0.41009368235574,1.33295097968032
"ULIkpM","ZfugKZ","GWAScatalog_GCST90435706","ALDH2","Weighted median",14,-0.341134121153663,0.241730976846703,0.158181544801644,-0.8149268357732,0.132658593465875,0.710963546560469,0.442671713910243,1.14186009327971
"VxdvSa","ZfugKZ","GWAScatalog_GCST90435706","FN1","Inverse variance weighted",3,1.02121086399659,0.407528664089864,0.0122153055552828,0.222454682380461,1.81996704561273,2.7765547594978,1.24913921035248,6.17165506342125
"VxdvSa","ZfugKZ","GWAScatalog_GCST90435706","FN1","MR Egger",3,0.998188601293175,1.5413818181182,0.634146389237292,-2.02291976221849,4.01929696480484,2.71336239314469,0.132268707559861,55.6619597511369
"VxdvSa","ZfugKZ","GWAScatalog_GCST90435706","FN1","Weighted median",3,1.03122382032788,0.423899998648025,0.014986488314987,0.200379822977755,1.86206781767801,2.80449593449214,1.2218667631071,6.43703363088656
"p7jH9J","ZfugKZ","GWAScatalog_GCST90435706","VNN2","Inverse variance weighted",7,-0.262079311311059,0.129717839918518,0.0433440008072055,-0.516326277551353,-0.00783234507076458,0.769449995199569,0.596708668265831,0.992198247820425
"p7jH9J","ZfugKZ","GWAScatalog_GCST90435706","VNN2","MR Egger",7,-0.479125633253085,0.239692029034331,0.102079934459046,-0.948922010160375,-0.00932925634579607,0.619324672031709,0.38715815113766,0.990714126152553
"p7jH9J","ZfugKZ","GWAScatalog_GCST90435706","VNN2","Weighted median",7,-0.306053019547285,0.131279079847713,0.0197367030628896,-0.563360016048803,-0.0487460230457676,0.736347577605909,0.569293013010482,0.952422992474189
"SXWrRL","ZfugKZ","GWAScatalog_GCST90435706","IFI44L","Inverse variance weighted",6,0.0782141407995737,0.337154059019915,0.816550916545097,-0.58260781487946,0.739036096478607,1.08135419593055,0.558440157470179,2.09391620823588
"SXWrRL","ZfugKZ","GWAScatalog_GCST90435706","IFI44L","MR Egger",6,-0.706957295988343,1.12566353612098,0.564054046939116,-2.91325782678546,1.49934323480877,0.493142403375589,0.0542985461509069,4.47874661931424
"SXWrRL","ZfugKZ","GWAScatalog_GCST90435706","IFI44L","Weighted median",6,-0.22067650419295,0.406697242566447,0.587400869596941,-1.01780309962319,0.576450091237285,0.801976074228875,0.361388002153136,1.77970939766567
"bheArY","ZfugKZ","GWAScatalog_GCST90435706","CREB5","Inverse variance weighted",7,-0.121501875922783,0.225124936043459,0.589397971817327,-0.562746750567962,0.319742998722396,0.885589392049992,0.569642247839733,1.37677388621661
"bheArY","ZfugKZ","GWAScatalog_GCST90435706","CREB5","MR Egger",7,-0.228280697390631,0.414101018213946,0.605177850249588,-1.03991869308996,0.583357298308703,0.795900821193889,0.353483421435151,1.79204477144996
"bheArY","ZfugKZ","GWAScatalog_GCST90435706","CREB5","Weighted median",7,-0.0990852225972165,0.178551603561964,0.578936483457154,-0.449046365578665,0.250875920384232,0.905665521566623,0.638236505802811,1.28515061344354
"BAm7Zx","ZfugKZ","GWAScatalog_GCST90435706","CDKN1B","Inverse variance weighted",3,0.281529261684118,0.479313772913171,0.556962619066832,-0.657925733225697,1.22098425659393,1.32515477201454,0.517924534709072,3.39052323670922
"BAm7Zx","ZfugKZ","GWAScatalog_GCST90435706","CDKN1B","MR Egger",3,-1.60050883403617,2.74294329724906,0.663737959560057,-6.97667769664433,3.77566002857199,0.201793812306806,0.00093339909255291,43.6262934153284
"BAm7Zx","ZfugKZ","GWAScatalog_GCST90435706","CDKN1B","Weighted median",3,0.32974559049275,0.515271271483303,0.522207957311769,-0.680186101614523,1.33967728260002,1.39061429795845,0.50652271889786,3.81781123242454
"obc8mT","ZfugKZ","GWAScatalog_GCST90435706","TSPYL5","Inverse variance weighted",4,-0.278356162998701,0.365784815731924,0.446666998245364,-0.995294401833271,0.43858207583587,0.757027148434116,0.369614613305026,1.55050715755479
"obc8mT","ZfugKZ","GWAScatalog_GCST90435706","TSPYL5","MR Egger",4,-0.179257549643385,0.653631083256777,0.80962343758377,-1.46037447282667,1.1018593735399,0.835890588348646,0.232149324836708,3.00975708708744
"obc8mT","ZfugKZ","GWAScatalog_GCST90435706","TSPYL5","Weighted median",4,-0.321840139973536,0.29761638245621,0.279522532361045,-0.905168249587707,0.261487969640636,0.724814049862195,0.404473826823189,1.29886131570953
"n3Lf59","ZfugKZ","GWAScatalog_GCST90435706","SYTL2","Inverse variance weighted",6,-0.354492833430653,0.232035554231657,0.126574068973552,-0.809282519724702,0.100296852863395,0.701529145130719,0.445177357639713,1.10549903992676
"n3Lf59","ZfugKZ","GWAScatalog_GCST90435706","SYTL2","MR Egger",6,0.0868721781726196,0.311383359495336,0.794084133742835,-0.52343920643824,0.697183562783479,1.09075724822258,0.592479381083033,2.00808907877142
"n3Lf59","ZfugKZ","GWAScatalog_GCST90435706","SYTL2","Weighted median",6,-0.250610440859718,0.216438139621189,0.246911034552174,-0.674829194517249,0.173608312797813,0.778325516327716,0.509243394743385,1.18958952756191
