"id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval"
"mi3Swi","VClRpB","FinnGen_R12_DKD","CA2","MR Egger",9.98153250014883,11,0.532049083435314
"mi3Swi","VClRpB","FinnGen_R12_DKD","CA2","Inverse variance weighted",10.0909606436116,12,0.607980890098726
"Fkeifk","VClRpB","FinnGen_R12_DKD","XAF1","MR Egger",0.823898647007842,3,0.843742664843237
"Fkeifk","VClRpB","FinnGen_R12_DKD","XAF1","Inverse variance weighted",1.15941078283802,4,0.884735080465497
"ULIkpM","VClRpB","FinnGen_R12_DKD","ALDH2","MR Egger",7.28110056472927,12,0.838491908719391
"ULIkpM","VClRpB","FinnGen_R12_DKD","ALDH2","Inverse variance weighted",13.8347338618594,13,0.385585026831561
"VxdvSa","VClRpB","FinnGen_R12_DKD","FN1","MR Egger",0.0531910022962528,1,0.81760090259607
"VxdvSa","VClRpB","FinnGen_R12_DKD","FN1","Inverse variance weighted",2.38478235242727,2,0.303494686450141
"p7jH9J","VClRpB","FinnGen_R12_DKD","VNN2","MR Egger",6.06699567099237,6,0.415727217306128
"p7jH9J","VClRpB","FinnGen_R12_DKD","VNN2","Inverse variance weighted",6.32184384198803,7,0.502711632106307
"SXWrRL","VClRpB","FinnGen_R12_DKD","IFI44L","MR Egger",4.58805835559502,5,0.468188672912978
"SXWrRL","VClRpB","FinnGen_R12_DKD","IFI44L","Inverse variance weighted",4.89345561638957,6,0.557549214579994
"bheArY","VClRpB","FinnGen_R12_DKD","CREB5","MR Egger",0.676079775646607,5,0.984255634868312
"bheArY","VClRpB","FinnGen_R12_DKD","CREB5","Inverse variance weighted",2.50795922653433,6,0.867575839886845
"BAm7Zx","VClRpB","FinnGen_R12_DKD","CDKN1B","MR Egger",0.0318946261627017,1,0.858259123715499
"BAm7Zx","VClRpB","FinnGen_R12_DKD","CDKN1B","Inverse variance weighted",0.0955693725409959,2,0.953339031963143
"obc8mT","VClRpB","FinnGen_R12_DKD","TSPYL5","MR Egger",0.286498175764583,2,0.866538197846548
"obc8mT","VClRpB","FinnGen_R12_DKD","TSPYL5","Inverse variance weighted",0.771050878752311,3,0.856378001513365
"n3Lf59","VClRpB","FinnGen_R12_DKD","SYTL2","MR Egger",0.548374290799971,4,0.968624066031125
"n3Lf59","VClRpB","FinnGen_R12_DKD","SYTL2","Inverse variance weighted",0.738356351039924,5,0.980797459220027
