"id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval"
"mi3Swi","ZfugKZ","GWAScatalog_GCST90435706","CA2","MR Egger",10.7669865604182,8,0.215254797406777
"mi3Swi","ZfugKZ","GWAScatalog_GCST90435706","CA2","Inverse variance weighted",10.8008539876549,9,0.289606826160336
"Fkeifk","ZfugKZ","GWAScatalog_GCST90435706","XAF1","MR Egger",0.982630637572538,3,0.805454727521801
"Fkeifk","ZfugKZ","GWAScatalog_GCST90435706","XAF1","Inverse variance weighted",1.61944374555349,4,0.805293315574844
"ULIkpM","ZfugKZ","GWAScatalog_GCST90435706","ALDH2","MR Egger",6.99363868453776,12,0.858033649495209
"ULIkpM","ZfugKZ","GWAScatalog_GCST90435706","ALDH2","Inverse variance weighted",7.14856797574249,13,0.894333661810226
"VxdvSa","ZfugKZ","GWAScatalog_GCST90435706","FN1","MR Egger",1.45429204161141,1,0.227840504813799
"VxdvSa","ZfugKZ","GWAScatalog_GCST90435706","FN1","Inverse variance weighted",1.45465319038153,2,0.483199051561846
"p7jH9J","ZfugKZ","GWAScatalog_GCST90435706","VNN2","MR Egger",4.41969527925086,5,0.490699287618539
"p7jH9J","ZfugKZ","GWAScatalog_GCST90435706","VNN2","Inverse variance weighted",5.57928831745218,6,0.471925906075821
"SXWrRL","ZfugKZ","GWAScatalog_GCST90435706","IFI44L","MR Egger",3.95133780680099,4,0.412631618810603
"SXWrRL","ZfugKZ","GWAScatalog_GCST90435706","IFI44L","Inverse variance weighted",4.48581833956226,5,0.481783135178649
"bheArY","ZfugKZ","GWAScatalog_GCST90435706","CREB5","MR Egger",13.5505197004191,5,0.0187313208003321
"bheArY","ZfugKZ","GWAScatalog_GCST90435706","CREB5","Inverse variance weighted",13.8267143651429,6,0.0316329091726417
"BAm7Zx","ZfugKZ","GWAScatalog_GCST90435706","CDKN1B","MR Egger",0.470630687759853,1,0.492697165706667
"BAm7Zx","ZfugKZ","GWAScatalog_GCST90435706","CDKN1B","Inverse variance weighted",0.956244784295046,2,0.61994631577752
"obc8mT","ZfugKZ","GWAScatalog_GCST90435706","TSPYL5","MR Egger",5.56482605732346,2,0.0618889871517719
"obc8mT","ZfugKZ","GWAScatalog_GCST90435706","TSPYL5","Inverse variance weighted",5.68325967770281,3,0.128079395423432
"n3Lf59","ZfugKZ","GWAScatalog_GCST90435706","SYTL2","MR Egger",3.28900776968228,4,0.510675763282689
"n3Lf59","ZfugKZ","GWAScatalog_GCST90435706","SYTL2","Inverse variance weighted",6.71457747817639,5,0.24274751742104
