"id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"mi3Swi","ZfugKZ","GWAScatalog_GCST90435706","CA2",0.0118197481403956,0.0745107974269299,0.877890694435946
"Fkeifk","ZfugKZ","GWAScatalog_GCST90435706","XAF1",-0.119306091475018,0.149505311137707,0.483195638798344
"ULIkpM","ZfugKZ","GWAScatalog_GCST90435706","ALDH2",-0.0230258459987597,0.0584990520624076,0.700772678867174
"VxdvSa","ZfugKZ","GWAScatalog_GCST90435706","FN1",0.00391309416138898,0.248315049934815,0.989968602653076
"p7jH9J","ZfugKZ","GWAScatalog_GCST90435706","VNN2",0.125901580621812,0.116917193731143,0.330740358229629
"SXWrRL","ZfugKZ","GWAScatalog_GCST90435706","IFI44L",0.103335480568679,0.141345998359418,0.505250115288566
"bheArY","ZfugKZ","GWAScatalog_GCST90435706","CREB5",0.0429698823825644,0.134601374951723,0.762452347212256
"BAm7Zx","ZfugKZ","GWAScatalog_GCST90435706","CDKN1B",0.325740812577966,0.467440709916078,0.612543284137404
"obc8mT","ZfugKZ","GWAScatalog_GCST90435706","TSPYL5",-0.0318183125851736,0.154223459366891,0.855642699330696
"n3Lf59","ZfugKZ","GWAScatalog_GCST90435706","SYTL2",-0.141471315201457,0.0764367100681694,0.137856922701496
