"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.78721425724437,0.921,0.133,0,"0","BHMT"
0,5.27479001457738,0.943,0.16,0,"0","MIOX"
0,5.43403174701782,0.934,0.155,0,"0","GSTA1"
0,4.58139026117849,0.9,0.128,0,"0","RIDA"
0,4.71907581159494,0.853,0.081,0,"0","GLYAT"
0,4.29107333524124,0.945,0.177,0,"0","PDZK1IP1"
0,4.3721147030766,0.889,0.122,0,"0","BBOX1"
0,4.33190904595198,0.902,0.143,0,"0","NAT8"
0,5.36265618578015,0.841,0.084,0,"0","HPD"
0,4.73671524213881,0.867,0.115,0,"0","ACY1"
0,4.21932160727009,0.864,0.115,0,"0","PDZK1"
0,4.62703606825108,0.863,0.121,0,"0","FBP1"
0,4.0265619484878,0.899,0.171,0,"0","RBP5"
0,4.71135116910798,0.846,0.118,0,"0","PCK1"
0,4.95390860736824,0.791,0.064,0,"0","AGMAT"
0,4.10622964842065,0.856,0.132,0,"0","BHMT2"
0,4.29243294389887,0.846,0.126,0,"0","CMBL"
0,4.73809900291662,0.805,0.087,0,"0","KHK"
0,4.26411531519131,0.828,0.112,0,"0","SMIM24"
0,4.20972616711126,0.905,0.192,0,"0","MT1F"
0,5.0181014440271,0.914,0.201,0,"0","MT1H"
0,4.19495768652463,0.871,0.159,0,"0","ALDH6A1"
0,4.42891936535279,0.95,0.242,0,"0","GATM"
0,4.42341304905488,0.793,0.099,0,"0","AK4"
0,4.1908222160119,0.932,0.245,0,"0","APOE"
0,4.78839703838709,0.742,0.055,0,"0","GLYATL1"
0,4.52906854476613,0.817,0.133,0,"0","ASS1"
0,5.72995043516525,0.755,0.075,0,"0","FABP1"
0,3.72832881008183,0.871,0.191,0,"0","C11orf54"
0,5.38624693067957,0.745,0.066,0,"0","GSTA2"
0,4.04229437344594,0.868,0.197,0,"0","PEPD"
0,3.77115792453838,0.797,0.126,0,"0","LGALS2"
0,3.12152532181127,0.891,0.221,0,"0","CXCL14"
0,4.02103312670424,0.769,0.104,0,"0","PBLD"
0,4.13031629361157,0.737,0.087,0,"0","QPRT"
0,4.11464849447614,0.898,0.252,0,"0","DCXR"
0,5.05546851358037,0.689,0.044,0,"0","DPYS"
0,3.64077668934773,0.794,0.15,0,"0","CRYL1"
0,4.08479459097352,0.736,0.095,0,"0","TST"
0,4.00017914729796,0.938,0.299,0,"0","ECHS1"
0,3.62511563644742,0.751,0.113,0,"0","MGST1"
0,4.15529167420228,0.926,0.291,0,"0","SUCLG1"
0,5.08284068484138,0.672,0.039,0,"0","HAO2"
0,4.16061167739251,0.714,0.085,0,"0","CUBN"
0,3.30876872566343,0.859,0.23,0,"0","ACAT1"
0,4.48331231712766,0.687,0.059,0,"0","DDC"
0,4.00785278851244,0.745,0.122,0,"0","MSRA"
0,3.64517987876124,0.966,0.345,0,"0","CYB5A"
0,4.93868444257837,0.671,0.055,0,"0","APOM"
0,5.15523785946417,0.65,0.036,0,"0","AGXT2"
0,3.60008205287546,0.818,0.211,0,"0","AKR1A1"
0,4.28205287217487,0.681,0.076,0,"0","RAB11FIP3"
0,3.91925390739198,0.703,0.1,0,"0","SHMT1"
0,3.25908571436297,0.79,0.189,0,"0","DNPH1"
0,3.21977640778543,0.78,0.181,0,"0","BDH2"
0,3.46649661091497,0.755,0.157,0,"0","GCSH"
