"Supplementary Table 3.  Differentially expressed genes between late and early DKD patients (n = 2,833 DEGs)",,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
PDLIM1,1.171716104,5.538669214,8.283962068,1.18402E-09,1.62235E-05,12.00143721
MMP7,3.172975118,6.067842405,7.907437106,3.39269E-09,1.73055E-05,11.00721369
C1S,1.903004146,5.884251854,7.890822954,3.55537E-09,1.73055E-05,10.96291076
C3AR1,1.094382863,2.151356768,7.798838939,4.61055E-09,1.73055E-05,10.71698413
ANXA1,1.53058849,4.888450873,7.771579042,4.98061E-09,1.73055E-05,10.64389482
KCNN3,-0.648552293,1.54424087,-7.6439429,7.15743E-09,1.73055E-05,10.30043361
LOC105375781,-0.82300638,1.245956891,-7.632758672,7.38914E-09,1.73055E-05,10.27024108
VCAN,2.829407451,3.690233972,7.574545868,8.72383E-09,1.73055E-05,10.11284478
GPX8,0.768397514,2.141891892,7.568265601,8.88171E-09,1.73055E-05,10.0958395
SYT11,0.76837186,2.727191676,7.538434069,9.67215E-09,1.73055E-05,10.01499872
PRKN,-0.663001566,3.044554876,-7.492083782,1.10442E-08,1.73055E-05,9.889181991
ACKR1,2.843137283,3.286051375,7.490731017,1.10871E-08,1.73055E-05,9.885506101
ESRRG,-0.848388381,3.392309178,-7.421780271,1.35116E-08,1.73055E-05,9.697859661
SRRM4,-0.629808971,0.388965501,-7.415937943,1.37403E-08,1.73055E-05,9.681934467
FCER1G,1.756992179,4.491140677,7.389655822,1.48183E-08,1.73055E-05,9.610244946
IFI16,1.293222762,3.456651333,7.384431134,1.50426E-08,1.73055E-05,9.595984106
LAIR1,1.422550478,2.374879874,7.36383587,1.59608E-08,1.73055E-05,9.539738594
CTSS,1.899653046,3.71195772,7.360374952,1.61206E-08,1.73055E-05,9.530282084
VIM,1.232982686,7.713283988,7.334459865,1.73696E-08,1.73055E-05,9.459429121
CD84,1.358731783,1.7241645,7.317459342,1.82418E-08,1.73055E-05,9.4129076
MS4A6A,1.626546739,3.351022624,7.298834383,1.92483E-08,1.73055E-05,9.36190348
MSR1,0.90043976,1.997369,7.296055229,1.94032E-08,1.73055E-05,9.35428948
HAPLN4,-0.603001298,0.550727062,-7.294679212,1.94804E-08,1.73055E-05,9.350519309
FAS,0.622609759,1.850347305,7.2864565,1.99481E-08,1.73055E-05,9.327985365
SPSB4,-0.621459254,0.601744253,-7.284474099,2.00626E-08,1.73055E-05,9.322551561
QPCT,1.38226592,2.206912452,7.263864258,2.12926E-08,1.73055E-05,9.266033654
ALOX5,1.699304215,2.684102668,7.244323561,2.25292E-08,1.73055E-05,9.212404206
LUM,1.625385937,5.722798482,7.238560211,2.29076E-08,1.73055E-05,9.19657866
PTAFR,1.4316866,2.470155189,7.22287804,2.39702E-08,1.73055E-05,9.153498649
TTC9,0.654452377,1.739850451,7.222522223,2.39949E-08,1.73055E-05,9.152520885
KCNQ1OT1,-0.614424623,3.531018283,-7.214484154,2.45594E-08,1.73055E-05,9.130429025
DIRAS1,-0.854079995,1.388773075,-7.213514433,2.46284E-08,1.73055E-05,9.127763365
RAC2,2.237374543,3.648958993,7.173565654,2.7648E-08,1.80396E-05,9.017859897
CARD11,1.799911901,2.162772949,7.141154451,3.03713E-08,1.93557E-05,8.92856727
VAV1,1.733253658,2.759110389,7.118754717,3.24105E-08,1.98886E-05,8.866791058
LINC00574,-0.845889417,1.101937338,-7.110814234,3.31662E-08,1.98886E-05,8.844879332
LCP1,2.259419518,4.188899065,7.094341319,3.47912E-08,1.98886E-05,8.799401373
CASP1,1.188772509,2.527733949,7.083212264,3.59344E-08,1.98886E-05,8.768660606
LAPTM5,1.999456093,4.854167672,7.081085885,3.61571E-08,1.98886E-05,8.762785642
TRBC2,2.771146609,4.436775299,7.079844054,3.62878E-08,1.98886E-05,8.759354378
B2M,0.967507999,7.558099492,7.072626906,3.7057E-08,1.9912E-05,8.73940974
VSIG4,1.470405558,3.446655091,7.050620244,3.95057E-08,2.03307E-05,8.678561105
TPM4,1.095312781,5.037500149,7.045956963,4.00452E-08,2.03307E-05,8.66566072
SLC16A7,-0.758501422,2.308738379,-7.043039742,4.03865E-08,2.03307E-05,8.657589463
CYBB,1.700057504,3.761043572,7.039506472,4.08039E-08,2.03307E-05,8.647812588
CP,1.27241079,2.327135451,7.023992575,4.26884E-08,2.05234E-05,8.604869238
MILR1,0.89970333,1.990039741,7.017690468,4.34789E-08,2.0543E-05,8.587417694
MIR198,1.331122667,5.678509201,6.96951609,5.00314E-08,2.11892E-05,8.453883773
NCKAP1L,1.595904845,2.597586808,6.966878254,5.04177E-08,2.11892E-05,8.446565337
DEF6,1.686745544,2.757034579,6.961773413,5.1174E-08,2.11892E-05,8.432400479
ARHGAP22,0.603800759,1.103563542,6.960567596,5.13543E-08,2.11892E-05,8.429054217
MYO1G,1.746578248,2.284393131,6.954565484,5.22613E-08,2.11892E-05,8.412395634
VCAM1,1.189552948,6.113457557,6.954403355,5.22861E-08,2.11892E-05,8.411945603
CD3G,1.458877337,1.420138306,6.953296617,5.24552E-08,2.11892E-05,8.408873503
LHFPL6,1.277960529,4.545705383,6.952489898,5.25788E-08,2.11892E-05,8.406634121
KBTBD11,-0.659096485,3.497662668,-6.933368031,5.55964E-08,2.17652E-05,8.353534942
THBS2,2.052528594,3.611314542,6.902385538,6.08618E-08,2.3491E-05,8.267425109
CD3E,2.184940186,2.820866812,6.890028778,6.30999E-08,2.36524E-05,8.233056246
SLC2A12,-0.984889068,1.701314526,-6.880638011,6.48562E-08,2.36524E-05,8.206927248
MYCNOS,-1.315733915,1.281842278,-6.867686988,6.73597E-08,2.39313E-05,8.17087849
TRBJ2-7,2.787646201,3.758301746,6.863872095,6.81156E-08,2.39313E-05,8.160256855
CD53,1.960054774,3.456656539,6.851304599,7.06668E-08,2.45133E-05,8.125256107
CXCL16,0.882310777,4.309899385,6.840819258,7.28691E-08,2.49613E-05,8.096042961
HLA-DRA,1.293070776,8.387663202,6.836378523,7.38226E-08,2.49757E-05,8.083667586
ANXA2,1.237228302,5.146020162,6.827972675,7.56621E-08,2.52764E-05,8.060237314
