"Supplementary Table 4. Differentially expressed genes between late DKD patients and controls (n = 3,525 DEGs)",,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
NR4A1,-4.328817883,3.246111029,-19.2923388,7.75177E-20,2.12429E-15,34.21511343
NR4A2,-2.876200316,1.470719289,-17.30178371,2.22222E-18,3.02794E-14,31.19790795
MIR27B,1.512758418,4.467984744,17.07617766,3.31478E-18,3.02794E-14,30.83370701
ATF3,-3.066538697,2.451385453,-13.74938847,2.05927E-15,1.12865E-11,24.86105115
MASCRNA,-2.053499973,3.904481272,-13.44198185,3.94536E-15,1.80198E-11,24.24676806
DUSP1,-3.130908974,5.179414962,-13.27030848,5.69825E-15,2.23078E-11,23.89871563
TEX41,-0.915303897,1.005926042,-12.91305469,1.2376E-14,4.23938E-11,23.16271839
MIRLET7G,2.366068553,3.09610106,12.26583361,5.23662E-14,1.59449E-10,21.78813114
HEATR9,0.657258995,1.216684803,11.44728825,3.4874E-13,7.97543E-10,19.97100558
ABCA5,-1.135867355,2.767420141,-11.44668514,3.49238E-13,7.97543E-10,19.96963351
CNPY4,0.630250381,3.63052579,11.24239082,5.67867E-13,1.01588E-09,19.50201387
CACNB4,-0.813078226,0.899288795,-11.17382703,6.69288E-13,1.07889E-09,19.34379465
RPL13AP17,-0.614886064,0.533147386,-11.05267933,8.96076E-13,1.36394E-09,19.06265156
MIRLET7A1,1.591065538,3.156564087,11.03040536,9.45656E-13,1.36394E-09,19.01074098
MIRLET7D,2.030776038,4.248338628,10.94145201,1.17331E-12,1.60766E-09,18.80274736
SPACA1,-0.896272741,0.553906243,-10.90054757,1.29609E-12,1.62062E-09,18.70673569
FMN2,-1.210747106,0.993971507,-10.89898435,1.30104E-12,1.62062E-09,18.70306188
MIR4763,1.39615984,4.983612728,10.87123553,1.39209E-12,1.65864E-09,18.63779129
TMEM200C,-0.677075871,0.640314151,-10.79785897,1.66555E-12,1.90178E-09,18.46468047
SLC25A25,-1.134325329,3.549368826,-10.73847078,1.92672E-12,2.11199E-09,18.3240232
NR4A3,-2.304149645,1.436277325,-10.70575483,2.0881E-12,2.16396E-09,18.24632777
