Supplementary Table 5. Differentially expressed genes between early DKD patients and controls (n = 390 DEGs),,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
NR4A1,-4.488379127,3.246111029,-15.12119363,1.28E-16,3.5E-12,26.31257525
NR4A2,-3.174793301,1.470719289,-14.43670825,4.99E-16,6.84E-12,25.1599246
MIR27B,1.585283306,4.467984744,13.52723231,3.29E-15,3.01E-11,23.54026732
ATF3,-3.726160291,2.451385453,-12.62924656,2.32E-14,1.59E-10,21.83651079
MASCRNA,-2.317503484,3.904481272,-11.46753237,3.32E-13,1.82E-09,19.4682622
DUSP1,-3.49643656,5.179414962,-11.20255811,6.25E-13,2.85E-09,18.90103854
EGR1,-5.02437915,4.073184569,-10.95429958,1.14E-12,4.45E-09,18.36024563
FOS,-5.763493724,4.373386584,-10.61676008,2.6E-12,8.91E-09,17.61030573
BTG2,-2.314070601,5.554958559,-10.0734012,1.02E-11,3.09E-08,16.36722036
MIR29B2,1.39987121,3.722452516,9.967182588,1.33E-11,3.47E-08,16.11901536
HEATR9,0.755706664,1.216684803,9.949478267,1.39E-11,3.47E-08,16.07747929
CCN1,-2.913849593,5.22350058,-9.863447113,1.74E-11,3.97E-08,15.87496758
MIR3193,2.344671268,2.772213161,9.70763529,2.6E-11,5.48E-08,15.50535026
MIRLET7G,2.405101904,3.09610106,9.425061731,5.43E-11,0.000000106,14.82568277
ZFP36,-3.070289313,5.816779658,-9.304664098,7.46E-11,0.000000136,14.53244332
MIRLET7A1,1.729116607,3.156564087,9.061678732,1.42E-10,0.000000232,13.93402515
JUNB,-3.01986504,5.407017642,-9.045584921,1.49E-10,0.000000232,13.89407924
SLC2A3,-2.54891726,3.044408369,-8.944883534,1.95E-10,0.000000281,13.64326055
MIR24-1,1.305651606,4.041658151,8.874105501,2.36E-10,0.000000323,13.46607643
NR4A3,-2.492545898,1.436277325,-8.754488009,3.26E-10,0.000000425,13.16495673
OSM,-0.711885607,0.570168821,-8.709803225,3.68E-10,0.000000458,13.05193299
JUN,-2.775648709,5.230240813,-8.599857467,4.96E-10,0.000000591,12.77260738
MIR29C,1.206704288,5.108851219,8.465566782,7.17E-10,0.00000079,12.4290703
MIR3074,1.038464138,4.141943263,8.463819154,7.2E-10,0.00000079,12.4245826
