id	logFC	AveExpr	t	P.Value	adj.P.Val	B
FAS	1.05606638525237	9.571830371501	8.27090835311996	6.88300248992245e-09	5.21930946821678e-05	10.391407693725
C3AR1	1.51164874453071	8.92117248366278	8.20094276896606	8.13091106002898e-09	5.21930946821678e-05	10.2350847185683
ANXA1	1.54720143440044	10.948377891428	7.83352265314048	1.97111171522256e-08	5.21930946821678e-05	9.40229788294276
GORAB	0.509402753542101	8.3895806879812	7.78821603028308	2.20120680665042e-08	5.21930946821678e-05	9.29823967650156
MSR1	1.32566858364699	9.34579791459326	7.73094469200514	2.5318472698027e-08	5.21930946821678e-05	9.16627694842976
GPX8	1.04325887435514	9.05287289519582	7.68513775576782	2.83256388124349e-08	5.21930946821678e-05	9.06039043317214
DAPP1	2.72950362813678	7.36043947960823	7.66884106452391	2.94814482907603e-08	5.21930946821678e-05	9.02264674723493
TOP2A	2.19192735255535	7.39658351284403	7.66515567664155	2.97494378933058e-08	5.21930946821678e-05	9.01410599796309
ARHGAP22	1.78193371240495	8.15960689907417	7.54578033594819	3.99192008735083e-08	5.21930946821678e-05	8.7364124868104
FAP	3.00180078182996	6.18787849245848	7.48562733531559	4.63263381708814e-08	5.21930946821678e-05	8.59571978786298
CD84	2.22227909722773	9.92631635915743	7.47834451510098	4.71702524690491e-08	5.21930946821678e-05	8.57865142776102
ACKR1	3.29774351372977	9.09530830295734	7.47479942058796	4.75867092584498e-08	5.21930946821678e-05	8.57034029122031
GPR141	1.72665520113083	6.89246598832004	7.4268975103127	5.35963257577057e-08	5.21930946821678e-05	8.45786679598455
CD86	1.97107063018405	8.16987751616612	7.41483408045921	5.52283175389507e-08	5.21930946821678e-05	8.42949155422427
C1S	1.95915525625327	13.0221692781923	7.40129994340868	5.71197288199751e-08	5.21930946821678e-05	8.39763292115975
MMP7	3.24842941828428	11.899898472612	7.3963897809878	5.78221538189584e-08	5.21930946821678e-05	8.38606838705555
CD3G	2.55611616101572	6.67230782531263	7.39444472855212	5.81028348653172e-08	5.21930946821678e-05	8.38148642919727
QPCT	1.83053701399687	7.99998312336073	7.3906410176161	5.86557531771163e-08	5.21930946821678e-05	8.37252451866124
PDLIM1	1.150287754264	11.3966381382162	7.38433323043306	5.95845291676704e-08	5.21930946821678e-05	8.35765835206796
LILRB4	1.81719143152851	8.26405588954758	7.37632099381784	6.07859404245095e-08	5.21930946821678e-05	8.33876721897647
LUM	1.67220956881524	12.6429682520821	7.34837676252212	6.51729221549249e-08	5.21930946821678e-05	8.27281144167778
ARL4C	2.4083990192299	10.2767675727736	7.31555885205404	7.07396711382889e-08	5.21930946821678e-05	8.19521545319825
NNMT	3.1133895387216	10.3046927765158	7.30966714017472	7.17892748620315e-08	5.21930946821678e-05	8.18126923084597
VCAN	3.28746327532225	12.8562472634541	7.27482452572406	7.83295180504186e-08	5.21930946821678e-05	8.09869671507276
FCER1G	1.74187819942436	9.06489315220951	7.25672049952651	8.19645124407779e-08	5.21930946821678e-05	8.05572729113531
ALOX5	2.14580984302741	9.80991104340401	7.25582918455197	8.21478532656613e-08	5.21930946821678e-05	8.05361063027988
CP	2.2020220005455	9.47375156408492	7.23065363159236	8.75027655501911e-08	5.21930946821678e-05	7.99378027612061
TTC9	1.0344267580132	8.84299901980053	7.223405939623	8.91093819622682e-08	5.21930946821678e-05	7.97654007494285
IL4I1	1.71831640085191	7.70936937098277	7.21850156953817	9.02135757174536e-08	5.21930946821678e-05	7.96486995376924
PTAFR	1.83309160477884	9.69515928557424	7.20650323893354	9.29741110982858e-08	5.21930946821678e-05	7.93630585209678
CARD11	2.56683977802416	9.37922584979259	7.20005972245132	9.44919951673556e-08	5.21930946821678e-05	7.92095795793948
FCGR2B	2.55982905828932	7.93916935038315	7.18884695513316	9.71938448457501e-08	5.21930946821678e-05	7.8942368379695
C3	2.7899230541219	12.805501845868	7.17180390178741	1.01452209370917e-07	5.2828932297874e-05	7.85358932377923
SPHK1	1.66908919203117	7.79827671172908	7.12479416617715	1.14210818911798e-07	5.7723491534716e-05	7.74127080154624
THBS2	2.34030006947529	11.6063765314986	7.06438826578225	1.33039869730223e-07	6.53187748984043e-05	7.59651604343592
RAC2	2.47529447044284	9.75479884790889	7.02902647522463	1.45501143897984e-07	6.7706009330639e-05	7.51155418435934
PARK2	-0.718934779253358	10.3400086154543	-7.02826479150502	1.45782259382777e-07	6.7706009330639e-05	7.50972233613117
TPM4	1.22209140020571	12.9218660414524	6.99285734300253	1.59479524462087e-07	7.17183710408002e-05	7.42448448184785
RNR2	-1.65228974256937	9.90312070237239	-6.98481632955099	1.62768649359358e-07	7.17183710408002e-05	7.40510443920687
SIGLEC10	2.07425235094423	7.29680905671323	6.97424597844898	1.67197724692277e-07	7.18281425278021e-05	7.37961565612601
EMB	1.51250458878419	8.82041232035667	6.9613600878443	1.72763409609039e-07	7.24089373346764e-05	7.34852389963638
LAIR1	1.86172325402502	9.94935141092039	6.94515561066155	1.80031126510642e-07	7.36584494752111e-05	7.30939470886068
FLJ16779	2.82874413580913	8.51390109051429	6.90555684521509	1.99129242733401e-07	7.72283765571016e-05	7.21363427981546
VSIG4	1.61666634305334	9.91302983973785	6.88795409046062	2.08269155277252e-07	7.72283765571016e-05	7.17100235299051
MYO1G	2.39169763602227	9.33653723997453	6.88178906311462	2.11570236454556e-07	7.72283765571016e-05	7.15606210806519
CTSS	2.11579945761369	11.0749387124762	6.8810743504005	2.1195635979278e-07	7.72283765571016e-05	7.15432977370838
ARHGAP15	1.96662092560049	8.88768809838254	6.87922315328314	2.12959805927344e-07	7.72283765571016e-05	7.14984250830371
SP140	2.48277184286344	8.07542223578339	6.87417333591951	2.15721722226541e-07	7.72283765571016e-05	7.13759966247508
TLR6	1.82548262789863	8.14104811390386	6.86395624704411	2.21421802507551e-07	7.76512704957094e-05	7.11281943438235
CENPF	2.00232738058058	7.51705163514787	6.84954695263923	2.29722257247463e-07	7.77329885670486e-05	7.07784936227663
CASP1	1.49076657464667	9.08541648661401	6.84788129060435	2.30701956291869e-07	7.77329885670486e-05	7.07380527831923
CD247	2.16096212420412	7.58196996031166	6.83422301336884	2.3889745507581e-07	7.85637585444055e-05	7.04063113026242
CD3E	2.67679073489291	8.5268127098065	6.82867356087609	2.42311406125087e-07	7.85637585444055e-05	7.0271456217525
IL7R	3.35035242751874	9.71232703989134	6.81423812326265	2.51426253356085e-07	8.00094210679808e-05	6.99204875440722
DIRAS1	-1.3671828013452	7.4213465162184	-6.80678643115462	2.56267143227131e-07	8.00671743493641e-05	6.97392138192023
VCAM1	1.22090316548174	13.0392411954937	6.76936672201451	2.8204901367297e-07	8.20416851256689e-05	6.88278903343799
GFI1	2.13607859150135	7.01280532005636	6.76768825980399	2.83265424715063e-07	8.20416851256689e-05	6.87869727169121
MNDA	2.00141035095714	7.74493568819112	6.76556533926481	2.84811587215527e-07	8.20416851256689e-05	6.87352151552429
IL2RG	2.63293446481267	8.96827969357228	6.76504127354326	2.85194593127799e-07	8.20416851256689e-05	6.87224373999345
DLGAP1	2.39308324373387	8.85643289308603	6.76331707706491	2.86458397785157e-07	8.20416851256689e-05	6.8680395728909
CD180	2.23579650807917	7.75452241759341	6.75283815414581	2.94262706982611e-07	8.23979677628639e-05	6.84248067440401
MS4A6A	1.86733210047841	10.4541671127866	6.74656092450882	2.99040964477857e-07	8.23979677628639e-05	6.82716363794032
VAV1	2.12487895980811	9.51637020907671	6.74261166309731	3.0208752147698e-07	8.23979677628639e-05	6.81752461591039
IFI16	1.47453681028485	10.632969036131	6.73423056066064	3.08657892967208e-07	8.28746442616954e-05	6.79706247678682
DEF6	2.04847080990725	9.19677779071982	6.71036015127126	3.28178715714857e-07	8.55291057808106e-05	6.73873735028016
SIT1	2.48712462113634	6.91758017132054	6.70998105359087	3.2849866047099e-07	8.55291057808106e-05	6.73781050754427
BTK	2.16843779684574	8.39982938603592	6.70372645003476	3.33823333879713e-07	8.56182114834178e-05	6.72251635732232
PLEKHA4	1.31637506758783	10.5233589496402	6.67208652328218	3.62134795193683e-07	8.75766779121889e-05	6.64507681010633
PIK3CG	1.81445435587809	9.77446373582833	6.66874185596123	3.6526685270002e-07	8.75766779121889e-05	6.63688369020995
MFAP4	1.3309366477163	11.2169907079107	6.66784705425638	3.66109433462936e-07	8.75766779121889e-05	6.63469155305729
SYT11	0.948018295810389	10.2141333096902	6.66588469089032	3.67964196133345e-07	8.75766779121889e-05	6.62988370935599
PLEK	2.22795847320253	9.57164381722573	6.66317958428648	3.70536643879223e-07	8.75766779121889e-05	6.62325537722435
MILR1	1.64666669061786	6.78243666320343	6.66160982421679	3.72037796065514e-07	8.75766779121889e-05	6.6194085917568
SLCO5A1	2.82988743847174	5.80960183147217	6.64203218142931	3.91287450252637e-07	8.78698417892265e-05	6.57140804883385
SCML4	2.54230858622763	7.50892388228347	6.64139968244163	3.9192596186643e-07	8.78698417892265e-05	6.56985653283417
MB21D1	1.44972878370873	7.41014231716324	6.64059607097086	3.9273874012473e-07	8.78698417892265e-05	6.56788521121809
MYBL1	1.6820691053405	6.80963905687814	6.63961130988573	3.9373707040098e-07	8.78698417892265e-05	6.56546941206006
CD2	2.62518811061678	8.26768621322732	6.63321322093942	4.00286432252373e-07	8.81861801515996e-05	6.54977095781757
FGF7	1.58259977118707	7.9720746846933	6.62332867786202	4.10623041331024e-07	8.93183081295231e-05	6.52550865882127
MKI67	2.32897258222269	8.95255087180364	6.60470403654301	4.30842544859472e-07	9.21949475545167e-05	6.47976220518914
RNR1	-1.93803930348359	9.57285857054858	-6.59998483886297	4.36124625897195e-07	9.21949475545167e-05	6.46816435415909
TMEM72-AS1	-1.13912466141226	7.87388731737761	-6.59660912498259	4.39943301877931e-07	9.21949475545167e-05	6.45986665129716
THEMIS	2.37443589349158	7.5767706138751	6.58642162562707	4.51674837633687e-07	9.25038643287228e-05	6.43481718868052
CD53	2.2040187897903	10.1067246280045	6.57824896556895	4.61315585894718e-07	9.25038643287228e-05	6.41471324296178
TNFSF14	2.21211136071159	6.80392011546392	6.57468294065714	4.65587448603412e-07	9.25038643287228e-05	6.40593876086034
LCP1	2.42423412571693	11.5061690570496	6.57154127305475	4.69384247397602e-07	9.25038643287228e-05	6.3982072322909
