id	logFC	AveExpr	t	P.Value	adj.P.Val	B
FOS	-2.04784915547874	6.06404851017875	-15.4361456891558	6.27517773229655e-23	2.1159899313304e-18	41.4048361639027
MIR4521	2.19420783863855	4.44079872670293	14.7560763618167	5.706439987102e-22	9.62105781825397e-18	39.3032206282687
RP11-342M3.5	0.795982544254005	8.2656671423978	14.0934413261587	5.18603771214554e-21	5.82910638845159e-17	37.1945065724431
CXCR2	-1.08072996967418	4.18983679129146	-13.5656624303957	3.130623827526e-20	2.63911588660442e-16	35.4714468192537
SEP15	0.292184156144799	9.40783060440956	13.2907029980084	8.10116920020022e-20	5.46342850861503e-16	34.558441494263
DUSP1	-1.03023307382883	7.508856895121	-13.1877764582165	1.15931031138329e-19	6.51532394997408e-16	34.2139717194618
MIR1273A	0.375057189585283	11.7349593666002	12.8144514540481	4.30240932168177e-19	2.07253203324442e-15	32.9522251281786
MIR4256	1.92092587008629	5.65414886242709	12.2711955335013	2.99393140720882e-18	1.26194208813852e-14	31.0818692427183
ZZEF1	0.321904098077715	8.75903572949331	12.0807684800297	5.9622048497116e-18	2.23383941702528e-14	30.4167372789343
VTRNA1-3	1.80258221289774	6.01592546456575	12.0014172171302	7.95520218695822e-18	2.68249417744231e-14	30.1381332330683
PDK4	-1.58468932076621	7.29611781659729	-11.9412853561524	9.90346927010257e-18	3.03586348898053e-14	29.9264468542953
C6orf136	-0.306913320232701	5.983949952578	-11.6679608121966	2.69567868258935e-17	7.53605047750424e-14	28.9581832780446
SNORD3D	-1.45017680538452	7.36009760749258	-11.6476147859095	2.90535753877684e-17	7.53605047750424e-14	28.8857122717226
CXCR1	-1.3227101758103	4.66968526182547	-11.4810370473945	5.37482719866413e-17	1.23790907754307e-13	28.2903417952975
HIST2H2AA4	-1.06151932287883	7.79945451168323	-11.4653836798708	5.695672898705e-17	1.23790907754307e-13	28.2342093298638
MIR566	0.406216141908978	10.7794350585418	11.4527516717465	5.96862998167789e-17	1.23790907754307e-13	28.1888882717604
SNORD3B-1	-1.48376867273728	7.47780244478345	-11.4407173641074	6.24094137551372e-17	1.23790907754307e-13	28.1456924800793
MIR1254-1	0.93757497169033	7.71600460032289	11.3967814568962	7.34601488435585e-17	1.37615345500266e-13	27.9878310686544
SNORD3C	-1.45698018361603	7.3143868018521	-11.3763149789907	7.92624254190035e-17	1.40669946585726e-13	27.914210426939
RN7SKP71	0.362468382514649	11.9815636318024	11.22852158706	1.37443388197247e-16	2.31729552500559e-13	27.3809896053387
RP3-339A18.6	0.356932003885357	10.6551884364332	11.1555771461997	1.80519985349651e-16	2.89863519332868e-13	27.1167942315126
HM13-IT1	0.321212947895564	8.56462961968044	11.0278972712437	2.91354843410801e-16	4.46567514536919e-13	26.6527497060272
LOC613037	0.808318262013882	9.55775472789708	11.0092356786841	3.12519502227275e-16	4.58180765874075e-13	26.5847556221462
NFIL3	-0.798732842442091	5.06955322003124	-10.9860486428767	3.40989989987142e-16	4.79090935931935e-13	26.5002130426039
FKSG52	0.451471161089463	10.7946541908094	10.9433089578937	4.00503233893346e-16	5.40198761875346e-13	26.3442059036228
SNORD3A	-1.42164666417084	7.9340217597255	-10.8781410678197	5.12044091270869e-16	6.64081798371296e-13	26.1059016201293
HIST1H2BD	-0.808249548400468	4.16527510386527	-10.822894199538	6.30854033881996e-16	7.87866593425959e-13	25.9034719273948
NPIPB5	0.710579473722316	9.8840077420732	10.8050886035201	6.74787997955167e-16	8.12637546108865e-13	25.8381519725229
VNN2	-1.18852746559147	5.40656106267462	-10.7450750049877	8.46894422079909e-16	9.84733790087398e-13	25.6177111976005
VASH1	0.508557091292417	6.11758369917452	10.7174931561256	9.40226105371783e-16	1.04541032711074e-12	25.5162537069488
DDX17	0.387307057493139	10.0251499014243	10.71170746597	9.61083040938107e-16	1.04541032711074e-12	25.4949600507028
NBPF16	0.427311418677034	8.78434883102249	10.6999413574375	1.00494852683015e-15	1.05896451014727e-12	25.451643800303
PFN1P2	0.861956822815579	6.68571086968812	10.6107011692307	1.41049030628423e-15	1.44126464023953e-12	25.1225788959057
ARNTL	-0.569023415906745	4.73319994066226	-10.5922328163464	1.51316480168627e-15	1.50070344449591e-12	25.054361800658
MIR1285-2	0.708589064331923	8.9908011797006	10.5520932333183	1.76305755622259e-15	1.67339651023192e-12	24.9059600262174
NBPF9	0.412140818162717	9.13264036562716	10.5452987611724	1.80929874800842e-15	1.67339651023192e-12	24.8808213827581
NPIPB8	0.599536503229748	7.61936587165046	10.5414302622192	1.83617054800063e-15	1.67339651023192e-12	24.8665060634385
RNU5B-1	-0.979631984592691	3.37285177842109	-10.478102317489	2.33790384475522e-15	2.07458204329332e-12	24.6319167008421
HSD17B14	-1.01007296311056	6.33783034167398	-10.4451720186483	2.65127831049016e-15	2.25591160379638e-12	24.5097494004961
B2M	0.329233746380611	10.4096547234339	10.4427383923725	2.67605172455087e-15	2.25591160379638e-12	24.5007160455211
DANCR	-0.63835842791543	6.55476096046138	-10.3828230197511	3.36530649716088e-15	2.75186995138735e-12	24.27810501034
ATOX1	-0.304069507107404	5.55801196835595	-10.378032517596	3.42759602485968e-15	2.75186995138735e-12	24.2602887654799
LIMA1	0.4237387968993	7.75758595453066	10.3469549578197	3.86088379858044e-15	3.02765120204959e-12	24.1446463880348
NPIPB3	0.633190024815544	10.0911722802915	10.3151518516202	4.36150435012576e-15	3.34249833377819e-12	24.0261924471882
RP1-297M16.2	0.427694540509857	6.31260440877871	10.2902194358499	4.79930986720767e-15	3.59628286049428e-12	23.9332505028417
UNC5B	0.703019146333031	7.19559796846211	10.2065568448001	6.61883689818164e-15	4.85189522188446e-12	23.6208766771041
LINC01420	-0.432126809721835	8.02350622768154	-10.1793695589446	7.34876878779144e-15	5.19716979620755e-12	23.5192022105402
NPIPB11	0.878148079854842	9.03702549714864	10.1776312617314	7.39810647146982e-15	5.19716979620755e-12	23.5126986403277
RNA5SP195	1.80906932967279	7.60630145488953	10.1446778381287	8.39915349314954e-15	5.77600286018141e-12	23.389346906482
PROK2	-0.620013061881088	4.66546042490416	-10.1396135360801	8.56465430038762e-15	5.77600286018141e-12	23.3703797938005
AC114730.7	0.574899166655081	9.01455856936754	10.1265788147151	9.00588854211077e-15	5.95448160078382e-12	23.3215487853087
NDUFC1	-0.310947950871208	6.73170133864082	-10.0423456045163	1.24648990609972e-14	8.00213662614394e-12	23.0055569862237
ANKS1B	-0.591382060804451	4.48949512439073	-10.0400177343811	1.25774982558016e-14	8.00213662614394e-12	22.9968136110711
SPDYE3	0.723711286877153	6.37055985603921	10.0288945255265	1.31298276371243e-14	8.19884792451541e-12	22.955027514077
SNORD66	-1.57115543688306	4.07908904188671	-10.0184095081822	1.36728085362709e-14	8.38267461532826e-12	22.9156270556769
RNU6-199P	1.30952272967379	5.4840449402709	9.95550819847604	1.74394615330548e-14	9.985356516376e-12	22.679017986282
NPIPA1	0.460578876208467	8.24414556292866	9.95535827340397	1.74495867984326e-14	9.985356516376e-12	22.678453542094
SPDYE8P	0.711068773611398	6.06472187168015	9.95352356196012	1.75739752445524e-14	9.985356516376e-12	22.6715459569787
HSPA1A	-0.567547962772309	7.43016645150449	-9.95183724755512	1.76890897127793e-14	9.985356516376e-12	22.6651967740635
CTC-384G19.1	0.352353929836029	8.69166497048971	9.9506474887103	1.77707636553931e-14	9.985356516376e-12	22.6607170091392
RN7SKP255	0.293403051313289	11.6705551196075	9.94642555615135	1.8063663923456e-14	9.985356516376e-12	22.6448191176065
