id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NR4A1	-4.97783396732829	12.5202929372079	-17.2353915779327	2.3595333672243e-11	1.95252803366398e-07	14.9815651494304
FOS	-6.02146665461116	11.499518856654	-17.1563793734297	2.52128092009395e-11	1.95252803366398e-07	14.9335673959885
RGS1	-4.95917212361624	6.00151032451168	-16.8011266367914	3.4087430755307e-11	1.95252803366398e-07	14.7135892484715
NR4A2	-4.76515391491466	8.63033144851736	-15.9246196054834	7.35793024856268e-11	3.16096683478253e-07	14.1402388405232
DUSP1	-3.43803449655449	12.2911088842903	-15.4971405802712	1.0858008562105e-10	3.73168038262425e-07	13.843839217528
EGR1	-5.33192372208955	11.5927731280999	-14.3561901389877	3.22019608898331e-10	9.22264159884819e-07	12.9938761202493
ATF3	-4.41596808674318	9.8561621972178	-13.0095856524452	1.28549886402742e-09	3.15571606849245e-06	11.8678728733988
CYR61	-2.88516507983349	12.061514986265	-10.9609816996152	1.35644344840258e-08	2.91364052716874e-05	9.85200836423994
OSM	-2.79377770686247	4.94529444126823	-10.6401968042729	2.02479784428687e-08	3.85491340927957e-05	9.49831271717298
HEATR9	1.45850105705606	6.3405927132243	10.5593237207961	2.24331553147088e-08	3.85491340927957e-05	9.40736274489772
BTG2	-2.29305527316724	12.309062382221	-10.0742807880809	4.20239906104615e-08	6.56491140591064e-05	8.84633972603613
MIR27B	1.69908912995826	6.75253084570067	9.95729611583049	4.90612792510768e-08	6.85466619808507e-05	8.70694058412981
NUSAP1	-0.658779547925612	7.52926506414335	-9.86829831479802	5.52450461541338e-08	6.85466619808507e-05	8.59979923583533
JUN	-2.78305185298923	12.4487723148334	-9.86022014188917	5.5845744165032e-08	6.85466619808507e-05	8.59002715640079
FOSB	-6.75208752533035	8.90292301833124	-9.59344069849225	8.01186229116734e-08	9.17838944076131e-05	8.26284996001398
BEST1	1.12471309861261	7.98163464795134	9.52235923680608	8.83159986649263e-08	9.48513825661309e-05	8.17419821027002
RAB26	0.967502489791324	7.32061118580325	9.46547265148669	9.55133188079174e-08	9.65471100232501e-05	8.10279592026987
JUNB	-3.01150394916049	11.6929662629527	-9.34691761092703	1.12578409738996e-07	0.000107474855164162	7.95268043469707
RGS2	-1.59118830029552	8.69591924423412	-9.30492362858373	1.1937145594705e-07	0.000107962057841795	7.8990798148437
FLJ31356	-2.06456367870786	6.5646094453741	-9.09194808535103	1.61152077906727e-07	0.00013846186533746	7.62375343433582
SLC2A3	-2.9401671040129	10.2029149868023	-8.85903535544032	2.25050746696431e-07	0.000184155811011022	7.31587442483034
ZFP36	-2.95573804578146	12.3112920652567	-8.69479186694687	2.85873216626712e-07	0.000223292970659701	7.09442347756432
GDF15	-2.67705683704041	10.9110944480967	-8.48370341083557	3.90571045104239e-07	0.000279648868294635	6.8044334073896
DUSP2	-3.06996861323483	7.21354217663289	-8.39664227903187	4.4490079535396e-07	0.000305807010694498	6.68304331267956
GPR161	0.710494772258267	8.96964126258063	8.34610473985441	4.80040565126487e-07	0.000317269887351291	6.61209472666462
GPR179	1.50244533382957	6.36638734811872	8.30220038157171	5.12941577008272e-07	0.000326458817011487	6.55016841983034
NR4A3	-3.64349640056115	9.37835222085537	-8.16697555433227	6.30056191991593e-07	0.000386674485827983	6.35773164578241
REM2	0.861682906199678	6.23428343286608	8.05795839511962	7.44886742229869e-07	0.000432259149345334	6.20070202594957
TEX41	-0.925310180198312	8.09428089174076	-8.04952567557044	7.54642369667134e-07	0.000432259149345334	6.18848470726345
DIAPH2	-0.662045135541605	9.73937255600823	-7.90367778775799	9.4642458759723e-07	0.000524624519782929	5.97556252749022
RGS16	-1.89020324051013	8.81152037337989	-7.76390680006805	1.17875583248522e-06	0.000632991882044562	5.76862066242151
EVI2B	-0.853997847108642	7.97316964387626	-7.71662418675578	1.27033839051059e-06	0.000648856547110177	5.69796941872352
GDF11	0.73089617074195	9.39577389548763	7.69549695793902	1.31364950862197e-06	0.000648856547110177	5.6662944077997
HIST1H4D	0.981508871109071	9.72987042195766	7.66215943689024	1.3851762232315e-06	0.000648856547110177	5.6161796360566
CD55	-0.866459103390369	9.86312508204125	-7.65678021739943	1.39709568453658e-06	0.000648856547110177	5.60807797196156
CXCR4	-1.33034391269632	9.11100746194378	-7.58796242144285	1.55946038865297e-06	0.000705204403121386	5.5040545282031
GOLGA6L5P	-1.05269828394965	7.82173237370323	-7.54228103543113	1.6780949716903e-06	0.000723384273555107	5.43461674895936
MNDA	-1.12324935615517	6.86223280669533	-7.5353487454016	1.69691058721403e-06	0.000723384273555107	5.42405231403777
KIAA1107	-0.81692563456857	8.26579261452551	-7.49609294872446	1.80772169640606e-06	0.000739616419786709	5.36409394418807
CD69	-1.88852778119679	6.13273187479782	-7.45763525342592	1.92366846097511e-06	0.000750679653256808	5.30513225274335
IER2	-1.32608208091038	11.9853059683171	-7.3751391800099	2.1995251878914e-06	0.000792071914732939	5.17790835517985
ZFP36L1	-1.28817171761973	13.564410780988	-7.17218828161731	3.07018701148245e-06	0.00107669578786356	4.86057545021763
PTGES3	-0.612296546497662	11.9625701997273	-7.15294227977206	3.16973623244963e-06	0.00108937494836829	4.83016020518217
BRD7P3	-0.68507697759932	6.67512734509184	-7.13806622672302	3.24899850800834e-06	0.00109472137963952	4.80661258688828
ARRB1	0.58581500789969	11.4578086384071	7.11641476989554	3.3680945558551e-06	0.00110747521022305	4.77228019512416
CNNM1	1.43138422478803	7.10866776904261	7.08702829715686	3.53710698207757e-06	0.00110747521022305	4.72556892482136
ACTR6	-0.696419921358741	8.59664761495096	-7.07495662329664	3.60909053610865e-06	0.00110747521022305	4.70634246688998
TMOD4	1.14802150385182	6.38149871008769	7.00375194538461	4.066119657692e-06	0.00120469310685827	4.59248541806232
MIR3189	-3.21258441336697	6.37800244924486	-6.92695178702245	4.62769219134684e-06	0.00132537104360173	4.46881727964015
