id	logFC	AveExpr	t	P.Value	adj.P.Val	B
FOS	-2.04784915547874	6.06404851017875	-15.4361456891558	6.27517773229655e-23	2.1159899313304e-18	41.4048361639027
MIR4521	2.19420783863855	4.44079872670293	14.7560763618167	5.706439987102e-22	9.62105781825397e-18	39.3032206282687
RP11-342M3.5	0.795982544254005	8.2656671423978	14.0934413261587	5.18603771214554e-21	5.82910638845159e-17	37.1945065724431
CXCR2	-1.08072996967418	4.18983679129146	-13.5656624303957	3.130623827526e-20	2.63911588660442e-16	35.4714468192537
DUSP1	-1.03023307382883	7.508856895121	-13.1877764582165	1.15931031138329e-19	6.51532394997408e-16	34.2139717194618
MIR4256	1.92092587008629	5.65414886242709	12.2711955335013	2.99393140720882e-18	1.26194208813852e-14	31.0818692427183
VTRNA1-3	1.80258221289774	6.01592546456575	12.0014172171302	7.95520218695822e-18	2.68249417744231e-14	30.1381332330683
PDK4	-1.58468932076621	7.29611781659729	-11.9412853561524	9.90346927010257e-18	3.03586348898053e-14	29.9264468542953
SNORD3D	-1.45017680538452	7.36009760749258	-11.6476147859095	2.90535753877684e-17	7.53605047750424e-14	28.8857122717226
CXCR1	-1.3227101758103	4.66968526182547	-11.4810370473945	5.37482719866413e-17	1.23790907754307e-13	28.2903417952975
HIST2H2AA4	-1.06151932287883	7.79945451168323	-11.4653836798708	5.695672898705e-17	1.23790907754307e-13	28.2342093298638
SNORD3B-1	-1.48376867273728	7.47780244478345	-11.4407173641074	6.24094137551372e-17	1.23790907754307e-13	28.1456924800793
MIR1254-1	0.93757497169033	7.71600460032289	11.3967814568962	7.34601488435585e-17	1.37615345500266e-13	27.9878310686544
SNORD3C	-1.45698018361603	7.3143868018521	-11.3763149789907	7.92624254190035e-17	1.40669946585726e-13	27.914210426939
LOC613037	0.808318262013882	9.55775472789708	11.0092356786841	3.12519502227275e-16	4.58180765874075e-13	26.5847556221462
NFIL3	-0.798732842442091	5.06955322003124	-10.9860486428767	3.40989989987142e-16	4.79090935931935e-13	26.5002130426039
SNORD3A	-1.42164666417084	7.9340217597255	-10.8781410678197	5.12044091270869e-16	6.64081798371296e-13	26.1059016201293
HIST1H2BD	-0.808249548400468	4.16527510386527	-10.822894199538	6.30854033881996e-16	7.87866593425959e-13	25.9034719273948
NPIPB5	0.710579473722316	9.8840077420732	10.8050886035201	6.74787997955167e-16	8.12637546108865e-13	25.8381519725229
VNN2	-1.18852746559147	5.40656106267462	-10.7450750049877	8.46894422079909e-16	9.84733790087398e-13	25.6177111976005
PFN1P2	0.861956822815579	6.68571086968812	10.6107011692307	1.41049030628423e-15	1.44126464023953e-12	25.1225788959057
MIR1285-2	0.708589064331923	8.9908011797006	10.5520932333183	1.76305755622259e-15	1.67339651023192e-12	24.9059600262174
NPIPB8	0.599536503229748	7.61936587165046	10.5414302622192	1.83617054800063e-15	1.67339651023192e-12	24.8665060634385
RNU5B-1	-0.979631984592691	3.37285177842109	-10.478102317489	2.33790384475522e-15	2.07458204329332e-12	24.6319167008421
HSD17B14	-1.01007296311056	6.33783034167398	-10.4451720186483	2.65127831049016e-15	2.25591160379638e-12	24.5097494004961
DANCR	-0.63835842791543	6.55476096046138	-10.3828230197511	3.36530649716088e-15	2.75186995138735e-12	24.27810501034
NPIPB3	0.633190024815544	10.0911722802915	10.3151518516202	4.36150435012576e-15	3.34249833377819e-12	24.0261924471882
UNC5B	0.703019146333031	7.19559796846211	10.2065568448001	6.61883689818164e-15	4.85189522188446e-12	23.6208766771041
NPIPB11	0.878148079854842	9.03702549714864	10.1776312617314	7.39810647146982e-15	5.19716979620755e-12	23.5126986403277
RNA5SP195	1.80906932967279	7.60630145488953	10.1446778381287	8.39915349314954e-15	5.77600286018141e-12	23.389346906482
PROK2	-0.620013061881088	4.66546042490416	-10.1396135360801	8.56465430038762e-15	5.77600286018141e-12	23.3703797938005
ANKS1B	-0.591382060804451	4.48949512439073	-10.0400177343811	1.25774982558016e-14	8.00213662614394e-12	22.9968136110711
SPDYE3	0.723711286877153	6.37055985603921	10.0288945255265	1.31298276371243e-14	8.19884792451541e-12	22.955027514077
SNORD66	-1.57115543688306	4.07908904188671	-10.0184095081822	1.36728085362709e-14	8.38267461532826e-12	22.9156270556769
RNU6-199P	1.30952272967379	5.4840449402709	9.95550819847604	1.74394615330548e-14	9.985356516376e-12	22.679017986282
SPDYE8P	0.711068773611398	6.06472187168015	9.95352356196012	1.75739752445524e-14	9.985356516376e-12	22.6715459569787
LOC100190986	1.30696808028241	7.57442556777605	9.88864524625896	2.25967468318045e-14	1.2289714567233e-11	22.427062143408
MIR503	1.17899750713993	5.20655710135439	9.86952019503319	2.43367414013546e-14	1.30259511119631e-11	22.3549110912997
SMG1P2	0.739884482396874	7.73842386844446	9.83892484832517	2.74051415144653e-14	1.44390839354339e-11	22.2394110917313
S100A12	-2.07604373675977	4.43725393491669	-9.80611970688879	3.11292527024405e-14	1.59042181988832e-11	22.1154655578655
NPIPB4	0.641937394028727	10.1790614255778	9.72963806930965	4.1912935154071e-14	2.04826691796416e-11	21.826089962877
MORN2	-0.73793546798714	6.20019734824897	-9.71780881856789	4.3888297191699e-14	2.11416197329156e-11	21.7812822184248
NEBL-AS1	-0.7235863025898	5.23970620001291	-9.66139550566332	5.4677247646577e-14	2.56071776478136e-11	21.5674116086192
G6PC	-2.61340349490766	7.10873217031614	-9.63283299505061	6.11202116818585e-14	2.78509937555712e-11	21.4590124134268
LOC145837	-0.793495251434368	4.88720050865188	-9.58806770189015	7.27896500191621e-14	3.21944867618703e-11	21.288968008299
MIR548AI	0.66088733477403	10.4164391636134	9.55682841550054	8.22376129283634e-14	3.51019279486635e-11	21.1701937001604
RNU6-212P	1.34344115231485	5.47033004826408	9.43842180760032	1.30703930229324e-13	5.06590405440552e-11	20.7192032671743
ZFP36	-1.35275103196474	8.33339157727772	-9.41544789291792	1.43017480904501e-13	5.41859489449414e-11	20.6315561592121
SMG1P1	0.830464924395514	7.90560398564692	9.38689704903036	1.59958542446796e-13	5.95191064312551e-11	20.5225691018913
SMG1P7	0.701464821264108	7.1306589508567	9.385838695185	1.60623923049947e-13	5.95191064312551e-11	20.5185277058004
MIR548AD	0.675746776668104	10.7960927469184	9.2065671044678	3.24889648805399e-13	1.07404695663902e-10	19.832618661504
JUN	-0.662290712902529	6.45415872131435	-9.19901009705282	3.34699844383493e-13	1.0845128024526e-10	19.8036475709786
HMGCL	-0.616565481510801	5.83626151709206	-9.19194789646667	3.44136624740296e-13	1.0845128024526e-10	19.776569338576
SPDYE2	0.897041991497896	6.95646640442176	9.18608707439497	3.52170779459733e-13	1.09290817571606e-10	19.7540945145214
MIR30A	1.24268536831583	3.72207556471926	9.12250239012361	4.52437440902281e-13	1.35010535462167e-10	19.5100913944731
SMG1P5	0.797440114753602	7.15979320841452	9.04329064747193	6.18417627477243e-13	1.75235650407837e-10	19.205691988978
S100A8	-1.20920448542269	5.78482317022084	-9.02564294773487	6.63049489655572e-13	1.84350618720824e-10	19.1378114723082
PTPRD-AS1	-0.617733718419204	3.33147728414178	-9.02414403540567	6.66986224316149e-13	1.84350618720824e-10	19.1320449837116
AC004878.8	1.12381987318639	5.55000953699731	8.98990470534774	7.63593107149192e-13	2.01737137002197e-10	19.0002785190568
SPDYE6	0.915198652614045	7.00283187069402	8.9731726664855	8.15796924138956e-13	2.11605171399735e-10	18.9358567914757
CYP27B1	-0.774901721380037	5.26075984794758	-8.94966606711845	8.95249732152775e-13	2.269760975052e-10	18.8453185876136
