"dataset","sample","group","Q1","median","Q3"
"GSE96804","GSM2544275_DKD","DKD",3.13,4.632,6.089
"GSE96804","GSM2544276_DKD","DKD",3.024,4.522,6.04
"GSE96804","GSM2544277_DKD","DKD",3.045,4.556,6.053
"GSE96804","GSM2544278_DKD","DKD",3.026,4.543,6.08
"GSE96804","GSM2544279_DKD","DKD",3.083,4.58,6.073
"GSE96804","GSM2544280_DKD","DKD",3.065,4.575,6.056
"GSE96804","GSM2544281_DKD","DKD",3.069,4.577,6.079
"GSE96804","GSM2544282_DKD","DKD",3.117,4.627,6.067
"GSE96804","GSM2544283_DKD","DKD",3.138,4.637,6.064
"GSE96804","GSM2544284_DKD","DKD",3.051,4.534,6.081
"GSE96804","GSM2544285_DKD","DKD",3.108,4.615,6.059
"GSE96804","GSM2544286_DKD","DKD",3.108,4.6,6.059
"GSE96804","GSM2544287_DKD","DKD",3.104,4.631,6.114
"GSE96804","GSM2544288_DKD","DKD",3.044,4.561,6.064
"GSE96804","GSM2544289_DKD","DKD",3.111,4.617,6.083
"GSE96804","GSM2544290_DKD","DKD",3.079,4.566,6.028
"GSE96804","GSM2544291_DKD","DKD",3.063,4.556,6.043
"GSE96804","GSM2544292_DKD","DKD",3.113,4.617,6.06
"GSE96804","GSM2544293_DKD","DKD",3.163,4.659,6.074
"GSE96804","GSM2544294_DKD","DKD",3.153,4.63,6.036
"GSE96804","GSM2544295_DKD","DKD",3.102,4.593,6.042
"GSE96804","GSM2544296_DKD","DKD",3.163,4.695,6.078
"GSE96804","GSM2544297_DKD","DKD",3.103,4.606,6.082
"GSE96804","GSM2544298_DKD","DKD",3.07,4.594,6.093
"GSE96804","GSM2544299_DKD","DKD",3.182,4.696,6.066
"GSE96804","GSM2544300_DKD","DKD",3.033,4.54,6.075
"GSE96804","GSM2544301_DKD","DKD",3.128,4.693,6.093
"GSE96804","GSM2544302_DKD","DKD",3.049,4.554,6.084
"GSE96804","GSM2544303_DKD","DKD",3.151,4.626,6.055
"GSE96804","GSM2544304_DKD","DKD",3.109,4.596,6.028
"GSE96804","GSM2544305_DKD","DKD",3.109,4.583,6.039
"GSE96804","GSM2544306_DKD","DKD",3.093,4.646,6.087
"GSE96804","GSM2544307_DKD","DKD",3.065,4.601,6.053
"GSE96804","GSM2544308_DKD","DKD",3.121,4.674,6.075
"GSE96804","GSM2544309_DKD","DKD",3.146,4.653,6.062
"GSE96804","GSM2544310_DKD","DKD",3.155,4.64,6.047
"GSE96804","GSM2544311_DKD","DKD",3.077,4.581,6.079
"GSE96804","GSM2544312_DKD","DKD",3.052,4.554,6.058
"GSE96804","GSM2544313_DKD","DKD",3.127,4.63,6.068
"GSE96804","GSM2544314_DKD","DKD",3.129,4.644,6.075
"GSE96804","GSM2544315_DKD","DKD",3.096,4.59,6.07
"GSE96804","GSM2544316_Control","Control",3.062,4.56,6.074
"GSE96804","GSM2544317_Control","Control",3.051,4.532,6.079
"GSE96804","GSM2544318_Control","Control",3.023,4.498,6.076
"GSE96804","GSM2544319_Control","Control",3.054,4.553,6.079
"GSE96804","GSM2544320_Control","Control",3.094,4.572,6.073
"GSE96804","GSM2544321_Control","Control",3.068,4.527,6.07
"GSE96804","GSM2544322_Control","Control",3.079,4.531,6.06
"GSE96804","GSM2544323_Control","Control",3.023,4.511,6.084
"GSE96804","GSM2544324_Control","Control",3.016,4.498,6.074
"GSE96804","GSM2544325_Control","Control",3.087,4.605,6.104
"GSE96804","GSM2544326_Control","Control",3.034,4.533,6.072
"GSE96804","GSM2544327_Control","Control",3.118,4.607,6.075
"GSE96804","GSM2544328_Control","Control",3.053,4.573,6.098
"GSE96804","GSM2544329_Control","Control",3.067,4.514,6.07
"GSE96804","GSM2544330_Control","Control",3.061,4.532,6.06
"GSE96804","GSM2544331_Control","Control",3.003,4.497,6.092
"GSE96804","GSM2544332_Control","Control",3.017,4.504,6.071
"GSE96804","GSM2544333_Control","Control",3.019,4.563,6.095
"GSE96804","GSM2544334_Control","Control",3.018,4.525,6.09
"GSE96804","GSM2544335_Control","Control",3.085,4.558,6.079
"GSE30529","GSM757014_DKD","DKD",5.28,6.57,8.004
"GSE30529","GSM757015_DKD","DKD",5.368,6.582,7.923
"GSE30529","GSM757016_DKD","DKD",5.191,6.542,8.116
"GSE30529","GSM757017_DKD","DKD",5.176,6.525,8.091
"GSE30529","GSM757018_DKD","DKD",5.293,6.516,7.93
"GSE30529","GSM757019_DKD","DKD",5.27,6.584,7.944
"GSE30529","GSM757020_DKD","DKD",5.148,6.564,8.19
"GSE30529","GSM757021_DKD","DKD",5.128,6.523,8.129
"GSE30529","GSM757022_DKD","DKD",5.255,6.525,7.884
"GSE30529","GSM757023_DKD","DKD",5.135,6.537,8.126
"GSE30529","GSM757024_Control","Control",5.295,6.531,8.026
"GSE30529","GSM757025_Control","Control",5.446,6.563,7.835
"GSE30529","GSM757026_Control","Control",5.32,6.463,7.865
"GSE30529","GSM757027_Control","Control",5.499,6.468,7.485
"GSE30529","GSM757028_Control","Control",5.343,6.512,7.891
"GSE30529","GSM757029_Control","Control",5.235,6.52,8.053
"GSE30529","GSM757030_Control","Control",5.281,6.503,7.973
"GSE30529","GSM757031_Control","Control",5.279,6.494,7.991
"GSE30529","GSM757032_Control","Control",5.225,6.505,8.009
"GSE30529","GSM757033_Control","Control",5.309,6.523,7.902
"GSE30529","GSM757034_Control","Control",5.409,6.541,7.819
"GSE30529","GSM757035_Control","Control",5.215,6.519,8.038
"GSE104948","GSM2810645_DKD","DKD",5.032,6.211,7.715
"GSE104948","GSM2810646_DKD","DKD",5.055,6.268,7.713
"GSE104948","GSM2810647_DKD","DKD",5.054,6.227,7.7
"GSE104948","GSM2810648_DKD","DKD",5.243,6.343,7.59
"GSE104948","GSM2810649_DKD","DKD",5.072,6.275,7.716
"GSE104948","GSM2810714_Control","Control",4.914,6.199,7.841
"GSE104948","GSM2810715_Control","Control",4.89,6.159,7.841
"GSE104948","GSM2810716_Control","Control",4.93,6.191,7.86
"GSE104948","GSM2810770_DKD","DKD",5.971,7.814,9.396
"GSE104948","GSM2810771_DKD","DKD",6.003,7.983,9.66
"GSE104948","GSM2810772_DKD","DKD",5.858,7.861,9.605
"GSE104948","GSM2810773_DKD","DKD",6.002,7.898,9.612
"GSE104948","GSM2810774_DKD","DKD",6.026,7.804,9.337
"GSE104948","GSM2810775_DKD","DKD",5.891,7.849,9.58
"GSE104948","GSM2810776_DKD","DKD",6.026,7.799,9.329
"GSE104948","GSM2810793_Control","Control",5.921,7.875,9.606
"GSE104948","GSM2810794_Control","Control",5.839,7.855,9.549
"GSE104948","GSM2810795_Control","Control",5.936,7.708,9.329
"GSE104948","GSM2810796_Control","Control",5.909,7.716,9.355
"GSE104948","GSM2810797_Control","Control",5.878,7.71,9.344
"GSE104948","GSM2810798_Control","Control",5.945,7.837,9.523
"GSE104948","GSM2810799_Control","Control",5.888,7.644,9.268
"GSE104948","GSM2810800_Control","Control",5.943,7.852,9.558
"GSE104948","GSM2810801_Control","Control",5.961,7.768,9.454
"GSE104948","GSM2810802_Control","Control",5.874,7.848,9.573
"GSE104948","GSM2810803_Control","Control",5.931,7.625,9.244
"GSE104948","GSM2810804_Control","Control",5.955,7.643,9.296
"GSE104948","GSM2810805_Control","Control",5.915,7.672,9.324
