"set","sample","group","median_preComBat","median_postComBat"
"data.train.paper","GSE96804_GSM2544275_DKD","DKD",4.632,4.632
"data.train.paper","GSE96804_GSM2544276_DKD","DKD",4.522,4.522
"data.train.paper","GSE96804_GSM2544277_DKD","DKD",4.556,4.556
"data.train.paper","GSE96804_GSM2544278_DKD","DKD",4.543,4.543
"data.train.paper","GSE96804_GSM2544279_DKD","DKD",4.58,4.58
"data.train.paper","GSE96804_GSM2544280_DKD","DKD",4.575,4.575
"data.train.paper","GSE96804_GSM2544281_DKD","DKD",4.577,4.577
"data.train.paper","GSE96804_GSM2544282_DKD","DKD",4.627,4.627
"data.train.paper","GSE96804_GSM2544283_DKD","DKD",4.637,4.637
"data.train.paper","GSE96804_GSM2544284_DKD","DKD",4.534,4.534
"data.train.paper","GSE96804_GSM2544285_DKD","DKD",4.615,4.615
"data.train.paper","GSE96804_GSM2544286_DKD","DKD",4.6,4.6
"data.train.paper","GSE96804_GSM2544287_DKD","DKD",4.631,4.631
"data.train.paper","GSE96804_GSM2544288_DKD","DKD",4.561,4.561
"data.train.paper","GSE96804_GSM2544289_DKD","DKD",4.617,4.617
"data.train.paper","GSE96804_GSM2544290_DKD","DKD",4.566,4.566
"data.train.paper","GSE96804_GSM2544291_DKD","DKD",4.556,4.556
"data.train.paper","GSE96804_GSM2544292_DKD","DKD",4.617,4.617
"data.train.paper","GSE96804_GSM2544293_DKD","DKD",4.659,4.659
"data.train.paper","GSE96804_GSM2544294_DKD","DKD",4.63,4.63
"data.train.paper","GSE96804_GSM2544295_DKD","DKD",4.593,4.593
"data.train.paper","GSE96804_GSM2544296_DKD","DKD",4.695,4.695
"data.train.paper","GSE96804_GSM2544297_DKD","DKD",4.606,4.606
"data.train.paper","GSE96804_GSM2544298_DKD","DKD",4.594,4.594
"data.train.paper","GSE96804_GSM2544299_DKD","DKD",4.696,4.696
"data.train.paper","GSE96804_GSM2544300_DKD","DKD",4.54,4.54
"data.train.paper","GSE96804_GSM2544301_DKD","DKD",4.693,4.693
"data.train.paper","GSE96804_GSM2544302_DKD","DKD",4.554,4.554
"data.train.paper","GSE96804_GSM2544303_DKD","DKD",4.626,4.626
"data.train.paper","GSE96804_GSM2544304_DKD","DKD",4.596,4.596
"data.train.paper","GSE96804_GSM2544305_DKD","DKD",4.583,4.583
"data.train.paper","GSE96804_GSM2544306_DKD","DKD",4.646,4.646
"data.train.paper","GSE96804_GSM2544307_DKD","DKD",4.601,4.601
"data.train.paper","GSE96804_GSM2544308_DKD","DKD",4.674,4.674
