"gene","inIntersect","AUC_train","AUC_test"
"ALDH2",TRUE,0.850697292863002,0.695906432748538
"CA2",TRUE,0.933141919606235,0.743664717348928
"CD83",TRUE,0.687448728465956,0.859649122807018
"FN1",TRUE,0.84208367514356,0.949805068226121
"GMIP",TRUE,0.634536505332239,0.754385964912281
"IL12RB1",TRUE,0.772764561115669,0.732943469785575
"NET1",TRUE,0.518047579983593,0.738791423001949
"SP140L",TRUE,0.688269073010665,0.66812865497076
"TPP1",TRUE,0.732977850697293,0.713450292397661
"TRAF3IP3",TRUE,0.747333880229696,0.611111111111111
"XYLT1",TRUE,0.669401148482363,0.766081871345029
"ZFAND5",TRUE,0.837981952420016,0.868421052631579
