ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60	-0.783408171068736	-3.55265347231871	1e-10	4.6e-09	2.31416047123799e-09	105	tags=70%, list=16%, signal=65%	PDE4B/HES1/BCL2A1/BHLHE40/KLF10/BIRC3/PHLDA2/PPP1R15A/KLF4/ZC3H12A/IER2/PLAUR/GEM/CXCL1/PTGS2/KLF6/DUSP5/CXCL3/SERPINE1/TNFSF9/CD69/GADD45B/IL1B/BTG2/MAFF/SOCS3/JUN/CXCL2/SLC2A3/ZFP36/JUNB/EGR2/DUSP2/EGR3/DUSP1/NR4A3/ATF3/NR4A2/NR4A1/EGR1/FOS/FOSB	NA
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	15	0.745219278029023	2.84207707358655	1.54026659498626e-07	2.26466458249343e-06	1.13930375161282e-06	32	tags=60%, list=5%, signal=58%	MYH7/MYL2/TNNT1/ACTA1/MB/DES/CKM/CFD/SLN	0.690132458796796
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	20	-0.748943459967046	-2.62361110916219	1.96927354999429e-07	2.26466458249343e-06	1.13930375161282e-06	100	tags=70%, list=15%, signal=61%	BHLHE40/PPP1R15A/CXCR4/PLAUR/EDN2/KLF6/SERPINE1/MAFF/JUN/SLC2A3/ZFP36/DUSP1/ATF3/FOS	0.690132458796796
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	9	-0.9063766034686	-2.46902669900444	1.76813474278164e-08	4.06670990839777e-07	2.04587376478391e-07	30	tags=78%, list=4%, signal=75%	BTG2/CXCL2/JUNB/ATF3/NR4A1/FOS/FOSB	0.73376198835648
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	16	-0.70403428390671	-2.32536146605457	4.53101992339847e-05	0.00041500186544896	0.000208778459241741	92	tags=56%, list=14%, signal=50%	PPP1R15A/KLF4/ZFP36L1/TNFSF9/RGS16/BTG2/JUN/ATF3/FOS	0.557332238758646
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	29	-0.588992800103605	-2.22521372137565	5.41306781020383e-05	0.00041500186544896	0.000208778459241741	140	tags=59%, list=21%, signal=48%	CSF3R/C5AR1/FPR1/PDE4B/LAMP3/PLAUR/KLF6/SERPINE1/TNFSF9/CD69/RGS16/IL1B/CXCL8/PROK2/BTG2/OSM/RGS1	0.557332238758646
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	15	-0.683506681059727	-2.13505313915701	0.000595956917078235	0.0039162883122284	0.00197019991437616	47	tags=47%, list=7%, signal=44%	CD69/GADD45B/IL1B/BTG2/JUN/EGR3/ATF3	0.477270815362862
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	20	-0.543382272758105	-1.90351320698187	0.00682351682581548	0.0286440364059121	0.014410194953753	124	tags=50%, list=18%, signal=42%	RHOB/BHLHE40/NFKBIZ/KLF6/RGS16/GADD45B/ICOS/CTLA4/MAFF/SLC2A3	0.407017918923954
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	8	-0.727364225963363	-1.89302744475388	0.0026804078134911	0.0154123449275738	0.00775361726097318	66	tags=62%, list=10%, signal=57%	CXCL1/CXCL3/IL1B/SOCS3/JUN	0.431707695803346
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	16	-0.571685218276528	-1.88822449088202	0.00918882609312871	0.0325143077141478	0.0163572447090759	162	tags=62%, list=24%, signal=49%	MYBL1/CISH/GJA1/HES1/BHLHE40/KLF10/KLF4/ELF3/EGR3/FOS	0.380730400722792
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	14	-0.618022281876175	-1.86074397623964	0.00409293842634932	0.0209194630680076	0.0105241292416318	18	tags=29%, list=3%, signal=28%	ZFP36/DUSP2/EGR3/FOS	0.407017918923954
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	17	-0.565234933026436	-1.86043975923031	0.00765326220320911	0.0293375051123016	0.0147590640555719	117	tags=59%, list=17%, signal=50%	NR0B2/BIRC3/PPP1R15A/KLF4/SOX9/CXCR4/PLAUR/PTGS2/RGS16/IL1B	0.407017918923954
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	12	-0.62262550045303	-1.82350248759948	0.00684966087967464	0.0286440364059121	0.014410194953753	234	tags=92%, list=35%, signal=61%	PIM1/DUSP6/OLR1/CD55/FCN1/S100A9/PLAUR/CXCL1/DUSP5/SERPINE1/MAFF	0.407017918923954
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	5	-0.753717576346395	-1.67367318851783	0.0172564755800523	0.0566998483344577	0.028524466900172	99	tags=80%, list=15%, signal=69%	KLF10/PPP1R15A/SERPINE1/JUNB	0.352487857583619
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	14	-0.548313586590628	-1.65086475562265	0.0210679917214402	0.0646085079457499	0.0325031424334174	72	tags=50%, list=11%, signal=46%	PLAUR/GEM/CXCL1/SERPINE1/GADD45B/CXCL8/JUN	0.352487857583619
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	7	0.570876902773097	1.65082063009708	0.0364829060496182	0.104888354892652	0.0527670619099473	17	tags=29%, list=3%, signal=28%	ADIPOQ/FABP4	0.321775918075361
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	10	-0.550327855804269	-1.54606998634461	0.0653495440729483	0.153333333333333	0.0771386823745997	234	tags=80%, list=35%, signal=53%	PIM1/NAMPT/CD86/FPR1/PDE4B/PTGS2/CD69/SOCS3	0.216542836735348
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	6	-0.621952071397636	-1.52421698008327	0.0534223706176962	0.144554649906707	0.0727223166842931	150	tags=67%, list=22%, signal=52%	GJA1/BHLHE40/SERPINE1/DUSP1	0.252961123069611
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	12	-0.502924287275544	-1.47292985631631	0.0856697819314642	0.18765761756416	0.0944064871073205	100	tags=42%, list=15%, signal=36%	BHLHE40/PPP1R15A/CXCR4/BTG2/SLC2A3	0.190023305279108
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3	-0.77182902212694	-1.46176431256569	0.0666666666666667	0.153333333333333	0.0771386823745997	8	tags=33%, list=1%, signal=33%	ATF3	0.227987202850442
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	5	-0.631275805323207	-1.40178420019209	0.120338983050847	0.251617873651772	0.126583508056932	72	tags=40%, list=11%, signal=36%	PLAUR/ATF3	0.165656695205483
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	6	-0.556390977443609	-1.36354650846155	0.151919866444073	0.303839732888147	0.152855195530709	302	tags=100%, list=45%, signal=55%	NUSAP1/WASF1/SMC4/KIF20B/SMC3/CENPF	0.144630528034484
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	9	-0.491113374679769	-1.33782362616394	0.167464114832536	0.309667318982387	0.155786928005062	69	tags=44%, list=10%, signal=40%	EDN2/BTG2/AKR1B10/NR4A2	0.133554954557592
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	-0.977611940298508	-1.31385397165017	0.0652295669281758	0.153333333333333	0.0771386823745997	17	tags=100%, list=3%, signal=98%	JUNB	0.287805130535564
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	6	-0.515508640533214	-1.2633562285831	0.208681135225376	0.342833293584546	0.172472012225584	83	tags=50%, list=12%, signal=44%	ELF3/SOX9/CXCR4	0.120985142145252
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	2	-0.780009837368959	-1.25206402087458	0.188323917137476	0.320848155123108	0.161411764751203	15	tags=50%, list=2%, signal=49%	DUSP2	0.137250779610133
HALLMARK_COAGULATION	HALLMARK_COAGULATION	7	-0.498965313065356	-1.23973339280279	0.250414593698176	0.397209355521244	0.199827432468083	232	tags=86%, list=35%, signal=57%	DUSP6/CFI/OLR1/THBD/SERPINE1/MAFF	0.108394255853397
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	1	-0.895522388059702	-1.20353035571008	0.168297455968689	0.309667318982387	0.155786928005062	72	tags=100%, list=11%, signal=89%	PLAUR	0.149207542435322
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	-0.88955223880597	-1.19550682000535	0.183953033268102	0.320848155123108	0.161411764751203	76	tags=100%, list=11%, signal=89%	CXCR4	0.142056643575821
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	6	0.420358143069139	1.10887642649839	0.339950372208437	0.52125723738627	0.262233237849135	90	tags=33%, list=13%, signal=29%	ACTA1/COL17A1	0.114750719227023
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	4	-0.490317285206468	-1.02439616858483	0.443649373881932	0.658318425760286	0.331185756170017	30	tags=25%, list=4%, signal=24%	BTG2	0.0795564677235957
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3	-0.524723993045702	-0.993772953584308	0.48034188034188	0.684255490225639	0.34423413211038	49	tags=33%, list=7%, signal=31%	PDK4	0.0730744399126987
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	7	-0.391368888792997	-0.972398416555356	0.490878938640133	0.684255490225639	0.34423413211038	53	tags=29%, list=8%, signal=27%	SERPINE1/PDK4	0.0704500850658419
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	8	0.313725490196078	0.957262847158829	0.524296675191816	0.698287758752875	0.351293462794625	463	tags=100%, list=69%, signal=31%	CDC20/RPS2/PTGES3/SSB/DEK/IFRD1/HNRNPA1/HSPE1	0.0899860794997137
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	4	-0.449775112443778	-0.939693369606993	0.531305903398927	0.698287758752875	0.351293462794625	372	tags=100%, list=55%, signal=45%	GBP2/SAMD9/SELL/LAMP3	0.0702812841717392
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	5	0.355855855855856	0.89170677491606	0.628640776699029	0.803263214670982	0.404104343345901	434	tags=100%, list=65%, signal=36%	SCD/SLC38A2/DNAJB9/HPGD/ADAMTS1	0.077274697304471
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	5	-0.374043949122119	-0.830586082399262	0.649152542372881	0.804281891168599	0.404616817451067	283	tags=80%, list=42%, signal=47%	DEK/SMC4/WEE1/SMC3	0.0579754757571486
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	2	-0.514024605593387	-0.825107176441025	0.71939736346516	0.819543315050375	0.412294509599331	103	tags=50%, list=15%, signal=42%	HES1	0.0580983576873206
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	5	-0.368190607133339	-0.817588400167497	0.664406779661017	0.804281891168599	0.404616817451067	117	tags=40%, list=17%, signal=33%	NR0B2/CH25H	0.0568864160475701
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	3	-0.420658682634731	-0.79668402252075	0.714529914529915	0.819543315050375	0.412294509599331	391	tags=100%, list=58%, signal=42%	CA4/VNN1/HPGD	0.0538979025357319
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	9	-0.284292718579095	-0.774431190984131	0.730462519936204	0.819543315050375	0.412294509599331	314	tags=67%, list=47%, signal=36%	TLR2/GLMN/IL18/CD86/KLRD1/IL1B	0.0496901392724606
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	3	-0.380311966362507	-0.720271516272378	0.811965811965812	0.873672591633997	0.439525777470315	200	tags=67%, list=30%, signal=47%	OLR1/THBD	0.0480220415968251
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	1	0.532835820895522	0.704740571833744	0.938900203665988	0.959764652636343	0.482836830613584	314	tags=100%, list=47%, signal=53%	GFI1	0.0493910105981501
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	8	-0.266416622094722	-0.69337198526084	0.816693944353519	0.873672591633997	0.439525777470315	319	tags=75%, list=48%, signal=40%	SQLE/NUSAP1/SMC4/KIF20B/ARID4A/CENPF	0.04577044581081
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	1	0.52089552238806	0.688948066022344	0.965376782077393	0.965376782077393	0.485660171507486	322	tags=100%, list=48%, signal=52%	GOLGA4	0.0481183992657975
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	4	-0.272863568215892	-0.570080644228242	0.928443649373882	0.959764652636343	0.482836830613584	490	tags=100%, list=73%, signal=27%	SURF1/NT5C3A/UPF3B/PDE4B	0.0439759278026345
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
