"Comparison","ID","NES","pvalue","p.adjust"
"Early_vs_Control","HALLMARK_INFLAMMATORY_RESPONSE",-2.75870564966002,1e-10,1.25e-09
"Early_vs_Control","HALLMARK_APOPTOSIS",-2.50520319894063,1e-10,1.25e-09
"Early_vs_Control","HALLMARK_TGF_BETA_SIGNALING",-1.87355384261662,0.00166057134655894,0.00415142836639735
"Early_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.55644154955075,0.00236317218484082,0.00537084587463824
"Early_vs_Control","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.55463100926849,0.00103778935169333,0.00288274819914814
"Early_vs_Control","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-1.1085604458712,0.302281368821293,0.368635815635723
"Late_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.5239279970816,1e-10,1e-09
"Late_vs_Control","HALLMARK_INFLAMMATORY_RESPONSE",2.16913740439691,1e-10,1e-09
"Late_vs_Control","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-1.61660025721979,0.000128132114708013,0.000457614695385759
"Late_vs_Control","HALLMARK_APOPTOSIS",1.5431511682622,0.00310628008070621,0.00675278278414394
"Late_vs_Control","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.69718558038578,0.927797833935018,0.992323534918555
"Late_vs_Control","HALLMARK_TGF_BETA_SIGNALING",-0.502833089845031,0.997706422018349,0.997706422018349
"Late_vs_Early","HALLMARK_INFLAMMATORY_RESPONSE",2.73986540352893,1e-10,5e-10
"Late_vs_Early","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.58782975906364,1e-10,5e-10
"Late_vs_Early","HALLMARK_APOPTOSIS",2.22112006275571,1e-10,5e-10
"Late_vs_Early","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-2.02202628301293,1.84704208959583e-09,7.6960087066493e-09
"Late_vs_Early","HALLMARK_TGF_BETA_SIGNALING",1.47259167759038,0.0434083601286174,0.0657702426191172
"Late_vs_Early","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.21801122364496,0.162479061976549,0.21956629996831
