ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	17	-0.765137314011254	-2.48833660168195	5.10763053551558e-07	6.33346186403932e-05	3.14649940748025e-05	82	tags=71%, list=12%, signal=64%	CXCR1/CXCR2/CXCR4/CXCL1/CCL8/CXCL3/TNFSF9/IL1B/CXCL8/OSM/CXCL2/CCL3	0.659444398037935
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	20	-0.681778555332524	-2.3367991233289	2.80822100349587e-05	0.000580365674055813	0.000288328924802878	59	tags=45%, list=9%, signal=42%	DUSP5/GADD45B/IL1B/HSPA1B/JUN/DUSP2/DUSP1/NR4A1/FOS	0.575610261071129
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	11	-0.825169353441419	-2.33641830466097	1.62364062477868e-06	0.000100665718736278	5.00112941637356e-05	82	tags=82%, list=12%, signal=73%	CXCR1/CXCR2/CXCR4/CXCL1/CCL8/CXCL3/CXCL8/CXCL2/CCL3	0.643551836150722
KEGG_RIBOSOME	KEGG_RIBOSOME	14	0.595129375951294	2.17967579767317	0.000679157169418974	0.00765595354617753	0.00380352069908577	280	tags=100%, list=42%, signal=60%	RPL35/RPL9/RPSA/RPL32/RPL37A/RPS16/RPS29/RPS9/RPL8/RPS2/RPL30/RPL13/RPL35A/RPL36	0.477270815362862
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	7	-0.870537583630725	-2.17826141690159	1.22986159653585e-05	0.000381257094926114	0.000189410664978342	39	tags=71%, list=6%, signal=68%	IL1B/CXCL8/JUN/CCL3/FOS	0.593325476396405
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	8	-0.802770277975968	-2.06522331331093	0.000257943614441563	0.00348258789693609	0.00173016921700048	62	tags=62%, list=9%, signal=57%	PTGS2/FCGR3B/IL1B/JUN/FOS	0.49849310876659
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	4	0.894124422653033	2.03633280769486	0.000280853862656136	0.00348258789693609	0.00173016921700048	16	tags=75%, list=2%, signal=74%	MYH7/MYL2/DES	0.49849310876659
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	4	-0.955022488755622	-1.98673671756638	7.29886824200608e-06	0.000301686554002918	0.000149879573571716	35	tags=100%, list=5%, signal=95%	ICOS/CTLA4/JUN/FOS	0.610526878385931
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	5	-0.885885885885886	-1.98172860714905	0.000201197382067528	0.00311855942204668	0.00154931782717069	82	tags=100%, list=12%, signal=88%	CXCR1/CXCR2/CXCL1/CXCL8/JUN	0.518848077743792
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	3	0.980538922155689	1.92782924024242	2.34348812921469e-05	0.000580365674055813	0.000288328924802878	16	tags=100%, list=2%, signal=98%	MYH7/MYL2/DES	0.575610261071129
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	8	-0.747901879557199	-1.92406774404375	0.00179988997651823	0.0171681813144816	0.00852924885207683	97	tags=75%, list=14%, signal=65%	BIRC3/CXCL1/CCL8/IL1B/CXCL8/CXCL2	0.45505986738723
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	6	0.726508770291387	1.91253571505498	0.00337596026405832	0.0279079381828821	0.0138648203528346	17	tags=50%, list=3%, signal=49%	ADIPOQ/PLIN1/FABP4	0.431707695803346
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	3	0.918785579142041	1.8064165174484	0.00104827855919892	0.0108322117783888	0.0053815036190434	5	tags=67%, list=1%, signal=66%	MYH7/MYL2	0.45505986738723
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION	2	0.995515695067265	1.77281947755734	8.21890668659927e-05	0.00145592061305473	0.000723309533499472	5	tags=100%, list=1%, signal=100%	MYH7/MYL2	0.538434096309916
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	4	-0.81721581366322	-1.70005699582647	0.00539677098374373	0.040462220223527	0.0201018581451543	23	tags=50%, list=3%, signal=49%	JUN/FOS	0.407017918923954
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	3	-0.878389179907768	-1.66877425756001	0.00554723986935451	0.040462220223527	0.0201018581451543	23	tags=67%, list=3%, signal=65%	JUN/FOS	0.407017918923954
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	14	-0.513985677118688	-1.60606261724585	0.0436681222707424	0.270742358078603	0.134506323328647	97	tags=36%, list=14%, signal=31%	BIRC3/PTGS2/CXCL8/JUN/FOS	0.261663521711573
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	7	0.56583641136073	1.60482860728115	0.0272405256614304	0.18765695455652	0.0932290284519148	84	tags=43%, list=13%, signal=38%	MYL2/MYLK2/RAC3	0.352487857583619
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	2	-0.946188340807175	-1.57862285053536	0.00209457937101207	0.0185519887146783	0.00921673213661482	39	tags=100%, list=6%, signal=94%	IL1B/EGR1	0.431707695803346
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	5	-0.687182792253263	-1.53722936491651	0.0469314079422383	0.277118789754169	0.137674170379709	152	tags=80%, list=23%, signal=62%	CISH/CSF3R/SOCS3/OSM	0.282013350011725
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	2	0.847533632286996	1.50929225792044	0.0554323725055432	0.294583465315173	0.146350719237853	104	tags=100%, list=15%, signal=85%	B3GALT5/FUT7	0.287857117255149
