ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_RIBOSOME	KEGG_RIBOSOME	71	0.581000069124051	3.30316494146718	1e-10	9.15e-09	5.81939999136787e-09	1562	tags=94%, list=39%, signal=59%	RPS8/RPS2/RPS19/RPLP0/RPSA/RPS3/RPL32/RPS12/RPL31/RPS15A/RPS4X/RPL13/RPL10/RPL35/RPL34/RPS27/RPL35A/RPL13A/RPL10A/RPL37A/RPS16/RPL18A/RPL23/RPL37/RPL7A/RPL18/RPS6/RPL3/RPS3A/RPL30/RPLP2/RPS11/RPL27A/RPL28/RPL19/RPS9/RPL36/RPL12/RPL41/RPL23A/RPL8/RPS5/RPS21/RPS29/RPS25/RPL26/RPL39/RPS20/FAU/RPL9/RPS7/RPL11/RPL38/RPS13/RPL6/RPL27/RPL4/RPL15/RPL29/RPS23/RPS24/UBA52/RPL5/RPLP1/RPS27A/RPL24/RPS15	NA
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	84	0.517692704736034	3.03194559168428	1e-10	9.15e-09	5.81939999136787e-09	1057	tags=64%, list=26%, signal=48%	CCL19/CCL21/CXCL6/CCR2/IL7R/TNFRSF13B/CCL18/TNFSF14/TNFRSF18/GDF5/IL2RG/IL2RB/CCL22/XCL2/CCR7/CCR5/CCR4/IL24/INHBA/CXCR3/IL10RA/CCL13/CSF2RB/CXCR5/CCL5/CD40LG/CD27/TNFRSF13C/FASLG/IL12RB1/IL2RA/CD70/CSF1R/PDGFRA/TNFRSF4/TNFSF8/TNFRSF11A/CCL11/XCR1/TNFRSF12A/CXCL1/IL21R/CCR6/IFNAR2/RELT/OSMR/TNFRSF9/FLT3/IL7/CCL28/CX3CR1/TNFSF13B/TNFRSF1B/HGF	NA
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	21	0.745103812761728	2.95805374579478	6.77921987806231e-10	3.10149309421351e-08	1.97254960499383e-08	425	tags=71%, list=11%, signal=64%	CD79A/CD3D/LCK/IL7R/TNFRSF13B/CD3E/IL2RG/CD19/BTK/JAK3/CD8A/PTPRC/ZAP70/CD40LG/TNFRSF13C	0.801215574617779
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	58	0.544215770070758	2.9379199984703	4.67763921968629e-10	2.85335992400864e-08	1.81473690897763e-08	619	tags=50%, list=15%, signal=43%	CCL19/CCL21/CXCL6/CCR2/CCL18/CCL22/XCL2/CCR7/RAC2/CCR5/PRKCB/DOCK2/CCR4/ITK/CXCR3/PLCB2/PIK3R5/JAK3/VAV1/CCL13/CXCR5/CCL5/ADCY7/PIK3CG/HCK/NCF1/CCL11/XCR1/CXCL1	0.801215574617779
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	22	0.691799603395381	2.82541194341446	5.77874840477248e-08	2.11502191614673e-06	1.345153936674e-06	1018	tags=86%, list=25%, signal=65%	CTSG/C3/C1S/FCGR2B/C1QA/C1R/C1QC/CD28/C1QB/CD40LG/GRIN2A/FCGR2C/CD80/FCGR1A/C7/CD86/FCGR3A/C6/ACTN1	0.719512826338911
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	13	-0.743687686170018	-2.78377071508115	1.17229768180941e-06	2.68163094713903e-05	1.70551727985056e-05	554	tags=77%, list=14%, signal=67%	OR51B5/CAMK2B/OR2T11/CAMK2A/OR2T10/OR2G6/OR2T2/CALML3/OR2T34/OR2T3	0.643551836150722
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	34	0.578742583312409	2.69017460214978	5.44029312576569e-07	1.4222480600216e-05	9.04549764831986e-06	1119	tags=76%, list=28%, signal=56%	CD48/LCK/RAC2/CD244/PRKCB/ITGAL/CD247/TYROBP/PIK3R5/SH2D1A/VAV1/HCST/ZAP70/GZMB/PIK3CG/FASLG/LCP2/ITGB2/FCER1G/FCGR3A/IFNAR2/NFATC2/NFATC4/PRF1/HLA-B/PTPN6	0.659444398037935
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	42	0.533882857840548	2.6181784200247	3.13071156815048e-07	9.54867028285896e-06	6.07295429089006e-06	680	tags=55%, list=17%, signal=46%	CD1C/CD3D/FCER2/CD1E/MS4A1/CD2/IL7R/CD7/CD3E/CD19/CD3G/CD1D/CD8A/CD33/IL2RA/CSF1R/ITGAM/CD22/CD4/CD5/ITGA4/FCGR1A/CD44	0.674962860011025
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	20	0.620063923964567	2.42546754262991	2.20977846632895e-05	0.000404389459338197	0.000257191695757591	742	tags=65%, list=18%, signal=53%	PLA2G2A/FCER1A/RAC2/MS4A2/BTK/PRKCB/PIK3R5/VAV1/PIK3CG/PLA2G2D/LCP2/FCER1G/INPP5D	0.575610261071129
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	33	0.517801012608916	2.40383893603958	2.85980622553015e-05	0.000475767762974562	0.000302588296802981	698	tags=52%, list=17%, signal=43%	RHOH/MMP9/RAC2/PRKCB/ITGAL/ITK/PIK3R5/VAV1/NCF4/CYBB/NCF2/PIK3CG/NCF1/ITGAM/ITGB2/ITGA4/MMP2	0.575610261071129
