"pathway","p","meanDKD","meanCtrl","padj","deltaDKD"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",6.25336047598963e-14,0.302599127499055,0.317069130246784,1.16312504853407e-11,-0.0144700027477292
"KEGG_OLFACTORY_TRANSDUCTION",9.089820650868e-12,-0.376453327506802,-0.358410232595749,6.96841140188412e-10,-0.0180430949110528
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",1.12393732288454e-11,0.320446570372893,0.346936599004125,6.96841140188412e-10,-0.0264900286312316
"KEGG_GLYCEROLIPID_METABOLISM",2.72692054044819e-10,0.214051139098084,0.234684658050018,1.01441444104673e-08,-0.0206335189519346
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",2.72692054044819e-10,0.280120365134549,0.293210269874527,1.01441444104673e-08,-0.0130899047399773
"KEGG_NITROGEN_METABOLISM",4.48300847042476e-10,0.0980993846258559,0.123484589095849,1.38973262583167e-08,-0.0253852044699927
"KEGG_ENDOCYTOSIS",8.49079682004109e-10,0.418611204378433,0.427078606545446,2.25612601218235e-08,-0.00846740216701319
"KEGG_INSULIN_SIGNALING_PATHWAY",1.34813761294701e-09,0.39466930913507,0.402840826576407,3.13441995010179e-08,-0.00817151744133648
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",1.82124602202546e-09,0.299405687375964,0.32778425706757,3.76390844551928e-08,-0.0283785696916062
"KEGG_THYROID_CANCER",1.67883564635601e-08,0.48016183184361,0.467760293825237,3.12263430222218e-07,0.012401538018374
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",1.9102414431811e-08,0.297815766300349,0.348681939182907,3.23004462210622e-07,-0.0508661728825581
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",3.16982255674085e-08,0.362650935902799,0.403085329661186,4.91322496294832e-07,-0.040434393758387
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",5.842809690989e-08,0.324866486037294,0.338576829494399,8.35971232710734e-07,-0.0137103434571053
"KEGG_TYPE_II_DIABETES_MELLITUS",7.41489951196441e-08,0.225498136499283,0.236467051600839,9.85122363732415e-07,-0.0109689151015555
"KEGG_ECM_RECEPTOR_INTERACTION",8.34218262975173e-08,0.289519851094026,0.249359559524677,1.03443064608921e-06,0.0401602915693491
"KEGG_PEROXISOME",1.18194801952732e-07,0.379318083078397,0.415454138572293,1.37401457270051e-06,-0.0361360554938954
"KEGG_ARGININE_AND_PROLINE_METABOLISM",1.48487039909087e-07,0.369098874060568,0.402784752105743,1.6246229072406e-06,-0.0336858780451748
"KEGG_ETHER_LIPID_METABOLISM",1.662305962233e-07,0.175953946352086,0.190586846116495,1.7177161609741e-06,-0.0146328997644092
"KEGG_GLUTATHIONE_METABOLISM",2.32136012310479e-07,0.396219160230251,0.422566243583166,2.05606182332139e-06,-0.0263470833529153
"KEGG_OXIDATIVE_PHOSPHORYLATION",2.32136012310479e-07,0.497060378439377,0.512760981179884,2.05606182332139e-06,-0.0157006027405066
"KEGG_TGF_BETA_SIGNALING_PATHWAY",2.32136012310479e-07,0.350810876865074,0.338067298800071,2.05606182332139e-06,0.0127435780650025
"KEGG_HISTIDINE_METABOLISM",2.59072639312091e-07,0.288010298718269,0.330599668244754,2.19034140509313e-06,-0.0425893695264851
"KEGG_PARKINSONS_DISEASE",3.98954093471444e-07,0.517028461769899,0.52439409048951,3.22632440807342e-06,-0.00736562871961177
"KEGG_PYRUVATE_METABOLISM",4.43622603847713e-07,0.386116660915641,0.412956154546292,3.43807517981978e-06,-0.0268394936306511
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",4.92944067225554e-07,0.344578039770228,0.363208872290613,3.52644601938281e-06,-0.0186308325203851
"KEGG_TRYPTOPHAN_METABOLISM",4.92944067225554e-07,0.293597405250435,0.342566265839036,3.52644601938281e-06,-0.0489688605886013
"KEGG_LINOLEIC_ACID_METABOLISM",6.73512431202492e-07,-0.138770652448078,-0.114102743945255,4.63975230383939e-06,-0.0246679085028232
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",7.4634208719795e-07,0.29030634812924,0.328480601601085,4.95784386495781e-06,-0.038174253471845
"KEGG_LYSOSOME",9.14654064108113e-07,0.456018339057998,0.464569775301851,5.86640192841755e-06,-0.00855143624385302
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",1.11800049789529e-06,0.149157552508019,0.183502086163097,6.49837789401635e-06,-0.0343445336550779
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",1.11800049789529e-06,0.412100941268017,0.426710696635655,6.49837789401635e-06,-0.0146097553676373
"KEGG_FOLATE_BIOSYNTHESIS",1.11800049789529e-06,0.297412812909584,0.334032871945093,6.49837789401635e-06,-0.0366200590355093
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",1.65769845512783e-06,0.248544160383349,0.26605503728413,8.8094832186793e-06,-0.0175108769007817
"KEGG_CITRATE_CYCLE_TCA_CYCLE",1.65769845512783e-06,0.532391992864861,0.564453249187839,8.8094832186793e-06,-0.0320612563229781
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",1.65769845512783e-06,-0.0152500045581111,0.0216889840393244,8.8094832186793e-06,-0.0369389885974355
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",1.82641317635225e-06,0.28388580333283,0.300171999106728,9.18142840004105e-06,-0.0162861957738976
"KEGG_PYRIMIDINE_METABOLISM",1.82641317635225e-06,0.343063535144487,0.352943777041804,9.18142840004105e-06,-0.00988024189731718
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",2.01107780410899e-06,0.439542869524458,0.485117990394249,9.84369662011241e-06,-0.0455751208697916
"KEGG_BUTANOATE_METABOLISM",2.43393169487216e-06,0.293678523461653,0.337306269063794,1.13177823811556e-05,-0.0436277456021407
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",2.43393169487216e-06,0.533377497816867,0.578181669505817,1.13177823811556e-05,-0.0448041716889501
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",2.67524228652277e-06,0.248322231360288,0.275873389371015,1.18475015546009e-05,-0.0275511580107267
"KEGG_SELENOAMINO_ACID_METABOLISM",2.67524228652277e-06,0.329131202595771,0.349755562793426,1.18475015546009e-05,-0.0206243601976555
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",2.93876165872151e-06,0.248741565626186,0.273483882405925,1.27118527563303e-05,-0.0247423167797388
"KEGG_DILATED_CARDIOMYOPATHY",4.66071551086556e-06,0.266961778679495,0.254405425558712,1.88455018482825e-05,0.0125563531207831
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",4.66071551086556e-06,0.094048056815532,0.122246612961349,1.88455018482825e-05,-0.0281985561458165
"KEGG_TASTE_TRANSDUCTION",4.66071551086556e-06,-0.0250475214498917,-0.0398869789723436,1.88455018482825e-05,0.0148394575224519
"KEGG_ONE_CARBON_POOL_BY_FOLATE",6.10565462671574e-06,0.351843471118007,0.373762573809257,2.41628034163644e-05,-0.0219191026912503
"KEGG_FOCAL_ADHESION",7.29035915672322e-06,0.400555721563683,0.382753058321333,2.82501417323025e-05,0.0178026632423501
"KEGG_BETA_ALANINE_METABOLISM",8.68657872624783e-06,0.372352732767342,0.413951930127778,3.23140728616419e-05,-0.0415991973604357
"KEGG_PHENYLALANINE_METABOLISM",8.68657872624783e-06,0.308148731382159,0.343188574460038,3.23140728616419e-05,-0.0350398430778781
"KEGG_LYSINE_DEGRADATION",9.47457578579548e-06,0.458607448369942,0.483351311251448,3.45543352187835e-05,-0.0247438628815057
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",1.03287399177462e-05,0.394007669115349,0.384904734824141,3.6945108167323e-05,0.00910293429120851
"KEGG_ARACHIDONIC_ACID_METABOLISM",1.12541683417294e-05,0.170827932627726,0.195948452742559,3.94957605955032e-05,-0.0251205201148328
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",1.33409937426544e-05,0.348646026803296,0.384719600981056,4.59523117802539e-05,-0.0360735741777599
"KEGG_CARDIAC_MUSCLE_CONTRACTION",1.45144460604822e-05,0.318170014245015,0.324078616900539,4.90852175863581e-05,-0.00590860265552456
"KEGG_PROPANOATE_METABOLISM",1.71547189003842e-05,0.426211393537929,0.465403395432491,5.69781734905617e-05,-0.0391920018945621
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1.86362211298484e-05,0.16515172892025,0.184297915525588,6.08129321079262e-05,-0.019146186605338
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",2.02359099190155e-05,0.29345566337613,0.347287804422741,6.4894469740291e-05,-0.0538321410466103
"KEGG_ALZHEIMERS_DISEASE",2.38248953653945e-05,0.457472486316868,0.462165643395312,7.38571756327229e-05,-0.00469315707844403
"KEGG_PPAR_SIGNALING_PATHWAY",2.38248953653945e-05,0.281038985663664,0.312369625528194,7.38571756327229e-05,-0.0313306398645302
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",2.58331615999481e-05,0.130076353284955,0.165126913386264,7.87699681572187e-05,-0.0350505601013087
"KEGG_SULFUR_METABOLISM",2.79976201494219e-05,0.331549557290748,0.3488245570488,8.39928604482658e-05,-0.0172749997580521
