"gene","celltype","mean_expr","pct_expressing"
"ALDH2","PCT",1.533,75.9
"ALDH2","LOH",0.514,23.3
"ALDH2","Mono_Mac",0.509,44.9
"ALDH2","Mesangial",0.275,23.8
"ALDH2","Endothelial",0.213,18.6
"ALDH2","Mast",0.102,5.9
"ALDH2","Plasma",0.093,13.2
"ALDH2","B_cell",0.089,7
"ALDH2","NK",0.069,4.9
"ALDH2","Neutrophil",0.064,3.3
"FN1","Endothelial",1.713,73.8
"FN1","Mesangial",0.893,51.3
"FN1","Neutrophil",0.115,5
"FN1","LOH",0.063,2.3
"FN1","Mono_Mac",0.063,5.2
"FN1","PCT",0.032,2.4
"FN1","NK",0.029,1.8
"FN1","B_cell",0.024,1.8
"FN1","Plasma",0.023,1.1
"FN1","Mast",0.005,0.5
