"cluster","Podocyte","PCT","LOH","DCT","CD","Endothelial","Mesangial","Fibroblast","T_cell","NK","Mono_Mac","B_cell","Plasma","Mast","Neutrophil"
"0",0.02,0.72,0.776,0.642,0.194,0.075,0.094,0.03,4.71,5.07,0.041,0.084,0.093,0.041,0.037
"1",0.021,39.353,0.721,0.188,0.12,0.061,0.066,0.016,0.024,0.04,0.037,0.018,0.04,0.007,0.027
"2",1.585,1.328,1.211,0.554,0.041,8.194,0.436,0.543,0.078,0.125,0.168,0.052,0.091,0.048,0.038
"3",0.061,0.739,0.615,0.407,0.028,0.307,0.127,0.025,0.117,0.107,7.697,0.068,0.08,0.02,2.591
"4",0.107,3.713,2.993,0.36,0.211,0.046,0.19,0.102,0.065,0.102,0.039,0.021,0.042,0.01,0.086
"5",0.053,1.127,1.404,0.471,0.04,0.357,23.028,4.931,0.119,0.123,0.061,0.035,0.099,0.038,0.091
"6",0.035,2.809,13.396,1.619,0.199,0.254,0.275,0.144,0.169,0.131,0.137,0.034,0.258,0.023,0.3
"7",0.033,0.413,0.447,0.421,0.008,0.066,0.067,0.043,0.189,0.054,0.045,4.844,0.697,0.006,0.018
"8",0.009,0.374,0.433,0.362,0.042,0.055,0.06,0.04,0.074,0.034,0.043,0.013,0.1,32.647,0.018
"9",0.014,15.601,0.571,0.376,0.165,0.104,0.068,0.016,2.452,4.366,0.195,0.188,0.167,0.011,0.584
"10",0.028,1.324,1.257,0.621,0.037,0.201,0.106,0,0.083,0.033,6.907,0.036,0.087,0.033,0.201
"11",0.015,1.96,2.788,0.563,0.095,0.68,0.373,0.079,0.035,0.198,1.557,0.006,0.05,0,113.986
"12",0.015,0.427,0.297,0.129,0.173,0.241,0.064,0.042,0.069,0.023,0.028,0.451,138.287,0,0.006
"13",0.366,7.715,1.788,0.279,0.06,2.014,0.38,0.204,0.006,0.01,2.803,0.025,0.02,0,1.662
"14",0.05,0.26,0.187,0.277,0.043,0.366,0.065,0,0.035,5.977,0.135,0.12,3.266,0,0.016
