"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.03474668249277,0.402,0.014,0,"0","GZMM"
0,5.77418243271215,0.515,0.018,0,"0","CD3G"
0,5.73822127208291,0.654,0.025,0,"0","CD3D"
0,5.65624551880467,0.643,0.028,0,"0","CD2"
0,5.63718764947685,0.571,0.024,0,"0","BCL11B"
0,5.63490874420069,0.608,0.023,0,"0","CD3E"
0,5.63257788348532,0.436,0.018,0,"0","KLRB1"
0,5.51120401711127,0.594,0.029,0,"0","IL7R"
0,5.46919709088593,0.427,0.019,0,"0","GZMA"
0,5.32929866985648,0.335,0.014,0,"0","CD96"
0,5.32436433147396,0.319,0.014,0,"0","CD247"
0,5.31903514077567,0.262,0.012,0,"0","SAMD3"
0,5.30372912536722,0.463,0.024,0,"0","TRBC1"
0,5.21687787205577,0.361,0.034,0,"0","NKG7"
0,5.19740745962008,0.61,0.061,0,"0","CCL5"
0,5.16138652977886,0.334,0.014,0,"0","LCK"
0,5.16002103178658,0.643,0.039,0,"0","TRBC2"
0,5.04775417048959,0.527,0.03,0,"0","TRAC"
0,4.91843745716591,0.251,0.015,0,"0","CTSW"
0,4.68413979833256,0.306,0.023,0,"0","CD7"
0,5.63035716586353,0.434,0.015,0,"1","AL138826.1"
0,5.55855844150288,0.753,0.078,0,"1","FABP1"
0,5.39874987073543,0.396,0.02,0,"1","AGXT"
0,5.31569587284733,0.933,0.158,0,"1","GSTA1"
0,5.28750446053119,0.491,0.043,0,"1","ALB"
0,5.25430244382843,0.743,0.069,0,"1","GSTA2"
0,5.23031323409216,0.841,0.086,0,"1","HPD"
0,5.18207591874609,0.591,0.032,0,"1","GPD1"
0,5.1728119199581,0.942,0.163,0,"1","MIOX"
0,5.17115761224531,0.484,0.025,0,"1","CTXN3"
0,5.13743254796632,0.297,0.012,0,"1","C3orf85"
0,5.11245103080473,0.518,0.022,0,"1","TMEM174"
0,5.09540564853167,0.306,0.014,0,"1","G6PC"
0,5.08022290859573,0.334,0.016,0,"1","GLTPD2"
0,5.07951711423934,0.326,0.012,0,"1","TTC36"
0,5.04950801890412,0.399,0.017,0,"1","LINC01510"
0,5.04531207158943,0.649,0.038,0,"1","AGXT2"
0,5.04008916048637,0.983,0.394,0,"1","ALDOB"
0,5.00344913151814,0.529,0.025,0,"1","ASPDH"
0,4.97918573753114,0.515,0.035,0,"1","PRODH2"
0,7.36158142319238,0.286,0.002,0,"2","SOX17"
0,7.35612481197501,0.41,0.003,0,"2","MYCT1"
0,7.22549170790901,0.356,0.002,0,"2","GALNT15"
0,7.19634230343794,0.653,0.01,0,"2","KDR"
0,7.10316090748472,0.553,0.009,0,"2","RAMP3"
0,6.98670190474824,0.777,0.011,0,"2","ADGRL4"
0,6.96216255554688,0.839,0.015,0,"2","PTPRB"
0,6.92394628226849,0.622,0.007,0,"2","CDH5"
0,6.91869421500906,0.418,0.005,0,"2","PREX2"
0,6.91525724219181,0.581,0.007,0,"2","CLEC14A"
0,6.91253417718158,0.362,0.004,0,"2","EXOC3L2"
0,6.82628851088926,0.65,0.008,0,"2","TEK"
0,6.79640238976371,0.42,0.008,0,"2","CLDN5"
0,6.7034694650478,0.381,0.003,0,"2","ARHGEF15"
0,6.65545928728579,0.486,0.008,0,"2","JCAD"
0,6.65441514776234,0.51,0.01,0,"2","PALMD"
0,6.62917791504949,0.62,0.012,0,"2","SOX18"
0,6.61086312392332,0.302,0.003,0,"2","DIPK2B"
0,6.60117761685053,0.437,0.004,0,"2","SHE"
0,6.57067024202836,0.273,0.003,0,"2","FAM110D"
0,7.50952942376574,0.32,0.001,0,"3","CD300E"
0,7.43012787630842,0.353,0.01,0,"3","EREG"
0,6.555368895946,0.317,0.006,0,"3","FCN1"
0,6.42550710824142,0.645,0.017,0,"3","IL1B"
